Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,27.930000,28.459999,27.850000,28.370001,21.664122,17615800
2008-04-07,28.330000,28.379999,27.650000,27.790001,21.221224,9225700
2008-04-14,27.799999,28.379999,27.730000,27.959999,21.351040,13584500
2008-04-21,27.920000,28.219999,27.750000,27.930000,21.328129,15192700
2008-04-28,28.020000,28.410000,27.650000,28.110001,21.465588,16756500
2008-05-05,28.170000,28.290001,27.540001,27.840000,21.259405,8343400
2008-05-12,27.860001,28.540001,27.840000,28.490000,21.755764,10720600
2008-05-19,28.510000,28.650000,27.889999,28.080000,21.442673,12418400
2008-05-26,28.030001,28.540001,28.030001,28.490000,21.755764,8696200
2008-06-02,28.490000,28.670000,27.920000,27.950001,21.343401,11029800
2008-06-09,28.040001,28.299999,27.760000,28.120001,21.473221,19183200
2008-06-16,27.889999,27.920000,26.980000,27.080000,20.679047,19810900
2008-06-23,27.150000,27.680000,26.360001,26.559999,20.370077,14177600
2008-06-30,26.480000,26.879999,26.290001,26.670000,20.454435,14899600
2008-07-07,26.840000,27.340000,26.610001,26.930000,20.653839,21507400
2008-07-14,26.830000,27.299999,26.570000,26.830000,20.577148,24230300
2008-07-21,26.900000,27.480000,26.760000,27.110001,20.791899,16792200
2008-07-28,26.920000,27.900000,26.879999,27.350000,20.975960,17810600
2008-08-04,27.400000,28.540001,27.360001,28.410000,21.788927,17986600
2008-08-11,28.459999,29.020000,28.350000,28.980000,22.226084,16919000
2008-08-18,28.990000,28.990000,28.030001,28.680000,21.996000,12216000
2008-08-25,28.459999,28.559999,28.010000,28.139999,21.581848,9046300
2008-09-01,28.450001,28.700001,27.920000,28.320000,21.719904,17792900
2008-09-08,28.770000,29.290001,28.559999,29.150000,22.356462,21829300
2008-09-15,29.049999,30.290001,27.700001,27.700001,21.244392,41343100
2008-09-22,27.780001,29.379999,27.049999,27.700001,21.389029,23779100
2008-09-29,27.889999,28.750000,26.660000,27.230000,21.026104,32029600
2008-10-06,26.540001,27.320000,21.629999,23.600000,18.223143,52135200
2008-10-13,25.520000,26.240000,22.209999,24.309999,18.771378,48017200
2008-10-20,24.820000,24.879999,22.250000,22.799999,17.605404,33619900
2008-10-27,22.150000,24.930000,22.129999,24.120001,18.624672,36434100
2008-11-03,24.580000,25.360001,23.500000,24.260000,18.732773,28854300
2008-11-10,24.730000,24.730000,22.540001,23.480000,18.130484,27758900
2008-11-17,23.320000,23.920000,21.400000,22.990000,17.752117,46426600
2008-11-24,23.320000,24.139999,22.820000,24.070000,18.586060,27928900
2008-12-01,23.590000,23.870001,22.459999,23.700001,18.300354,39815200
2008-12-08,24.480000,24.480000,22.620001,23.139999,17.867947,40585800
2008-12-15,23.309999,23.980000,22.870001,23.230000,17.937441,35996900
2008-12-22,23.379999,23.480000,22.969999,23.320000,18.160707,13709300
2008-12-29,23.320000,24.330000,23.010000,24.209999,18.853806,11629500
2009-01-05,24.110001,24.430000,23.000000,23.000000,17.911503,31985100
2009-01-12,23.049999,23.250000,22.320000,22.950001,17.872574,33703900
2009-01-19,23.000000,23.160000,22.290001,22.549999,17.561069,32138600
2009-01-26,22.670000,23.370001,22.010000,22.150000,17.249559,33456700
2009-02-02,21.910000,22.600000,21.719999,22.520000,17.537697,38304000
2009-02-09,22.469999,22.480000,21.389999,21.559999,16.790089,28562600
2009-02-16,21.219999,21.799999,21.090000,21.299999,16.587618,25507800
2009-02-23,21.290001,21.459999,20.280001,20.360001,15.855580,28419000
2009-03-02,20.139999,20.350000,19.309999,19.709999,15.349383,32710600
2009-03-09,19.680000,20.670000,19.280001,20.559999,16.011328,22631100
2009-03-16,20.809999,21.370001,20.570000,20.570000,16.019112,22090100
2009-03-23,20.910000,21.820000,20.860001,21.610001,16.928701,27238600
2009-03-30,21.389999,22.129999,20.820000,21.820000,17.093210,28147400
2009-04-06,21.700001,21.959999,21.430000,21.670000,16.975706,16533800
2009-04-13,21.590000,22.160000,21.209999,22.090000,17.304722,24095200
2009-04-20,21.740000,22.059999,21.299999,21.500000,16.842529,40823100
2009-04-27,21.309999,22.250000,21.309999,22.090000,17.304722,27071000
2009-05-04,22.230000,22.780001,22.090000,22.760000,17.829586,34595900
2009-05-11,22.620001,22.950001,22.370001,22.370001,17.524071,29484300
2009-05-18,22.910000,23.219999,22.510000,22.930000,17.962755,35007100
2009-05-25,22.920000,23.260000,22.570000,23.120001,18.111599,26595800
2009-06-01,23.340000,23.959999,23.290001,23.620001,18.503286,31269800
2009-06-08,23.480000,23.820000,23.180000,23.520000,18.424944,26128600
2009-06-15,23.410000,23.410000,22.650000,22.889999,17.931423,30348200
2009-06-22,22.820000,23.219999,22.639999,23.030001,18.179199,24232600
2009-06-29,23.139999,23.520000,22.889999,22.889999,18.068686,17522700
2009-07-06,22.850000,23.379999,22.820000,22.889999,18.068686,23907400
2009-07-13,22.879999,23.959999,22.879999,23.930000,18.889629,19567400
2009-07-20,24.059999,24.530001,23.750000,24.530001,19.363249,23126600
2009-07-27,24.410000,24.889999,24.240000,24.520000,19.355352,22178300
2009-08-03,24.629999,24.770000,24.080000,24.280001,19.165911,27152800
2009-08-10,24.280001,24.510000,24.150000,24.400000,19.260630,18117800
2009-08-17,24.100000,24.830000,24.020000,24.740000,19.529016,15710800
2009-08-24,24.870001,25.010000,24.660000,24.770000,19.552696,15452400
2009-08-31,24.719999,24.930000,24.480000,24.840000,19.607958,23664300
2009-09-07,24.969999,25.379999,24.910000,25.330000,19.994747,25924600
2009-09-14,25.120001,25.440001,25.070000,25.400000,20.050001,32563500
2009-09-21,25.370001,25.680000,25.190001,25.240000,20.065952,23474200
2009-09-28,25.160000,25.559999,25.090000,25.309999,20.121605,31091400
2009-10-05,25.290001,25.940001,25.100000,25.920000,20.606558,21307400
2009-10-12,25.900000,26.450001,25.840000,26.370001,20.964308,17022900
2009-10-19,26.410000,26.660000,25.990000,26.070000,20.725803,42519800
2009-10-26,26.049999,26.299999,25.790001,25.830000,20.535006,44901300
2009-11-02,25.830000,26.250000,25.770000,26.200001,20.829157,51552100
2009-11-09,26.410000,26.799999,26.260000,26.719999,21.242563,24950200
2009-11-16,26.770000,27.020000,26.650000,26.889999,21.377710,27566100
2009-11-23,27.059999,27.240000,26.530001,26.879999,21.369762,17602400
2009-11-30,26.910000,27.290001,26.680000,27.049999,21.504910,30723200
2009-12-07,26.920000,27.129999,26.590000,27.000000,21.465158,32252400
2009-12-14,27.120001,27.180000,25.959999,26.240000,20.860960,36249200
2009-12-21,26.350000,26.719999,26.270000,26.680000,21.411648,16888200
2009-12-28,26.809999,26.850000,26.440001,26.469999,21.243116,19898700
2010-01-04,26.450001,26.780001,26.420000,26.570000,21.323362,41927200
2010-01-11,26.559999,27.040001,26.379999,26.770000,21.483873,38117000
2010-01-18,26.840000,26.969999,26.200001,26.290001,21.098658,37771800
2010-01-25,26.480000,26.610001,26.160000,26.200001,21.026430,49865500
2010-02-01,26.360001,26.809999,25.709999,25.980000,20.849865,47370900
2010-02-08,26.049999,26.490000,25.930000,26.440001,21.219038,33747200
2010-02-15,26.500000,27.200001,26.440001,27.120001,21.764759,26590700
