Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,4.737500,5.260000,4.697500,5.175000,4.799753,11177600
2008-04-07,5.175000,5.237500,4.732500,4.775000,4.428758,12612800
2008-04-14,4.812500,5.107500,4.567500,5.055000,4.688454,11069600
2008-04-21,5.025000,5.062500,4.377500,4.952500,4.593387,14630800
2008-04-28,4.937500,5.750000,4.747500,5.460000,5.064086,13481600
2008-05-05,5.425000,5.490000,4.775000,4.922500,4.565562,9091600
2008-05-12,4.970000,5.477500,4.970000,5.347500,4.959743,8578800
2008-05-19,5.497500,5.657500,4.332500,4.405000,4.085587,12975600
2008-05-26,4.520000,5.085000,4.500000,4.882500,4.528462,9480400
2008-06-02,4.917500,5.305000,4.687500,4.850000,4.498319,17142800
2008-06-09,4.920000,4.982500,4.325000,4.615000,4.280358,21484000
2008-06-16,4.537500,5.020000,4.450000,4.600000,4.266448,17570800
2008-06-23,4.657500,4.680000,4.000000,4.142500,3.842121,15854800
2008-06-30,4.100000,4.102500,3.255000,3.367500,3.123317,15285600
2008-07-07,3.550000,3.972500,2.805000,2.950000,2.736091,22046400
2008-07-14,2.902500,4.300000,2.525000,4.090000,3.793428,36393200
2008-07-21,3.877500,4.957500,3.877500,4.422500,4.101818,27921200
2008-07-28,4.402500,4.805000,4.077500,4.502500,4.176017,18743200
2008-08-04,4.497500,5.032500,4.312500,4.980000,4.618892,17686400
2008-08-11,4.977500,5.812500,4.767500,5.735000,5.319146,26880400
2008-08-18,5.745000,5.782500,4.682500,5.222500,4.843809,20847200
2008-08-25,5.010000,5.357500,4.562500,5.252500,4.871633,17404000
2008-09-01,5.572500,5.812500,5.270000,5.662500,5.251904,17104400
2008-09-08,5.830000,6.170000,5.100000,5.797500,5.377114,26059600
2008-09-15,5.445000,6.122500,5.155000,5.445000,5.050175,30292800
2008-09-22,5.332500,5.465000,4.890000,5.115000,4.744103,11942800
2008-09-29,5.052500,5.462500,4.655000,4.770000,4.424119,11688000
2008-10-06,4.580000,4.807500,3.222500,4.700000,4.359196,21049200
2008-10-13,4.950000,6.012500,4.807500,5.540000,5.138286,27412000
2008-10-20,5.452500,6.140000,4.765000,5.480000,5.082638,27706000
2008-10-27,5.340000,6.500000,4.887500,6.175000,5.727240,16075200
2008-11-03,6.222500,6.935000,6.117500,6.297500,5.840858,18076400
2008-11-10,6.375000,6.422500,5.655000,6.107500,5.664637,23638800
2008-11-17,6.047500,6.392500,4.642500,4.722500,4.380063,28179200
2008-11-24,4.787500,6.067500,4.750000,5.737500,5.321465,16016800
2008-12-01,5.577500,6.792500,5.202500,6.787500,6.295327,21084400
2008-12-08,6.750000,6.995000,5.965000,6.620000,6.139974,19024400
2008-12-15,6.537500,7.220000,6.232500,6.997500,6.490101,18008800
2008-12-22,6.952500,7.292500,6.695000,7.140000,6.622267,11139200
2008-12-29,7.132500,7.445000,6.907500,7.397500,6.861096,14469600
2009-01-05,7.335000,7.737500,7.237500,7.492500,6.949207,23104800
2009-01-12,7.550000,7.625000,6.672500,7.447500,6.907469,16887600
2009-01-19,7.372500,7.425000,6.282500,6.640000,6.158524,16143600
2009-01-26,6.655000,7.527500,6.130000,6.590000,6.112149,19518400
2009-02-02,6.542500,7.355000,6.350000,7.230000,6.705742,18988400
2009-02-09,7.185000,7.355000,6.665000,7.152500,6.633861,17778800
2009-02-16,7.192500,7.490000,5.767500,6.067500,5.627535,18012000
2009-02-23,6.127500,6.347500,5.287500,5.477500,5.080318,23824000
2009-03-02,5.367500,5.525000,3.622500,3.770000,3.496632,26189200
2009-03-09,3.732500,4.447500,3.402500,4.315000,4.002113,26168400
2009-03-16,4.317500,4.682500,4.037500,4.125000,3.825890,17962400
2009-03-23,4.232500,4.810000,3.980000,4.517500,4.189929,14824000
2009-03-30,4.442500,5.080000,4.075000,4.945000,4.586430,16130800
2009-04-06,4.877500,5.520000,4.775000,5.485000,5.087273,9585200
2009-04-13,5.410000,5.480000,4.710000,4.950000,4.591067,13829600
2009-04-20,4.817500,5.257500,4.045000,4.455000,4.131961,20420800
2009-04-27,4.230000,4.435000,3.967500,4.315000,4.002113,19336000
2009-05-04,4.430000,4.770000,4.287500,4.375000,4.057762,17012800
2009-05-11,4.272500,4.360000,3.632500,3.995000,3.705316,19410000
2009-05-18,4.030000,4.232500,3.862500,4.032500,3.740097,21590800
2009-05-25,3.972500,4.157500,3.727500,3.892500,3.610249,15756400
2009-06-01,3.990000,4.222500,3.850000,3.977500,3.689085,16560000
2009-06-08,3.960000,4.120000,3.845000,4.095000,3.798065,15495600
2009-06-15,3.985000,4.587500,3.955000,4.465000,4.141236,16837600
2009-06-22,4.390000,4.517500,4.017500,4.487500,4.162104,14129600
2009-06-29,4.487500,4.697500,4.442500,4.587500,4.254854,7762800
2009-07-06,4.607500,5.132500,4.537500,5.085000,4.716280,10907600
2009-07-13,5.112500,5.402500,4.945000,5.285000,4.901777,10539200
2009-07-20,5.332500,5.690000,5.030000,5.665000,5.254222,11260400
2009-07-27,5.610000,5.875000,5.502500,5.765000,5.346971,8539200
2009-08-03,5.787500,6.150000,5.610000,5.795000,5.374796,11042800
2009-08-10,5.747500,5.985000,5.537500,5.755000,5.337696,6779200
2009-08-17,5.637500,5.802500,5.552500,5.787500,5.367839,6351600
2009-08-24,5.820000,6.787500,5.787500,6.457500,5.989255,13645200
2009-08-31,6.380000,6.412500,5.607500,6.140000,5.694778,10550400
2009-09-07,6.145000,6.837500,6.017500,6.642500,6.160842,9191600
2009-09-14,6.572500,6.925000,6.397500,6.610000,6.130698,9407200
2009-09-21,6.510000,6.997500,6.407500,6.750000,6.260547,11117600
2009-09-28,6.800000,6.962500,6.300000,6.452500,5.984620,9386800
2009-10-05,6.502500,6.947500,6.385000,6.935000,6.432133,8054400
2009-10-12,6.937500,7.227500,6.765000,6.860000,6.362570,7502800
2009-10-19,6.942500,7.247500,6.390000,6.747500,6.258228,16320800
2009-10-26,6.722500,6.827500,6.292500,6.430000,5.963749,13950400
2009-11-02,6.450000,6.920000,6.227500,6.872500,6.374163,12575200
2009-11-09,6.925000,7.385000,6.847500,7.212500,6.689511,10003600
2009-11-16,7.300000,7.492500,7.097500,7.320000,6.789215,6935600
2009-11-23,7.410000,7.495000,7.132500,7.360000,6.826315,4111600
2009-11-30,7.395000,8.047500,7.285000,8.005000,7.424546,12810400
2009-12-07,7.975000,8.695000,7.937500,8.662500,8.034369,11277200
2009-12-14,8.652500,8.740000,8.352500,8.512500,7.895244,10668800
2009-12-21,8.550000,9.120000,8.527500,9.017500,8.363626,4763600
2009-12-28,8.980000,8.980000,8.637500,8.640000,8.013501,4796400
2010-01-04,8.705000,9.420000,8.600000,8.885000,8.240735,13194000
2010-01-11,8.957500,9.442500,8.712500,9.015000,8.361310,9114000
2010-01-18,9.047500,9.487500,8.982500,9.012500,8.358992,7822000
2010-01-25,9.065000,9.200000,7.810000,7.835000,7.266872,15872400
2010-02-01,7.842500,8.390000,7.810000,8.040000,7.457007,16490000
2010-02-08,8.017500,8.425000,7.857500,8.187500,7.593811,13088400
2010-02-15,8.292500,9.212500,8.247500,9.122500,8.461013,9436000
2010-02-22,9.132500,9.295000,8.510000,8.750000,8.115524,8952000
2010-03-01,8.805000,9.430000,8.802500,9.287500,8.614049,12575600
2010-03-08,9.250000,10.160000,8.990000,10.140000,9.404732,18126400
2010-03-15,10.067500,10.350000,9.812500,10.042500,9.314302,11875200
2010-03-22,9.952500,10.647500,9.875000,10.332500,9.583276,8438800
2010-03-29,10.340000,10.500000,10.177500,10.222500,9.481253,5961600
2010-04-05,10.245000,10.685000,9.970000,10.540000,9.775728,9451200
2010-04-12,10.600000,11.360000,10.585000,10.772500,9.991368,12734400
2010-04-19,10.425000,11.060000,10.030000,10.947500,10.153680,11969600
2010-04-26,11.050000,11.430000,10.350000,10.352500,9.601822,12670000
2010-05-03,10.825000,11.517500,9.257500,10.257500,9.513713,21776400
2010-05-10,10.747500,11.725000,10.560000,11.205000,10.392508,9499600
2010-05-17,11.240000,11.647500,10.280000,11.087500,10.283527,15582400
2010-05-24,11.085000,12.262500,10.720000,11.675000,10.828425,16748800
2010-05-31,11.712500,12.675000,11.505000,12.062500,11.187831,11065200
2010-06-07,12.202500,12.715000,11.567500,12.715000,11.793016,10944000
2010-06-14,12.930000,13.532500,12.615000,13.147500,12.194156,13686800
2010-06-21,13.395000,13.425000,11.757500,11.875000,11.013926,11075200
2010-06-28,11.902500,12.347500,10.500000,10.810000,10.026148,10330000
2010-07-05,10.885000,11.972500,10.885000,11.910000,11.046388,7818400
2010-07-12,11.837500,12.342500,11.455000,11.965000,11.097399,9276400
2010-07-19,12.022500,12.530000,11.450000,12.500000,11.593603,12969600
2010-07-26,12.595000,13.227500,12.500000,12.897500,11.962283,10787200
2010-08-02,13.200000,13.250000,12.662500,13.175000,12.219661,8632800
2010-08-09,13.217500,13.665000,12.037500,12.777500,11.850985,10584400
2010-08-16,12.690000,13.547500,12.200000,12.510000,11.602881,11504800
2010-08-23,12.567500,12.790000,11.020000,11.200000,10.387873,13840000
2010-08-30,11.187500,12.050000,10.972500,11.830000,10.972185,14283200
2010-09-06,11.747500,11.747500,11.255000,11.565000,10.726403,7692000
2010-09-13,11.750000,12.255000,11.672500,11.740000,10.888715,8210000
2010-09-20,11.812500,12.425000,11.720000,11.965000,11.097399,7485600
2010-09-27,12.085000,12.962500,12.027500,12.447500,11.544913,9803600
2010-10-04,12.430000,12.590000,11.215000,12.047500,11.173916,16018000
2010-10-11,12.035000,12.107500,11.635000,11.787500,10.932770,7519600
2010-10-18,11.787500,12.612500,11.530000,12.585000,11.672440,9143200
2010-10-25,12.637500,13.255000,12.540000,13.200000,12.242847,6258800
2010-11-01,13.197500,14.120000,13.010000,13.970000,12.957013,7125200
2010-11-08,13.882500,13.925000,13.260000,13.470000,12.493269,6177200
2010-11-15,13.590000,13.852500,13.165000,13.757500,12.759922,6876000
2010-11-22,13.727500,14.000000,13.560000,13.980000,12.966288,4238400
2010-11-29,13.880000,14.040000,13.637500,13.972500,12.959332,5205200
2010-12-06,13.962500,14.250000,13.812500,14.237500,13.205116,5477600
2010-12-13,14.277500,14.415000,13.967500,14.372500,13.330327,8593600
2010-12-20,14.372500,14.897500,14.252500,14.350000,13.309461,4275600
2010-12-27,14.295000,14.592500,13.932500,14.172500,13.144830,4328000
2011-01-03,14.375000,15.777500,14.132500,15.680000,14.543019,8317200
2011-01-10,15.672500,16.084999,15.370000,16.025000,14.863002,6068400
2011-01-17,15.987500,16.059999,14.940000,14.977500,13.891457,6863600
2011-01-24,14.970000,15.787500,14.755000,14.930000,13.847401,11550000
2011-01-31,14.952500,15.635000,14.777500,15.352500,14.239265,10281600
2011-02-07,15.412500,16.090000,15.265000,15.975000,14.816628,6029200
2011-02-14,15.935000,16.250000,15.802500,16.007500,14.846771,5523600
2011-02-21,15.687500,15.687500,14.070000,14.805000,13.731465,10662800
2011-02-28,14.985000,15.042500,14.037500,14.635000,13.573794,8799600
2011-03-07,14.522500,15.385000,14.187500,15.175000,14.074636,8918800
2011-03-14,14.990000,15.222500,14.332500,15.007500,13.919282,8081600
2011-03-21,15.100000,15.665000,14.782500,15.412500,14.294917,4962400
2011-03-28,15.485000,16.022499,15.380000,15.677500,14.540701,5031600
2011-04-04,15.677500,15.912500,14.997500,15.030000,13.940151,5152800
2011-04-11,15.050000,15.807500,14.880000,15.102500,14.007394,8177200
2011-04-18,15.095000,15.450000,14.750000,15.145000,14.046811,4030000
2011-04-25,15.112500,16.522499,14.950000,16.467501,15.273414,7476400
2011-05-02,16.632500,17.332500,16.180000,17.132500,15.890190,7068800
2011-05-09,17.084999,17.517500,16.875000,17.270000,16.017723,5989600
2011-05-16,17.212500,17.500000,16.840000,17.397499,16.135981,4838000
2011-05-23,17.207500,17.325001,16.672501,16.857500,15.635138,5320800
2011-05-30,17.042500,17.090000,15.935000,15.987500,14.828221,5240400
2011-06-06,15.937500,16.139999,15.327500,15.387500,14.271729,6053600
2011-06-13,15.487500,16.622499,15.430000,16.342501,15.157479,7258000
