Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,34.490002,39.000000,33.509998,36.500000,36.500000,8657300
2008-04-07,36.680000,37.169998,35.410000,35.470001,35.470001,3336300
2008-04-14,35.509998,40.650002,35.230000,40.240002,40.240002,5278600
2008-04-21,39.950001,40.950001,38.320000,40.029999,40.029999,3254800
2008-04-28,39.900002,43.689999,38.820000,43.470001,43.470001,4535400
2008-05-05,43.700001,44.900002,41.980000,43.389999,43.389999,3450300
2008-05-12,43.549999,45.950001,42.730000,44.959999,44.959999,4267700
2008-05-19,44.779999,44.880001,41.500000,41.759998,41.759998,3053300
2008-05-26,41.889999,47.639999,41.500000,47.299999,47.299999,4536400
2008-06-02,47.650002,48.950001,46.189999,46.189999,46.189999,4858100
2008-06-09,46.830002,47.490002,44.320000,46.410000,46.410000,3319100
2008-06-16,46.330002,49.860001,45.520000,46.939999,46.939999,4176000
2008-06-23,47.320000,47.759998,44.790001,46.630001,46.630001,12281300
2008-06-30,47.099998,48.410000,39.770000,41.660000,41.660000,6482300
2008-07-07,41.250000,44.119999,40.360001,42.830002,42.830002,4821900
2008-07-14,43.580002,45.529999,41.110001,44.970001,44.970001,4383000
2008-07-21,45.139999,46.750000,43.209999,43.849998,43.849998,4563100
2008-07-28,43.849998,46.730000,42.520000,45.400002,45.400002,13006000
2008-08-04,45.200001,49.560001,44.689999,48.459999,48.459999,6999700
2008-08-11,47.830002,48.509998,46.259998,46.680000,46.680000,4757200
2008-08-18,46.490002,47.070000,42.040001,43.849998,43.849998,4255500
2008-08-25,43.330002,45.240002,43.060001,44.349998,44.349998,3475100
2008-09-01,44.560001,45.950001,41.169998,42.099998,42.099998,3291400
2008-09-08,42.950001,43.900002,41.139999,43.619999,43.619999,4810700
2008-09-15,41.849998,44.439999,36.840000,41.419998,41.419998,5994300
2008-09-22,41.110001,42.299999,38.189999,38.570000,38.570000,3757400
2008-09-29,37.990002,38.040001,31.000000,31.990000,31.990000,6874300
2008-10-06,30.959999,31.160000,24.150000,28.610001,28.610001,6447200
2008-10-13,29.990000,33.669998,25.629999,28.980000,28.980000,5453600
2008-10-20,29.469999,30.709999,20.549999,24.320000,24.320000,5965200
2008-10-27,23.860001,29.010000,22.930000,28.629999,28.629999,5935000
2008-11-03,27.860001,31.219999,26.420000,29.670000,29.670000,7483000
2008-11-10,30.000000,31.260000,25.969999,28.400000,28.400000,5936800
2008-11-17,28.030001,29.480000,22.620001,25.629999,25.629999,6661900
2008-11-24,26.160000,29.750000,25.230000,28.860001,28.860001,3380000
2008-12-01,28.110001,29.379999,25.730000,28.959999,28.959999,5165000
2008-12-08,29.420000,30.709999,27.040001,28.809999,28.809999,4139100
2008-12-15,28.790001,30.420000,27.200001,29.650000,29.650000,3709000
2008-12-22,29.650000,29.650000,27.559999,28.360001,28.360001,1895500
2008-12-29,28.360001,28.809999,27.480000,28.740000,28.740000,2345200
2009-01-05,28.670000,29.690001,25.750000,25.990000,25.990000,5588300
2009-01-12,26.049999,26.260000,23.639999,24.639999,24.639999,5093000
2009-01-19,24.350000,25.860001,23.900000,25.389999,25.389999,4470200
2009-01-26,25.250000,26.629999,24.709999,24.860001,24.860001,3386300
2009-02-02,24.549999,26.160000,24.200001,26.030001,26.030001,3447100
2009-02-09,25.790001,26.049999,24.420000,25.230000,25.230000,2586200
2009-02-16,24.690001,25.049999,23.629999,24.219999,24.219999,2711500
2009-02-23,24.350000,24.889999,19.870001,20.170000,20.170000,10589200
2009-03-02,19.620001,20.040001,18.000000,18.410000,18.410000,8703300
2009-03-09,18.170000,22.090000,18.030001,21.980000,21.980000,7741200
2009-03-16,22.070000,24.660000,21.610001,23.330000,23.330000,7647000
2009-03-23,23.959999,26.350000,23.620001,25.510000,25.510000,4542400
2009-03-30,25.070000,27.400000,24.160000,27.400000,27.400000,5212300
2009-04-06,27.400000,27.730000,25.750000,27.150000,27.150000,4948700
2009-04-13,27.059999,27.500000,26.129999,26.620001,26.620001,4185400
2009-04-20,25.629999,27.320000,25.430000,27.120001,27.120001,3019400
2009-04-27,26.629999,27.959999,26.049999,27.360001,27.360001,3432000
2009-05-04,27.049999,27.889999,26.200001,26.650000,26.650000,6426900
2009-05-11,26.190001,27.610001,25.830000,26.950001,26.950001,3863800
2009-05-18,27.090000,29.360001,26.879999,28.000000,28.000000,3575600
