Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,21.870001,23.020000,21.770000,22.290001,18.194412,18787600
2008-04-07,22.340000,22.629999,21.309999,21.400000,17.467930,16809200
2008-04-14,21.240000,22.469999,20.680000,22.270000,18.178082,23323900
2008-04-21,22.090000,22.490000,21.320000,22.250000,18.161757,20204800
2008-04-28,22.360001,24.360001,22.170000,24.330000,19.859571,33018900
2008-05-05,24.309999,24.920000,23.549999,24.400000,19.916710,30894700
2008-05-12,24.559999,25.000000,23.290001,23.420000,19.116779,31192800
2008-05-19,23.379999,23.590000,22.670000,22.700001,18.529072,29540400
2008-05-26,22.750000,22.910000,21.520000,21.580000,17.614861,31811900
2008-06-02,21.530001,22.350000,21.340000,21.360001,17.652622,34014100
2008-06-09,21.350000,21.360001,20.400000,20.680000,17.090647,25022200
2008-06-16,20.559999,21.309999,19.860001,20.000000,16.528673,28855800
2008-06-23,20.049999,20.540001,19.100000,19.760000,16.330320,40153800
2008-06-30,19.760000,19.780001,18.520000,18.600000,15.371668,24118400
2008-07-07,17.860001,18.250000,16.590000,17.209999,14.222920,42529500
2008-07-14,17.389999,17.459999,16.340000,16.959999,14.016314,50486400
2008-07-21,17.100000,18.219999,16.510000,17.030001,14.074165,34832600
2008-07-28,16.950001,17.389999,15.830000,15.980000,13.206410,39850100
2008-08-04,16.000000,16.790001,15.760000,16.750000,13.842764,27515200
2008-08-11,16.620001,18.340000,16.610001,18.040001,14.908861,43136000
2008-08-18,18.139999,18.230000,16.070000,16.790001,13.875822,22844200
2008-08-25,16.719999,16.920000,16.049999,16.180000,13.371699,24764500
2008-09-01,16.400000,16.820000,16.059999,16.559999,13.910096,27556200
2008-09-08,16.900000,17.270000,16.480000,16.850000,14.153694,44084500
2008-09-15,16.379999,17.070000,14.760000,15.690000,13.179313,46413600
2008-09-22,15.510000,15.850000,14.630000,15.400000,12.935719,32876100
2008-09-29,15.230000,15.510000,12.800000,12.890000,10.827365,41949300
2008-10-06,12.590000,13.140000,7.540000,8.100000,6.803852,97000900
2008-10-13,8.640000,9.600000,7.660000,9.410000,7.904227,102511000
2008-10-20,9.250000,9.510000,7.700000,7.790000,6.543456,53258600
2008-10-27,7.640000,10.060000,7.520000,9.710000,8.156219,62309400
2008-11-03,9.700000,9.890000,8.000000,8.160000,6.854250,58084800
2008-11-10,8.210000,8.460000,5.860000,6.620000,5.560679,91792900
2008-11-17,6.470000,6.590000,4.360000,4.980000,4.183109,70529500
2008-11-24,5.210000,6.740000,5.040000,6.660000,5.594278,38230200
2008-12-01,6.420000,7.800000,5.330000,7.390000,6.207464,67097000
2008-12-08,7.610000,8.340000,7.250000,8.200000,7.222332,57423200
2008-12-15,8.250000,8.510000,7.320000,7.710000,6.790754,56786600
2008-12-22,7.690000,7.820000,7.270000,7.720000,6.799560,22889400
2008-12-29,7.740000,8.930000,7.350000,8.910000,7.847680,20060200
2009-01-05,8.850000,9.190000,8.290000,8.400000,7.398485,48526700
2009-01-12,8.500000,8.500000,6.640000,7.200000,6.341559,44593100
2009-01-19,7.190000,7.280000,6.000000,6.500000,5.725019,46379900
2009-01-26,6.290000,6.650000,5.680000,5.720000,5.038017,44787700
2009-02-02,5.630000,6.670000,5.490000,6.400000,5.636941,58064100
2009-02-09,6.400000,6.460000,5.500000,5.810000,5.117285,50917600
2009-02-16,5.510000,6.150000,4.730000,4.890000,4.306976,75316300
2009-02-23,5.060000,5.300000,4.250000,4.270000,3.760896,72131700
2009-03-02,4.160000,4.160000,3.250000,3.360000,2.959395,89250400
2009-03-09,3.380000,4.090000,3.060000,3.880000,3.417396,73915800
2009-03-16,4.000000,4.580000,3.760000,4.050000,3.621012,59575200
2009-03-23,4.300000,4.840000,4.090000,4.610000,4.121695,48188600
2009-03-30,4.200000,5.070000,3.650000,4.850000,4.336272,66769800
2009-04-06,4.800000,5.650000,4.500000,5.360000,4.792251,42403100
2009-04-13,5.300000,6.840000,5.030000,6.700000,5.990314,58656100
2009-04-20,6.500000,6.500000,5.610000,6.220000,5.561157,58474200
2009-04-27,6.120000,7.650000,5.790000,7.190000,6.428412,59033200
2009-05-04,7.220000,8.800000,7.070000,8.550000,7.644360,87131200
2009-05-11,8.120000,8.210000,6.320000,6.700000,5.990314,82972000
2009-05-18,6.790000,7.710000,6.760000,7.010000,6.267479,57708200
2009-05-25,7.000000,7.440000,6.770000,7.380000,6.598287,37129600
2009-06-01,7.510000,9.150000,7.510000,8.780000,7.849995,78590700
