Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,10.750000,11.370000,10.560000,11.280000,11.280000,16985600
2008-04-07,11.310000,11.410000,10.790000,10.830000,10.830000,17461400
2008-04-14,10.840000,11.350000,10.640000,11.210000,11.210000,20431700
2008-04-21,11.130000,11.520000,10.910000,11.440000,11.440000,25798900
2008-04-28,11.450000,11.560000,10.980000,11.220000,11.220000,25044400
2008-05-05,11.170000,11.230000,10.690000,10.970000,10.970000,17596700
2008-05-12,11.050000,11.390000,10.750000,11.190000,11.190000,17046400
2008-05-19,11.230000,11.310000,11.060000,11.170000,11.170000,20407100
2008-05-26,11.170000,11.730000,11.100000,11.620000,11.620000,16747500
2008-06-02,11.550000,11.690000,11.180000,11.420000,11.420000,18928300
2008-06-09,11.420000,11.580000,11.190000,11.520000,11.520000,35060900
2008-06-16,11.420000,11.720000,10.740000,10.810000,10.810000,43163400
2008-06-23,10.840000,10.910000,10.020000,10.140000,10.140000,17018500
2008-06-30,10.090000,10.280000,9.700000,9.710000,9.710000,10658900
2008-07-07,9.730000,10.000000,9.420000,9.800000,9.800000,14078400
2008-07-14,9.800000,10.640000,9.420000,10.310000,10.310000,18467500
2008-07-21,10.210000,10.360000,6.900000,7.350000,7.350000,66377100
2008-07-28,7.350000,7.520000,7.020000,7.110000,7.110000,50870000
2008-08-04,7.120000,7.230000,6.950000,7.140000,7.140000,27649400
2008-08-11,7.080000,8.350000,7.080000,7.640000,7.640000,32949400
2008-08-18,7.980000,8.080000,7.430000,7.980000,7.980000,39541100
2008-08-25,7.850000,8.340000,7.720000,7.990000,7.990000,25522600
2008-09-01,8.140000,8.270000,7.650000,7.970000,7.970000,21992700
2008-09-08,7.800000,8.480000,7.440000,7.810000,7.810000,26992200
2008-09-15,7.580000,7.890000,6.840000,7.440000,7.440000,27748600
2008-09-22,7.460000,7.680000,6.740000,6.800000,6.800000,25648100
2008-09-29,6.730000,6.930000,6.110000,6.220000,6.220000,28356000
2008-10-06,6.200000,6.380000,4.000000,4.740000,4.740000,37900600
2008-10-13,5.070000,5.640000,4.050000,4.510000,4.510000,36828300
2008-10-20,4.820000,4.860000,2.420000,2.900000,2.900000,50375400
2008-10-27,2.860000,4.170000,2.700000,4.070000,4.070000,56557200
2008-11-03,4.070000,5.050000,3.780000,4.020000,4.020000,27171400
2008-11-10,4.300000,4.340000,3.300000,3.930000,3.930000,18724200
2008-11-17,3.840000,3.880000,2.920000,3.120000,3.120000,26299600
2008-11-24,3.200000,3.920000,3.200000,3.860000,3.860000,21903800
2008-12-01,3.830000,3.900000,3.310000,3.900000,3.900000,31794300
2008-12-08,3.980000,4.260000,2.680000,2.730000,2.730000,64973300
2008-12-15,2.750000,3.440000,2.550000,3.290000,3.290000,50685700
2008-12-22,3.300000,3.320000,3.120000,3.260000,3.260000,12734100
2008-12-29,3.280000,3.900000,3.250000,3.840000,3.840000,14855500
2009-01-05,3.880000,4.480000,3.680000,4.290000,4.290000,20150000
2009-01-12,4.430000,4.450000,3.750000,3.990000,3.990000,18318200
2009-01-19,3.880000,3.990000,3.500000,3.860000,3.860000,12980100
2009-01-26,3.950000,4.200000,3.700000,3.780000,3.780000,11951000
2009-02-02,3.100000,4.550000,3.030000,4.500000,4.500000,21676400
2009-02-09,4.350000,4.640000,4.130000,4.230000,4.230000,15054900
2009-02-16,4.160000,4.190000,3.740000,3.850000,3.850000,12730700
2009-02-23,3.850000,4.400000,3.750000,4.200000,4.200000,18398700
2009-03-02,4.130000,4.200000,3.590000,3.700000,3.700000,16041000
2009-03-09,3.660000,4.200000,3.570000,4.110000,4.110000,14247900
2009-03-16,4.130000,4.400000,3.900000,3.930000,3.930000,11083400
2009-03-23,4.020000,4.500000,3.920000,4.230000,4.230000,13284800
2009-03-30,4.060000,4.560000,4.000000,4.540000,4.540000,9779900
2009-04-06,4.470000,4.880000,4.260000,4.870000,4.870000,8893600
2009-04-13,4.830000,4.960000,4.670000,4.870000,4.870000,11776200
2009-04-20,4.740000,4.880000,4.460000,4.680000,4.680000,8062300
2009-04-27,4.600000,5.700000,4.480000,5.330000,5.330000,30723100
2009-05-04,5.400000,6.250000,5.340000,5.870000,5.870000,31687200
2009-05-11,6.010000,6.020000,5.080000,5.390000,5.390000,23870200
2009-05-18,5.390000,5.960000,5.350000,5.620000,5.620000,15724200
2009-05-25,5.560000,6.000000,5.460000,5.650000,5.650000,15702300
2009-06-01,5.740000,6.130000,5.620000,5.970000,5.970000,19777300
2009-06-08,5.920000,6.400000,5.660000,6.310000,6.310000,15089300
2009-06-15,6.180000,6.270000,5.900000,6.010000,6.010000,12453700
2009-06-22,5.960000,6.050000,5.610000,6.010000,6.010000,16990200
2009-06-29,6.000000,6.150000,5.680000,5.780000,5.780000,12428400
2009-07-06,5.680000,5.690000,5.120000,5.430000,5.430000,17053300
2009-07-13,5.460000,5.960000,5.260000,5.920000,5.920000,9072400
2009-07-20,5.910000,6.200000,5.830000,6.170000,6.170000,7175600
2009-07-27,6.150000,6.600000,5.900000,5.900000,5.900000,18703400
2009-08-03,5.860000,6.030000,5.650000,5.900000,5.900000,15174600
2009-08-10,5.890000,5.930000,5.530000,5.850000,5.850000,14786300
2009-08-17,5.710000,6.050000,5.600000,6.040000,6.040000,11571400
2009-08-24,5.990000,6.500000,5.760000,6.380000,6.380000,13271000
2009-08-31,6.240000,6.360000,6.020000,6.360000,6.360000,10421300
2009-09-07,6.400000,6.950000,6.300000,6.890000,6.890000,9510400
2009-09-14,6.800000,7.200000,6.760000,7.180000,7.180000,9134200
2009-09-21,7.070000,7.470000,7.010000,7.180000,7.180000,9790900
2009-09-28,7.220000,7.550000,6.860000,6.980000,6.980000,13784800
2009-10-05,7.030000,7.720000,6.940000,7.700000,7.700000,10087500
2009-10-12,7.680000,8.180000,7.580000,8.040000,8.040000,9769000
2009-10-19,8.080000,8.150000,7.580000,7.620000,7.620000,13155300
2009-10-26,7.620000,7.860000,5.860000,6.110000,6.110000,29134300
2009-11-02,6.130000,6.260000,5.780000,6.020000,6.020000,23168300
2009-11-09,6.050000,6.120000,5.600000,5.720000,5.720000,24344900
2009-11-16,5.790000,6.270000,5.640000,6.090000,6.090000,27037000
2009-11-23,6.160000,6.350000,5.950000,6.160000,6.160000,12475200
2009-11-30,6.150000,6.400000,5.950000,6.330000,6.330000,14142900
2009-12-07,6.330000,6.370000,5.720000,5.970000,5.970000,24964900
2009-12-14,5.990000,6.010000,5.700000,5.880000,5.880000,28013900
2009-12-21,5.910000,6.020000,5.800000,6.020000,6.020000,10628500
2009-12-28,6.040000,6.080000,5.960000,5.990000,5.990000,5323100
2010-01-04,6.010000,6.360000,5.950000,6.340000,6.340000,17804700
2010-01-11,6.350000,6.420000,6.160000,6.220000,6.220000,15376900
2010-01-18,6.200000,6.250000,5.960000,5.970000,5.970000,13787500
2010-01-25,6.040000,6.070000,5.790000,5.810000,5.810000,16066600
2010-02-01,5.810000,6.130000,5.590000,5.730000,5.730000,26908300
2010-02-08,5.720000,5.730000,5.360000,5.660000,5.660000,23088600
2010-02-15,5.690000,5.870000,5.610000,5.800000,5.800000,8775900
2010-02-22,5.830000,5.830000,5.510000,5.700000,5.700000,13152300
2010-03-01,5.700000,6.320000,5.630000,6.220000,6.220000,12865200
2010-03-08,6.220000,6.430000,6.160000,6.360000,6.360000,10636400
2010-03-15,6.330000,6.920000,6.220000,6.870000,6.870000,18758100
2010-03-22,6.850000,6.850000,6.570000,6.620000,6.620000,10780100
2010-03-29,6.660000,6.790000,6.560000,6.770000,6.770000,7036700
2010-04-05,6.770000,7.030000,6.710000,6.840000,6.840000,16376800
2010-04-12,6.850000,7.200000,6.800000,7.110000,7.110000,16048100
2010-04-19,7.050000,7.380000,6.900000,7.350000,7.350000,17140500
2010-04-26,7.330000,7.680000,7.020000,7.450000,7.450000,17601700
2010-05-03,7.470000,7.660000,6.500000,6.590000,6.590000,17793300
2010-05-10,6.900000,7.050000,6.660000,6.770000,6.770000,14549900
2010-05-17,6.770000,6.980000,6.150000,6.440000,6.440000,18641200
2010-05-24,6.460000,6.840000,6.100000,6.700000,6.700000,19527900
2010-05-31,6.720000,6.820000,6.330000,6.460000,6.460000,13143900
2010-06-07,6.500000,6.540000,5.960000,6.200000,6.200000,44274400
2010-06-14,6.250000,6.520000,6.060000,6.450000,6.450000,17850700
2010-06-21,6.520000,6.600000,6.020000,6.250000,6.250000,15147800
2010-06-28,6.250000,6.300000,5.690000,5.800000,5.800000,18849300
2010-07-05,5.950000,6.060000,5.580000,6.050000,6.050000,27935400
2010-07-12,6.020000,6.450000,5.980000,6.120000,6.120000,34561500
2010-07-19,6.120000,6.540000,5.960000,6.530000,6.530000,30069200
2010-07-26,6.510000,7.050000,6.410000,6.960000,6.960000,24405600
2010-08-02,6.990000,7.230000,6.800000,6.980000,6.980000,22981300
2010-08-09,7.000000,7.090000,6.370000,6.380000,6.380000,12488200
2010-08-16,6.360000,7.100000,6.320000,7.080000,7.080000,19619700
2010-08-23,7.080000,7.090000,6.680000,6.850000,6.850000,15627100
2010-08-30,6.810000,7.200000,6.690000,7.180000,7.180000,12810300
2010-09-06,7.130000,7.450000,7.070000,7.400000,7.400000,13036400
2010-09-13,7.440000,7.830000,7.380000,7.760000,7.760000,23499500
2010-09-20,7.800000,7.920000,7.510000,7.730000,7.730000,11594600
2010-09-27,7.710000,7.800000,7.420000,7.600000,7.600000,13804600
2010-10-04,7.540000,7.790000,7.420000,7.630000,7.630000,8041700
2010-10-11,7.610000,8.310000,7.520000,7.970000,7.970000,23232900
2010-10-18,7.950000,8.020000,7.590000,7.970000,7.970000,14271100
2010-10-25,8.010000,8.640000,7.980000,8.470000,8.470000,29745700
2010-11-01,8.510000,8.630000,8.390000,8.610000,8.610000,20527500
2010-11-08,8.600000,8.680000,8.210000,8.320000,8.320000,10137400
2010-11-15,8.340000,8.440000,8.010000,8.320000,8.320000,9388600
2010-11-22,8.270000,8.430000,8.000000,8.090000,8.090000,9852800
2010-11-29,8.040000,8.300000,7.730000,8.210000,8.210000,19396800
2010-12-06,8.180000,8.490000,8.140000,8.410000,8.410000,16727400
2010-12-13,8.420000,8.530000,8.190000,8.280000,8.280000,13696700
2010-12-20,8.300000,8.530000,8.250000,8.290000,8.290000,6480800
2010-12-27,8.270000,8.390000,8.180000,8.260000,8.260000,5918500
2011-01-03,8.310000,8.550000,8.200000,8.420000,8.420000,10895200
2011-01-10,8.400000,8.880000,8.270000,8.820000,8.820000,9073500
2011-01-17,8.820000,9.200000,8.460000,8.510000,8.510000,13623300
2011-01-24,8.500000,8.830000,8.380000,8.480000,8.480000,10379100
2011-01-31,8.500000,9.740000,8.460000,9.490000,9.490000,27116900
2011-02-07,9.490000,10.100000,9.380000,10.030000,10.030000,21916600
2011-02-14,10.050000,10.280000,9.880000,10.110000,10.110000,13058100
2011-02-21,10.030000,10.190000,9.470000,9.880000,9.880000,17238600
2011-02-28,9.950000,10.090000,9.700000,9.870000,9.870000,12831300
2011-03-07,9.930000,10.000000,9.350000,9.480000,9.480000,20598200
2011-03-14,9.400000,9.660000,9.140000,9.560000,9.560000,14385400
2011-03-21,9.650000,9.990000,9.470000,9.850000,9.850000,11672500
2011-03-28,9.850000,10.070000,9.680000,10.000000,10.000000,10290300
2011-04-04,10.030000,10.480000,9.790000,9.860000,9.860000,14083600
2011-04-11,9.840000,9.900000,8.960000,9.800000,9.800000,10074800
2011-04-18,9.660000,9.940000,9.450000,9.910000,9.910000,6235500
2011-04-25,9.940000,10.470000,9.770000,10.380000,10.380000,21086200
2011-05-02,10.410000,10.740000,10.040000,10.360000,10.360000,20125000
2011-05-09,10.360000,10.960000,10.310000,10.920000,10.920000,14822100
2011-05-16,10.800000,11.070000,10.470000,10.620000,10.620000,13000900
2011-05-23,10.460000,10.750000,10.190000,10.640000,10.640000,13965700
2011-05-30,10.750000,10.760000,10.160000,10.550000,10.550000,14518900
2011-06-06,10.520000,10.890000,9.930000,10.060000,10.060000,22382300
2011-06-13,10.060000,10.510000,9.980000,10.030000,10.030000,14494500
2011-06-20,9.990000,10.500000,9.920000,10.200000,10.200000,13543900
2011-06-27,10.210000,10.690000,10.090000,10.680000,10.680000,11646300
2011-07-04,10.670000,10.860000,10.440000,10.580000,10.580000,11384800
2011-07-11,10.440000,10.540000,9.740000,9.880000,9.880000,13711600
2011-07-18,9.810000,10.000000,9.600000,9.990000,9.990000,9860200
2011-07-25,9.880000,10.460000,9.370000,10.330000,10.330000,17899500
2011-08-01,10.410000,10.480000,8.880000,9.140000,9.140000,25070700
2011-08-08,8.790000,9.320000,8.100000,9.070000,9.070000,23912000
2011-08-15,9.180000,9.430000,8.090000,8.120000,8.120000,17848400
2011-08-22,8.320000,8.990000,8.150000,8.870000,8.870000,12849900
2011-08-29,9.000000,9.490000,8.800000,8.880000,8.880000,15034700
2011-09-05,8.570000,9.150000,8.570000,8.880000,8.880000,12420400
2011-09-12,8.750000,9.930000,8.750000,9.910000,9.910000,18069500
2011-09-19,9.730000,9.970000,9.060000,9.390000,9.390000,20778500
2011-09-26,9.460000,10.100000,9.240000,9.240000,9.240000,16613600
2011-10-03,9.200000,9.670000,8.710000,9.490000,9.490000,17581900
2011-10-10,9.680000,10.190000,9.650000,10.120000,10.120000,11057500
2011-10-17,10.080000,10.240000,9.680000,10.160000,10.160000,9908100
2011-10-24,10.200000,11.380000,10.010000,11.100000,11.100000,30976100
2011-10-31,11.010000,11.230000,10.600000,11.090000,11.090000,20295400
2011-11-07,11.050000,11.650000,10.820000,11.490000,11.490000,16680900
2011-11-14,11.460000,11.720000,11.000000,11.040000,11.040000,17297700
2011-11-21,10.880000,10.920000,10.150000,10.180000,10.180000,8463600
2011-11-28,10.500000,11.030000,10.270000,10.820000,10.820000,17051200
2011-12-05,10.990000,11.150000,10.580000,10.890000,10.890000,13268600
2011-12-12,10.750000,10.780000,10.050000,10.360000,10.360000,11179600
2011-12-19,10.400000,10.570000,10.050000,10.520000,10.520000,9609300
