Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,33.910000,34.750000,33.470001,34.169998,25.469784,9604800
2008-04-07,34.340000,34.349998,33.090000,33.410000,25.063299,7007700
2008-04-14,33.509998,35.549999,33.349998,35.209999,26.413616,7703100
2008-04-21,35.099998,35.200001,34.259998,34.660000,26.001024,5738400
2008-04-28,34.599998,36.000000,34.439999,35.529999,26.653664,7104000
2008-05-05,35.549999,35.610001,34.910000,35.400002,26.556147,6053600
2008-05-12,35.400002,36.139999,35.340000,35.950001,26.968746,7575100
2008-05-19,35.500000,36.400002,32.730000,32.810001,24.613199,19242100
2008-05-26,32.880001,33.570000,32.660000,33.480000,25.115808,8153600
2008-06-02,33.290001,33.590000,32.599998,32.669998,24.508167,8790500
2008-06-09,32.680000,34.740002,32.639999,34.639999,25.986012,10191300
2008-06-16,34.470001,34.860001,33.200001,33.419998,25.070801,10561000
2008-06-23,33.560001,33.910000,32.139999,32.180000,24.140589,8895400
2008-06-30,33.029999,35.000000,33.029999,34.680000,26.016027,14012600
2008-07-07,34.730000,35.439999,34.450001,34.849998,26.313515,12671200
2008-07-14,35.189999,35.720001,34.610001,35.340000,26.683487,11410800
2008-07-21,35.279999,36.560001,34.830002,35.930000,27.128967,10259300
2008-07-28,35.740002,37.240002,35.500000,35.849998,27.068565,9401600
2008-08-04,35.779999,37.419998,35.779999,37.389999,28.231340,8267400
2008-08-11,37.279999,38.500000,37.020000,37.970001,28.669277,9839000
2008-08-18,38.070000,38.090000,36.970001,37.580002,28.374798,5970300
2008-08-25,37.410000,37.509998,36.560001,36.810001,27.793409,6454700
2008-09-01,37.090000,37.720001,36.080002,36.630001,27.657511,7259200
2008-09-08,37.580002,39.230000,37.080002,39.200001,29.597992,13719700
2008-09-15,38.689999,39.869999,37.610001,38.599998,29.144943,15203700
2008-09-22,38.340000,40.049999,37.320000,37.630001,28.412548,8358000
2008-09-29,37.349998,40.849998,37.139999,39.630001,29.922653,21759400
2008-10-06,39.320000,39.810001,32.450001,34.119999,25.923748,22869800
2008-10-13,35.009998,37.860001,34.099998,36.799999,27.959953,21280100
2008-10-20,36.919998,37.860001,35.049999,35.790001,27.192581,15356500
2008-10-27,35.430000,39.320000,35.000000,37.950001,28.833710,15474100
2008-11-03,37.939999,39.439999,36.580002,37.220001,28.279070,9781800
2008-11-10,37.830002,38.910000,36.040001,37.529999,28.514603,13301500
2008-11-17,37.610001,38.900002,34.040001,36.270000,27.557278,18805900
2008-11-24,34.590000,35.950001,30.219999,32.049999,24.350990,20446500
2008-12-01,31.900000,31.900000,28.940001,30.100000,22.869423,14529100
2008-12-08,30.750000,30.750000,27.719999,28.680000,21.790543,15130400
2008-12-15,28.860001,29.570000,27.400000,28.379999,21.562597,19189500
