Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,17.155499,18.107880,16.978508,17.391487,8.467443,10987200
2008-04-07,17.302992,17.741257,17.256638,17.391487,8.467443,12145100
2008-04-14,17.353561,18.617783,17.227139,18.592499,9.052183,9997700
2008-04-21,18.499790,18.790560,17.745470,18.647282,9.078852,8037100
2008-04-28,18.588285,19.241467,18.352297,18.950695,9.226579,8347300
2008-05-05,18.815845,19.131901,16.009272,18.348083,8.933181,8969400
2008-05-12,18.415508,20.320271,18.373367,20.000000,9.737457,21519000
2008-05-19,19.991571,20.518332,19.216183,20.185419,9.827729,18338500
2008-05-26,20.227560,20.922882,20.117994,20.712179,10.084197,9792900
2008-06-02,20.526760,21.289507,19.966288,20.615255,10.037007,20194000
2008-06-09,20.674252,20.771175,19.683945,20.143278,9.807214,19167400
2008-06-16,19.949430,20.446692,19.595449,20.134850,9.803111,15035800
2008-06-23,20.231773,20.429836,19.561737,19.742941,9.612302,19864300
2008-06-30,19.810366,20.404551,19.148756,20.193848,9.831837,16635800
2008-07-07,20.075853,20.615255,19.456385,19.544880,9.515869,15475500
2008-07-14,18.310156,19.675516,18.305943,19.464813,9.476890,19731000
2008-07-21,19.502739,20.589970,19.241467,19.738728,9.610247,14221700
2008-07-28,19.730299,20.332912,19.178255,19.768227,9.624615,12359100
2008-08-04,19.709229,20.139065,18.794775,19.603876,9.544594,15203600
2008-08-11,19.490097,20.804888,19.140329,20.425621,9.944679,14076600
2008-08-18,20.362410,20.417194,19.384745,20.202276,9.835940,7558700
2008-08-25,20.134850,20.509903,19.696587,19.818794,9.649232,8686800
2008-09-01,19.898863,20.227560,18.402866,18.634640,9.072700,10692800
2008-09-08,19.056047,19.422672,18.449221,19.009693,9.255300,12978100
2008-09-15,18.550358,19.123472,17.172356,18.343868,8.931128,16996800
2008-09-22,18.015171,18.318584,17.201855,17.787611,8.660303,8948100
2008-09-29,17.543194,17.766541,15.545723,15.554151,7.572894,13446500
2008-10-06,15.238095,15.351875,11.668774,12.469448,6.071034,20730800
