Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,49.369999,52.279999,49.130001,51.939999,51.939999,16855700
2008-04-07,52.349998,52.830002,49.869999,50.209999,50.209999,14325200
2008-04-14,50.000000,53.000000,49.570000,52.009998,52.009998,16191300
2008-04-21,51.389999,52.619999,50.910000,51.529999,51.529999,13586800
2008-04-28,52.040001,54.110001,51.240002,53.169998,53.169998,12920200
2008-05-05,52.930000,53.299999,51.560001,52.610001,52.610001,11081900
2008-05-12,52.770000,54.810001,49.080002,49.599998,49.599998,39372400
2008-05-19,49.529999,50.389999,47.810001,48.340000,48.340000,23218100
2008-05-26,48.189999,50.549999,48.189999,50.200001,50.200001,12520800
2008-06-02,50.000000,50.099998,47.540001,47.549999,47.549999,16153500
2008-06-09,47.540001,47.689999,45.500000,46.990002,46.990002,19946600
2008-06-16,46.950001,48.549999,46.180000,46.939999,46.939999,18177900
2008-06-23,46.959999,47.119999,43.459999,43.939999,43.939999,21950700
2008-06-30,45.099998,45.790001,43.430000,43.980000,43.980000,17238200
2008-07-07,43.770000,46.450001,43.130001,44.099998,44.099998,23303900
2008-07-14,44.310001,48.700001,43.369999,48.459999,48.459999,26927500
2008-07-21,48.680000,49.360001,47.000000,47.730000,47.730000,21168300
2008-07-28,47.369999,47.950001,42.470001,42.900002,42.900002,36677300
2008-08-04,42.560001,47.180000,41.169998,46.650002,46.650002,28628400
2008-08-11,46.700001,49.270000,46.290001,48.240002,48.240002,22910200
2008-08-18,48.419998,48.970001,46.049999,47.750000,47.750000,18251200
2008-08-25,47.910000,49.610001,46.689999,48.810001,48.810001,14567300
2008-09-01,49.660000,50.169998,45.070000,46.480000,46.480000,17572500
2008-09-08,45.650002,46.720001,43.799999,44.990002,44.990002,26292900
2008-09-15,43.610001,45.099998,41.000000,43.419998,43.419998,39373600
2008-09-22,43.520000,43.770000,38.360001,39.630001,39.630001,30912000
2008-09-29,39.220001,39.560001,32.240002,32.680000,32.680000,42629700
2008-10-06,31.629999,32.360001,26.209999,27.990000,27.990000,48115500
2008-10-13,28.980000,33.119999,24.559999,29.790001,29.790001,36947100
2008-10-20,30.400000,31.120001,24.750000,24.770000,24.770000,26257800
2008-10-27,24.490000,29.400000,21.910000,22.780001,22.780001,54639100
2008-11-03,22.990000,24.900000,21.620001,23.559999,23.559999,39514000
2008-11-10,23.950001,23.950001,19.280001,20.440001,20.440001,39001600
2008-11-17,20.469999,20.469999,16.559999,18.870001,18.870001,39799300
2008-11-24,18.150000,21.000000,18.020000,19.059999,19.059999,21993500
2008-12-01,18.590000,20.120001,17.500000,19.980000,19.980000,34918400
2008-12-08,20.700001,22.049999,15.500000,17.010000,17.010000,86795000
2008-12-15,17.090000,17.629999,15.890000,17.389999,17.389999,49299800
2008-12-22,17.549999,17.549999,15.010000,15.320000,15.320000,19578800
2008-12-29,15.310000,17.520000,14.790000,17.440001,17.440001,19895700
2009-01-05,17.450001,20.600000,16.580000,17.790001,17.790001,52425800
2009-01-12,17.740000,18.030001,16.270000,17.530001,17.530001,39770400
2009-01-19,17.270000,17.590000,16.010000,16.950001,16.950001,27061200
2009-01-26,16.790001,17.139999,15.400000,15.440000,15.440000,39614100
2009-02-02,15.200000,19.450001,14.240000,19.340000,19.340000,89540900
2009-02-09,19.100000,19.100000,16.379999,16.930000,16.930000,51041400
2009-02-16,16.459999,17.080000,15.950000,16.379999,16.379999,29533200
2009-02-23,16.200001,17.309999,15.530000,16.309999,16.309999,34214000
2009-03-02,15.840000,16.309999,14.750000,15.310000,15.310000,38935900
2009-03-09,15.120000,18.049999,15.070000,17.760000,17.760000,28180400
2009-03-16,17.799999,19.430000,17.309999,18.219999,18.219999,32899000
2009-03-23,18.299999,19.780001,18.299999,18.690001,18.690001,29667400
2009-03-30,18.330000,20.889999,17.549999,20.700001,20.700001,30770800
2009-04-06,20.490000,20.600000,19.010000,19.690001,19.690001,28268300
2009-04-13,20.100000,20.110001,18.100000,18.620001,18.620001,40392900
2009-04-20,18.100000,20.139999,17.480000,19.969999,19.969999,39054000
2009-04-27,19.540001,21.219999,19.320000,20.000000,20.000000,47872400
2009-05-04,20.150000,22.020000,19.370001,20.180000,20.180000,50725000
2009-05-11,19.730000,21.610001,19.430000,21.030001,21.030001,42155600
2009-05-18,21.030001,23.230000,20.500000,21.900000,21.900000,35922900
2009-05-25,21.620001,23.040001,21.360001,22.990000,22.990000,26683200
