Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,68.110001,73.000000,67.500000,72.209999,44.340332,10851900
2008-04-07,72.320000,75.389999,71.720001,74.959999,46.028961,9610900
2008-04-14,74.919998,76.750000,73.540001,75.769997,46.526356,7642400
2008-04-21,75.209999,78.349998,75.209999,76.900002,47.220238,8372100
2008-04-28,76.879997,79.019997,75.589996,79.019997,48.521999,8765300
2008-05-05,78.449997,78.449997,74.690002,75.989998,46.661446,6953600
2008-05-12,76.389999,77.150002,75.449997,76.820000,47.501709,6250800
2008-05-19,76.779999,80.389999,76.610001,77.760002,48.082981,6884000
2008-05-26,77.860001,80.059998,77.540001,78.709999,48.670403,5098800
2008-06-02,78.419998,79.250000,76.580002,76.830002,47.507919,6563800
2008-06-09,77.370003,80.000000,76.879997,79.790001,49.338226,7448900
2008-06-16,78.989998,82.250000,77.599998,80.940002,50.049332,9099000
2008-06-23,81.120003,83.489998,79.839996,80.010002,49.474262,9388900
2008-06-30,79.970001,83.180000,79.500000,81.790001,50.574928,7158400
2008-07-07,81.879997,84.000000,79.820000,83.209999,51.452980,11248600
2008-07-14,83.349998,83.940002,75.430000,76.690002,47.421333,11925400
2008-07-21,77.059998,79.000000,72.120003,72.220001,44.657314,11345700
2008-07-28,72.180000,74.900002,70.099998,71.489998,44.205917,11543700
2008-08-04,71.529999,72.180000,67.180000,69.760002,43.136166,11689400
2008-08-11,69.760002,71.709999,68.000000,71.510002,44.573845,8963500
2008-08-18,71.730003,73.989998,70.949997,73.629997,45.895283,7147800
2008-08-25,74.000000,74.300003,72.389999,72.639999,45.278187,6038800
2008-09-01,73.050003,73.550003,67.300003,68.699997,42.822308,7892800
2008-09-08,69.510002,72.639999,65.389999,69.419998,43.271076,12828000
2008-09-15,68.019997,72.099998,63.029999,68.930000,42.965660,14818700
2008-09-22,69.169998,69.199997,64.959999,68.639999,42.784897,7216600
2008-09-29,67.889999,68.500000,60.470001,61.009998,38.028954,13840000
2008-10-06,59.970001,61.009998,41.200001,45.450001,28.330034,17370600
2008-10-13,46.980000,58.730000,45.009998,49.990002,31.159924,16238300
2008-10-20,50.500000,54.919998,45.790001,49.180000,30.655025,11982300
2008-10-27,48.709999,55.480000,46.209999,52.160000,32.512547,13775100
2008-11-03,52.349998,58.150002,51.700001,54.740002,34.120708,13567700
2008-11-10,55.709999,56.250000,51.049999,52.750000,33.199757,12238300
2008-11-17,52.090000,56.880001,50.410000,56.820000,35.761333,15572000
