Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,10.800000,11.750000,10.570000,11.080000,8.683624,32958000
2008-04-07,11.100000,11.580000,9.890000,9.910000,7.766671,32359300
2008-04-14,9.870000,10.340000,8.920000,9.690000,7.594253,82484600
2008-04-21,9.620000,9.760000,9.070000,9.690000,7.594253,42489200
2008-04-28,9.720000,10.140000,9.340000,9.830000,7.703972,38640000
2008-05-05,9.700000,9.880000,9.100000,9.170000,7.186717,39154500
2008-05-12,9.170000,9.480000,9.070000,9.400000,7.366973,31419800
2008-05-19,9.460000,9.540000,8.950000,9.150000,7.171043,37963800
2008-05-26,9.190000,9.600000,8.880000,8.910000,6.982949,30041200
2008-06-02,8.900000,8.900000,8.050000,8.060000,6.316788,39144800
2008-06-09,8.060000,8.110000,6.150000,6.530000,5.117695,72389700
2008-06-16,6.560000,6.880000,4.940000,6.670000,5.321047,119912700
2008-06-23,6.850000,6.870000,5.580000,6.110000,4.874302,98428900
2008-06-30,6.040000,6.350000,5.380000,5.490000,4.379692,62270300
2008-07-07,5.500000,6.340000,5.130000,5.640000,4.499356,54662800
2008-07-14,5.750000,8.260000,4.370000,7.030000,5.608242,113222400
2008-07-21,7.300000,8.370000,6.400000,7.000000,5.584305,79099100
2008-07-28,6.890000,7.490000,6.360000,7.340000,5.855546,52095400
2008-08-04,7.140000,8.000000,6.990000,7.840000,6.254425,52397000
2008-08-11,7.630000,8.330000,7.000000,7.970000,6.358133,47080300
2008-08-18,7.600000,7.660000,6.790000,7.510000,5.991164,61969900
2008-08-25,7.390000,7.500000,6.860000,7.320000,5.839591,37371700
2008-09-01,7.650000,8.350000,7.450000,8.350000,6.661280,33735600
2008-09-08,8.780000,9.350000,7.630000,8.600000,6.860722,66870100
2008-09-15,8.190000,13.500000,7.440000,12.750000,10.332868,81209700
2008-09-22,11.500000,12.000000,8.540000,9.330000,7.561228,25832000
2008-09-29,9.000000,11.260000,7.450000,10.720000,8.687712,30068700
2008-10-06,10.090000,11.650000,6.010000,7.390000,5.989011,40073500
2008-10-13,8.650000,10.380000,6.160000,9.250000,7.496393,68498900
2008-10-20,9.480000,10.040000,7.270000,8.000000,6.483367,30487100
2008-10-27,7.990000,11.020000,7.990000,9.450000,7.658479,43452200
2008-11-03,9.500000,10.910000,9.110000,9.480000,7.682791,32739600
2008-11-10,9.600000,9.600000,7.240000,7.790000,6.313179,28543300
2008-11-17,7.730000,7.880000,5.260000,6.260000,5.073236,35982900
2008-11-24,6.350000,8.010000,6.250000,8.000000,6.483367,22385000
2008-12-01,7.750000,8.080000,6.520000,7.940000,6.434742,27875000
2008-12-08,8.170000,8.260000,6.940000,7.310000,5.924177,26512500
2008-12-15,7.310000,8.010000,6.830000,7.310000,6.024974,29284000
2008-12-22,7.350000,7.480000,6.750000,7.020000,5.785953,10807100
2008-12-29,6.990000,8.000000,6.750000,7.980000,6.577193,14822600
2009-01-05,7.930000,8.000000,6.590000,6.640000,5.472754,31280000
2009-01-12,6.570000,6.620000,4.020000,4.560000,3.758396,84360200
2009-01-19,4.530000,4.950000,2.880000,3.270000,2.695166,71960800
2009-01-26,3.320000,4.090000,2.840000,2.880000,2.373725,70872800
2009-02-02,2.850000,2.850000,1.280000,2.360000,1.945135,132729300
2009-02-09,2.830000,3.050000,1.670000,1.690000,1.392915,112762500
2009-02-16,1.510000,1.520000,1.000000,1.360000,1.120926,92342900
2009-02-23,1.630000,2.080000,1.130000,1.460000,1.203346,119599100
