Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,10.457500,10.660000,10.292500,10.612500,6.586387,6617200
2008-04-07,10.692500,10.692500,10.185000,10.242500,6.356754,8107600
2008-04-14,9.620000,10.115000,9.620000,9.940000,6.169015,11599600
2008-04-21,9.845000,9.927500,9.772500,9.892500,6.255671,7599600
2008-04-28,9.962500,10.130000,9.822500,9.992500,6.318909,6238400
2008-05-05,10.025000,10.320000,10.000000,10.097500,6.385305,8563200
2008-05-12,10.137500,10.495000,10.120000,10.442500,6.603473,7165200
2008-05-19,10.367500,10.457500,9.530000,9.625000,6.086514,16154400
2008-05-26,9.640000,9.720000,9.420000,9.447500,5.974268,17298400
2008-06-02,9.427500,9.587500,9.197500,9.212500,5.825665,17110800
2008-06-09,9.252500,9.295000,9.055000,9.135000,5.776655,11378000
2008-06-16,9.187500,9.192500,8.755000,8.882500,5.616983,11045200
2008-06-23,8.907500,8.947500,8.555000,8.567500,5.417787,10368800
2008-06-30,8.545000,8.725000,8.347500,8.682500,5.490510,7190000
2008-07-07,8.702500,9.027500,8.670000,8.827500,5.582203,10502400
2008-07-14,8.865000,9.077500,8.727500,8.957500,5.664411,7310000
2008-07-21,9.000000,9.250000,8.835000,9.037500,5.837193,6399600
2008-07-28,8.995000,9.280000,8.935000,9.055000,5.848496,5369600
2008-08-04,9.040000,9.522500,8.642500,8.910000,5.754841,8371200
2008-08-11,8.885000,8.885000,8.585000,8.747500,5.649885,17240800
2008-08-18,8.772500,9.125000,8.500000,8.890000,5.741925,10621600
2008-08-25,8.887500,9.052500,8.845000,8.915000,5.758072,8415600
2008-09-01,9.007500,9.147500,8.790000,8.990000,5.806514,9065600
2008-09-08,9.140000,9.320000,9.007500,9.315000,6.016426,10240400
2008-09-15,9.375000,9.375000,8.812500,9.072500,5.859800,11277200
2008-09-22,9.022500,9.172500,8.645000,9.095000,5.874334,7758000
2008-09-29,9.035000,9.335000,8.925000,9.105000,5.880790,10514400
2008-10-06,8.985000,9.115000,7.407500,8.075000,5.215528,17845600
2008-10-13,8.375000,8.812500,7.820000,8.485000,5.480341,13076800
2008-10-20,7.977500,7.977500,6.815000,7.120000,4.700931,22580400
2008-10-27,7.090000,7.262500,6.742500,7.065000,4.664617,13186800
2008-11-03,7.072500,7.352500,6.682500,6.820000,4.502859,8956800
2008-11-10,6.887500,7.022500,6.517500,6.690000,4.417027,10584400
2008-11-17,6.702500,7.360000,6.550000,7.202500,4.755402,13440400
2008-11-24,7.252500,7.402500,6.500000,6.640000,4.384014,14768400
2008-12-01,6.620000,6.777500,6.202500,6.775000,4.473145,20416000
2008-12-08,6.867500,7.390000,6.832500,7.340000,4.846184,18031600
2008-12-15,7.342500,7.800000,7.320000,7.657500,5.055811,18147200
2008-12-22,7.635000,7.737500,7.400000,7.652500,5.052512,7981600
2008-12-29,7.675000,7.902500,7.547500,7.887500,5.207667,6995200
2009-01-05,7.885000,7.970000,7.547500,7.602500,5.019497,13417600
2009-01-12,7.587500,7.862500,7.507500,7.837500,5.174656,8971600
2009-01-19,7.835000,7.895000,7.482500,7.612500,5.026101,9045200
2009-01-26,7.647500,7.847500,7.392500,7.457500,5.048416,8279600
2009-02-02,7.420000,7.872500,7.312500,7.852500,5.315813,8818400
2009-02-09,7.855000,7.882500,7.617500,7.757500,5.251503,6236800
2009-02-16,7.642500,8.262500,7.510000,7.995000,5.412280,11289200
2009-02-23,8.025000,8.357500,7.807500,7.957500,5.386895,18273200
2009-03-02,7.875000,8.007500,7.315000,7.590000,5.138113,68318800
2009-03-09,7.560000,7.722500,7.482500,7.622500,5.160113,15340400
2009-03-16,7.712500,7.847500,7.572500,7.755000,5.249812,14097200
2009-03-23,7.770000,7.987500,7.750000,7.872500,5.329354,10192400
2009-03-30,7.775000,8.177500,7.747500,8.010000,5.422435,10702800
2009-04-06,8.005000,8.122500,7.825000,7.927500,5.366585,9408400
2009-04-13,7.925000,8.057500,7.755000,8.022500,5.430896,8508800
2009-04-20,7.995000,8.090000,7.622500,7.657500,5.312596,11407600
2009-04-27,7.390000,7.867500,7.290000,7.827500,5.430538,16826000
2009-05-04,7.855000,8.005000,7.785000,7.990000,5.543278,10778400
2009-05-11,7.967500,8.217500,7.852500,8.147500,5.652548,12779200
2009-05-18,8.185000,8.652500,8.090000,8.557500,5.936996,15740400
2009-05-25,8.542500,8.712500,8.452500,8.685000,6.025453,9002800
2009-06-01,8.730000,8.997500,8.697500,8.772500,6.086159,11530000
2009-06-08,8.775000,8.852500,8.557500,8.782500,6.093096,9717600
2009-06-15,8.700000,8.700000,8.410000,8.620000,5.980358,9253200
2009-06-22,8.580000,8.682500,8.417500,8.617500,5.978622,10712000
2009-06-29,8.585000,8.885000,8.550000,8.630000,5.987294,6623200
2009-07-06,8.577500,8.900000,8.432500,8.622500,5.982092,10117600
2009-07-13,8.680000,8.790000,8.557500,8.650000,6.001173,9478800
2009-07-20,8.657500,9.092500,8.612500,8.972500,6.365091,8588000
2009-07-27,8.957500,9.135000,8.870000,8.977500,6.368637,7656400
2009-08-03,8.965000,9.125000,8.885000,9.030000,6.405880,7778800
2009-08-10,9.685000,9.760000,9.265000,9.347500,6.631114,15725600
2009-08-17,9.320000,9.637500,9.075000,9.497500,6.737525,12821600
2009-08-24,9.475000,9.475000,9.167500,9.222500,6.542439,10484800
2009-08-31,9.215000,9.352500,9.060000,9.217500,6.538893,11788800
2009-09-07,9.270000,9.380000,9.205000,9.367500,6.645303,7242800
2009-09-14,9.390000,9.397500,9.157500,9.287500,6.588551,13206400
2009-09-21,9.252500,9.347500,8.990000,9.000000,6.384597,9783200
2009-09-28,9.000000,9.025000,8.725000,8.865000,6.288829,17752000
2009-10-05,8.887500,8.887500,8.660000,8.812500,6.251585,11263600
