Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,27.270000,28.930000,26.770000,28.260000,26.171551,14834300
2008-04-07,28.280001,28.430000,27.180000,27.230000,25.217667,9726900
2008-04-14,27.170000,29.020000,27.020000,29.000000,26.856861,15535800
2008-04-21,28.660000,28.730000,27.250000,27.600000,25.560326,15713100
2008-04-28,27.690001,28.360001,26.730000,28.180000,26.097460,15722200
2008-05-05,27.940001,28.120001,26.780001,26.889999,24.902794,16784600
2008-05-12,26.889999,28.129999,26.580000,27.780001,25.727020,16949000
2008-05-19,27.770000,29.290001,27.040001,27.520000,25.486240,29612800
2008-05-26,27.480000,29.150000,27.480000,28.959999,26.819822,13800900
2008-06-02,28.750000,30.059999,28.299999,29.080000,26.930948,20294600
2008-06-09,29.080000,29.549999,28.250000,29.400000,27.227304,19748700
2008-06-16,29.129999,30.000000,28.500000,28.570000,26.458639,19361300
2008-06-23,28.809999,29.280001,27.820000,28.110001,26.032639,23114500
2008-06-30,28.320000,28.330000,27.090000,27.790001,25.736284,14756900
2008-07-07,28.139999,28.440001,26.200001,26.610001,24.643492,28496400
2008-07-14,26.870001,28.090000,26.180000,28.010000,25.940025,18723800
2008-07-21,27.910000,28.219999,26.709999,27.340000,25.319550,17062100
2008-07-28,27.110001,27.860001,26.389999,27.440001,25.412149,16837700
2008-08-04,27.600000,30.000000,27.350000,29.870001,27.662567,22200500
2008-08-11,29.879999,30.879999,29.830000,30.570000,28.310841,19426500
2008-08-18,30.860001,31.750000,29.450001,31.160000,28.857237,23382900
2008-08-25,30.799999,31.100000,30.030001,30.070000,27.847792,17877600
2008-09-01,30.440001,31.000000,29.360001,29.850000,27.644049,21554700
2008-09-08,30.290001,31.940001,29.799999,30.440001,28.190449,22594300
2008-09-15,29.790001,32.000000,29.129999,31.740000,29.394381,33342200
2008-09-22,31.129999,32.000000,30.670000,31.940001,29.579596,21102200
2008-09-29,31.540001,31.969999,27.740000,27.830000,25.773331,33212100
2008-10-06,27.410000,27.959999,23.350000,25.049999,23.198774,38064400
2008-10-13,25.730000,27.570000,22.719999,24.770000,22.939465,31330000
2008-10-20,25.030001,26.000000,22.030001,22.809999,21.124313,25762300
2008-10-27,22.410000,25.299999,21.760000,25.059999,23.208035,25453000
2008-11-03,25.100000,26.240000,23.709999,24.000000,22.226366,20068100
2008-11-10,24.559999,24.700001,20.500000,21.580000,19.985205,21141000
2008-11-17,21.370001,23.000000,20.240000,22.600000,20.929838,28889600
2008-11-24,23.000000,23.030001,21.430000,22.160000,20.522354,15940100
2008-12-01,21.650000,23.440001,20.180000,23.350000,21.624407,26140900
2008-12-08,23.410000,24.000000,21.950001,22.990000,21.291006,17841200
2008-12-15,23.240000,23.910000,22.250000,23.250000,21.531794,18361800
2008-12-22,23.190001,23.340000,22.350000,22.740000,21.059484,6542800
2008-12-29,22.309999,24.510000,22.309999,24.400000,22.596813,8754200
2009-01-05,24.160000,25.530001,24.020000,24.520000,22.707945,15609600
2009-01-12,24.290001,24.610001,23.110001,24.010000,22.235632,16623700
2009-01-19,23.930000,24.209999,22.480000,23.379999,21.652189,16453700
2009-01-26,23.270000,24.059999,22.629999,22.650000,20.976137,20507600
2009-02-02,22.590000,24.639999,22.510000,24.540001,22.726467,17764000
2009-02-09,24.480000,24.840000,22.450001,22.969999,21.272491,19365900
2009-02-16,22.059999,24.520000,21.070000,23.990000,22.217110,29646500
2009-02-23,23.990000,24.250000,22.760000,22.790001,21.105785,27204700
2009-03-02,22.510000,23.670000,22.000000,23.230000,21.513271,28862300
2009-03-09,23.040001,25.459999,22.860001,25.340000,23.467346,22245100
2009-03-16,25.450001,26.990000,25.059999,25.430000,23.550694,30203900
2009-03-23,25.860001,27.570000,25.680000,26.830000,24.847231,23257900
2009-03-30,26.420000,28.320000,26.270000,27.730000,25.680723,18198200
2009-04-06,27.790001,27.790001,26.440001,26.639999,24.671278,16418400
2009-04-13,25.910000,26.209999,25.020000,25.580000,23.689608,24645400
2009-04-20,24.150000,25.000000,23.730000,24.370001,22.569025,23447000
2009-04-27,23.459999,23.620001,22.740000,22.990000,21.291006,20978900
2009-05-04,22.809999,24.570000,22.760000,24.059999,22.281939,20251900
2009-05-11,23.820000,24.780001,23.709999,23.980000,22.207846,13669600
2009-05-18,24.190001,27.830000,24.020000,26.639999,24.671278,23256700
2009-05-25,26.770000,27.860001,26.510000,27.219999,25.208410,18800800
2009-06-01,27.510000,27.990000,27.129999,27.889999,25.828899,17505400
2009-06-08,28.270000,28.799999,27.790001,28.639999,26.523470,17390800
2009-06-15,28.120001,28.559999,27.340000,28.090000,26.014112,18592100
2009-06-22,27.450001,28.549999,27.120001,28.350000,26.254902,15868300
2009-06-29,28.110001,28.700001,27.700001,27.850000,25.791849,10977400
2009-07-06,27.870001,28.000000,26.879999,27.459999,25.430672,14961500
2009-07-13,27.410000,28.480000,26.930000,27.950001,25.884460,19326200
2009-07-20,27.950001,29.309999,27.760000,29.230000,27.069870,14765300
2009-07-27,29.110001,30.010000,28.969999,29.700001,27.505133,12477200
2009-08-03,29.700001,30.299999,29.250000,30.200001,27.968180,15615300
2009-08-10,29.980000,31.290001,29.940001,30.389999,28.144142,14426100
2009-08-17,30.129999,31.090000,27.610001,28.620001,26.504946,28105600
2009-08-24,28.680000,28.690001,28.010000,28.129999,26.051157,22225800
2009-08-31,28.090000,28.280001,27.360001,28.209999,26.125242,20426000
2009-09-07,28.120001,28.299999,27.740000,27.840000,25.782591,13437900
2009-09-14,27.790001,28.100000,27.200001,27.770000,25.717764,17527900
2009-09-21,27.840000,28.260000,27.270000,27.650000,25.606632,20941200
2009-09-28,27.750000,28.580000,27.559999,27.770000,25.717764,16005100
2009-10-05,27.670000,28.700001,27.600000,28.660000,26.541992,23726100
2009-10-12,28.700001,29.959999,28.639999,29.830000,27.625532,20814100
2009-10-19,29.930000,30.330000,29.280001,29.870001,27.662567,17571500
2009-10-26,29.790001,30.430000,29.070000,29.070000,26.921694,21237500
2009-11-02,28.969999,29.940001,28.790001,29.690001,27.495874,13324200
2009-11-09,29.780001,30.490000,29.580000,29.900000,27.690355,17152700
2009-11-16,29.920000,30.500000,29.270000,29.660000,27.468094,17396300
2009-11-23,29.750000,30.160000,29.030001,29.270000,27.106911,9246600
2009-11-30,29.120001,29.870001,28.850000,29.750000,27.551439,12672200
2009-12-07,29.650000,30.240000,28.980000,29.760000,27.560699,13735000
2009-12-14,30.000000,30.500000,29.840000,30.469999,28.218233,18524500
2009-12-21,30.530001,30.990000,30.520000,30.940001,28.653502,6450500
2009-12-28,30.879999,31.250000,30.709999,30.730000,28.459017,5523100
2010-01-04,31.090000,31.150000,30.120001,31.080000,28.783152,15729500
2010-01-11,30.930000,31.969999,30.879999,31.459999,29.135069,16051200
2010-01-18,31.379999,31.920000,30.059999,30.100000,27.875580,10582200
2010-01-25,30.200001,30.549999,29.400000,29.610001,27.421789,18486400
2010-02-01,29.510000,30.150000,29.030001,29.440001,27.264351,15604000
2010-02-08,29.400000,29.709999,29.000000,29.389999,27.218044,13462700
2010-02-15,29.469999,33.150002,29.260000,32.720001,30.301952,17100900
2010-02-22,32.599998,32.830002,31.580000,32.360001,29.968554,23670100
2010-03-01,32.330002,33.930000,32.290001,33.910000,31.404011,17425200
2010-03-08,33.790001,34.669998,33.740002,34.610001,32.052284,16229300
