Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,24.459999,25.870001,23.690001,24.030001,22.604971,62487800
2008-04-07,24.170000,24.280001,22.230000,22.830000,21.476131,64389900
2008-04-14,22.870001,24.670000,22.480000,24.480000,23.028288,53432900
2008-04-21,24.100000,26.870001,24.090000,26.709999,25.126040,81368300
2008-04-28,26.700001,29.490000,26.570000,28.790001,27.082693,61858300
2008-05-05,28.719999,29.080000,27.000000,27.320000,25.699865,47574100
2008-05-12,27.500000,29.040001,26.870001,28.889999,27.176760,45825200
2008-05-19,28.950001,29.350000,26.879999,27.280001,25.662241,50051500
2008-05-26,27.440001,28.299999,27.260000,27.520000,25.888008,31250300
2008-06-02,27.440001,27.480000,26.290001,26.650000,25.069595,58621600
2008-06-09,26.799999,26.879999,23.740000,24.190001,22.755487,88199100
2008-06-16,24.020000,24.620001,21.920000,22.740000,21.391470,89326800
2008-06-23,22.770000,23.680000,22.180000,22.639999,21.297401,60594700
2008-06-30,22.570000,23.100000,21.379999,22.750000,21.400879,53915200
2008-07-07,23.360001,23.990000,21.230000,21.760000,20.469585,73748200
2008-07-14,22.209999,23.799999,20.790001,22.549999,21.212742,65136300
2008-07-21,22.840000,27.049999,21.600000,26.570000,24.994341,111407300
2008-07-28,26.410000,26.969999,24.870001,26.170000,24.618063,76891700
2008-08-04,25.799999,26.940001,24.740000,26.799999,25.210703,61355600
2008-08-11,26.670000,27.650000,25.450001,26.969999,25.370619,49480000
2008-08-18,27.059999,27.139999,25.129999,25.879999,24.345259,34822400
2008-08-25,25.440001,26.240000,24.969999,25.700001,24.175934,38058700
2008-09-01,26.209999,26.440001,23.100000,24.150000,22.717855,53024400
2008-09-08,24.799999,25.879999,24.410000,25.809999,24.279409,66286700
2008-09-15,25.480000,27.320000,23.450001,26.900000,25.304770,89230900
2008-09-22,26.760000,26.940001,22.309999,23.020000,21.654869,54440200
2008-09-29,22.530001,22.889999,18.240000,18.559999,17.459349,79431000
2008-10-06,18.290001,19.230000,15.270000,16.459999,15.483885,81951800
2008-10-13,17.280001,19.750000,15.690000,17.990000,16.923155,63650300
2008-10-20,18.469999,20.100000,15.410000,16.500000,15.521514,83593200
2008-10-27,16.549999,19.480000,16.430000,18.740000,17.628675,49100000
2008-11-03,18.780001,19.059999,16.200001,17.360001,16.330515,38861400
2008-11-10,17.870001,17.870001,14.200000,15.030000,14.138689,40663100
2008-11-17,14.740000,15.420000,13.290000,14.910000,14.025805,57640300
2008-11-24,15.380000,17.580000,15.030000,17.379999,16.349325,34451300
2008-12-01,16.990000,16.990000,15.150000,16.299999,15.333375,47942800
2008-12-08,16.600000,18.400000,16.209999,17.459999,16.424585,50395000
2008-12-15,17.420000,17.879999,16.670000,16.860001,15.860168,48231500
2008-12-22,16.770000,17.180000,16.260000,16.930000,15.926016,15181200
2008-12-29,17.020000,18.469999,16.740000,18.389999,17.299433,20331400
2009-01-05,18.330000,18.840000,17.129999,17.639999,16.593912,46230400
2009-01-12,17.690001,17.740000,15.690000,16.389999,15.418037,43979700
2009-01-19,16.230000,17.950001,15.390000,17.680000,16.631540,55393100
2009-01-26,17.740000,18.600000,13.750000,14.160000,13.320282,99181900
2009-02-02,13.900000,16.830000,13.830000,16.350000,15.380409,91467500
2009-02-09,15.730000,16.639999,14.980000,15.410000,14.496154,55132600
2009-02-16,15.000000,15.250000,14.440000,14.680000,13.809445,41021800
2009-02-23,14.810000,15.240000,14.010000,14.210000,13.367317,66568800
2009-03-02,14.190000,14.190000,12.430000,12.670000,11.918642,83206100
2009-03-09,12.550000,14.950000,12.510000,14.740000,13.865886,83317600
2009-03-16,14.990000,16.030001,14.560000,15.090000,14.195130,74852300
2009-03-23,15.350000,16.639999,15.160000,15.820000,14.881840,80362700
2009-03-30,15.450000,17.270000,14.750000,17.030001,16.020086,86802200
2009-04-06,16.360001,18.570000,15.600000,18.340000,17.252401,85111600
2009-04-13,18.120001,19.320000,17.650000,18.490000,17.393501,63058100
2009-04-20,18.010000,22.430000,17.549999,22.330000,21.005785,98219500
2009-04-27,21.709999,22.350000,20.690001,22.160000,20.845863,67146700
2009-05-04,22.180000,23.410000,21.020000,21.850000,20.554249,73053200
2009-05-11,21.549999,22.120001,20.950001,21.559999,20.281445,46686100
2009-05-18,21.559999,23.840000,21.370001,23.190001,21.814787,41743900
2009-05-25,22.870001,25.240000,22.870001,24.730000,23.263458,52808700
2009-06-01,24.660000,25.440001,23.400000,24.100000,22.670822,63537000
2009-06-08,23.760000,24.490000,23.180000,23.870001,22.454460,46960000
2009-06-15,23.549999,23.820000,22.160000,22.420000,21.090448,59898300
2009-06-22,22.110001,23.230000,21.230000,22.629999,21.287998,66811900
2009-06-29,22.639999,24.610001,22.629999,23.549999,22.153437,60427600
2009-07-06,23.440001,24.090000,22.459999,23.200001,21.824192,63697500
2009-07-13,23.110001,25.299999,22.850000,25.190001,23.696182,58097900
2009-07-20,25.299999,26.969999,25.000000,26.860001,25.267147,72025800
2009-07-27,26.820000,26.860001,25.379999,26.129999,24.580437,39144500
2009-08-03,26.010000,26.400000,25.010000,25.400000,23.893728,32523200
2009-08-10,25.200001,25.629999,24.420000,24.620001,23.159983,32878800
2009-08-17,24.100000,24.920000,23.459999,24.610001,23.150576,46908900
2009-08-24,24.559999,24.650000,22.670000,23.580000,22.181658,44095100
2009-08-31,23.500000,23.840000,22.450001,23.770000,22.360388,36614600
2009-09-07,23.900000,26.650000,23.900000,26.420000,24.853243,52543300
2009-09-14,26.280001,27.790001,26.030001,27.620001,25.982080,33159900
2009-09-21,27.400000,28.049999,25.670000,26.320000,24.759169,31123700
2009-09-28,26.700001,27.680000,25.750000,25.850000,24.317043,38425000
2009-10-05,25.920000,27.610001,25.820000,27.530001,25.897413,28987200
2009-10-12,27.459999,28.469999,26.180000,26.500000,24.928495,49435600
2009-10-19,26.600000,28.740000,26.600000,27.309999,25.690456,54070200
2009-10-26,27.230000,27.580000,25.049999,25.510000,23.997206,63234800
2009-11-02,26.030001,26.120001,25.160000,25.330000,23.827875,34928600
2009-11-09,25.840000,26.520000,24.040001,26.150000,24.599249,74203400
2009-11-16,26.430000,26.480000,24.870001,25.200001,23.705589,27054300
2009-11-23,25.580000,26.280001,25.270000,25.670000,24.147715,25611100
2009-11-30,25.680000,27.900000,25.580000,27.330000,25.709272,30044300
2009-12-07,26.920000,27.500000,26.510000,26.780001,25.191891,29389400
2009-12-14,26.799999,27.020000,25.340000,26.100000,24.552212,38511500
2009-12-21,26.190001,26.700001,26.150000,26.430000,24.862644,11621800
2009-12-28,26.530001,27.230000,26.400000,26.670000,25.088415,10951000
2010-01-04,26.920000,27.320000,25.700001,26.250000,24.693317,34202600
2010-01-11,26.290001,26.760000,25.760000,26.580000,25.003748,30039200
2010-01-18,26.500000,26.900000,24.910000,24.950001,23.470415,27272100
2010-01-25,25.190001,26.200001,24.350000,24.830000,23.357533,45334000
2010-02-01,24.379999,25.500000,24.059999,25.000000,23.517448,40726000
2010-02-08,24.959999,25.379999,24.620001,24.760000,23.291681,23135100
2010-02-15,24.990000,27.480000,24.799999,27.440001,25.812752,32055500
2010-02-22,27.389999,28.049999,26.660000,27.980000,26.320726,42219100
2010-03-01,27.980000,29.120001,27.910000,29.100000,27.374308,25727000
2010-03-08,28.940001,30.900000,28.940001,29.940001,28.164494,35574000
2010-03-15,29.870001,30.870001,29.580000,29.889999,28.117460,26826500
2010-03-22,29.400000,31.240000,29.270000,30.490000,28.681879,28261800
2010-03-29,30.639999,31.320000,30.209999,30.450001,28.644253,15006100
2010-04-05,30.780001,31.870001,30.430000,31.650000,29.773087,32675500
2010-04-12,31.639999,32.160000,30.959999,31.209999,29.359179,24508600
2010-04-19,30.969999,31.809999,29.230000,30.070000,28.286785,62115900
2010-04-26,30.139999,30.330000,28.370001,28.410000,26.725227,34859800
2010-05-03,28.549999,29.070000,25.350000,26.730000,25.144855,44233500
2010-05-10,27.860001,29.000000,27.049999,27.500000,25.869190,32663200
