Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,50.220001,52.939999,50.139999,52.279999,35.079758,32175300
2008-04-07,52.759998,53.400002,51.650002,51.930000,34.844917,26918900
2008-04-14,51.980000,52.639999,51.250000,52.070000,34.938847,27856100
2008-04-21,50.700001,50.750000,48.259998,49.360001,33.120453,34266600
2008-04-28,49.549999,49.900002,47.860001,49.380001,33.133850,29537900
2008-05-05,49.259998,49.259998,47.759998,48.250000,32.375637,22837400
2008-05-12,48.400002,49.849998,47.500000,48.950001,32.845333,23671400
2008-05-19,48.990002,49.770000,47.549999,47.570000,32.230011,19303300
2008-05-26,47.680000,48.919998,47.500000,48.139999,32.616215,16857300
2008-06-02,48.279999,49.820000,47.410000,48.419998,32.805916,36277600
2008-06-09,48.770000,48.770000,47.250000,48.330002,32.744934,24537400
2008-06-16,47.919998,48.599998,46.630001,46.930000,31.796406,28865800
2008-06-23,47.040001,47.740002,45.570000,45.610001,30.902063,34593200
2008-06-30,45.770000,47.099998,45.360001,46.980000,31.830280,21058500
2008-07-07,46.910000,49.459999,45.919998,47.669998,32.297764,33883500
2008-07-14,48.150002,48.610001,47.299999,47.910000,32.460392,33193300
2008-07-21,47.970001,48.500000,46.509998,47.810001,32.392639,26168000
2008-07-28,47.820000,49.119999,46.570000,47.040001,31.870932,27354100
2008-08-04,46.910000,48.580002,46.910000,48.509998,32.866898,23513300
2008-08-11,48.500000,49.779999,47.930000,48.779999,33.049828,26426500
2008-08-18,48.810001,48.820000,46.570000,48.029999,32.855232,25535300
2008-08-25,47.910000,48.630001,46.459999,46.650002,31.911228,21881700
2008-09-01,47.209999,47.610001,45.119999,45.439999,31.083523,19510000
2008-09-08,46.310001,47.880001,45.529999,46.599998,31.877045,28707800
2008-09-15,45.849998,47.340000,43.810001,46.689999,31.938583,44452400
2008-09-22,46.570000,47.720001,45.400002,46.820000,32.027519,36010800
2008-09-29,44.709999,46.049999,41.240002,41.310001,28.258369,40531100
2008-10-06,40.639999,40.700001,29.250000,31.360001,21.452009,70102200
2008-10-13,32.509998,37.560001,31.500000,32.200001,22.026613,48991100
2008-10-20,32.560001,34.639999,31.139999,31.730000,21.705114,39407600
2008-10-27,31.299999,34.549999,29.900000,33.820000,23.134785,39280000
2008-11-03,34.439999,35.639999,32.599998,34.200001,23.394726,28918400
2008-11-10,34.770000,35.500000,31.760000,32.060001,21.930849,38082400
2008-11-17,31.709999,33.970001,28.620001,30.430000,21.107882,38095700
2008-11-24,30.900000,34.500000,30.510000,34.150002,23.688271,22963700
2008-12-01,33.320000,35.250000,30.629999,34.939999,24.236252,35331700
2008-12-08,35.680000,36.590000,34.299999,36.410000,25.255932,30852500
