Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,23.120001,23.719999,20.950001,21.709999,3.970880,196931400
2008-04-07,21.750000,22.010000,20.830000,21.370001,12.673639,118273200
2008-04-14,21.410000,22.160000,21.190001,22.100000,13.106570,94831800
2008-04-21,22.110001,22.660000,21.200001,21.700001,12.869352,96437000
2008-04-28,21.500000,21.590000,19.950001,20.430000,12.116166,140425700
2008-05-05,20.750000,21.350000,20.500000,20.940001,12.418625,88936800
2008-05-12,20.950001,22.490000,20.900000,22.450001,13.314142,79924700
2008-05-19,22.330000,23.020000,22.170000,22.280001,13.213321,89335100
2008-05-26,22.330000,22.700001,22.010000,22.260000,13.201459,53133700
2008-06-02,22.320000,22.350000,21.520000,21.530001,12.768527,66580000
2008-06-09,21.670000,21.680000,20.670000,20.900000,12.394901,76430600
2008-06-16,21.000000,21.000000,20.540001,20.780001,12.495224,74172600
2008-06-23,20.830000,21.840000,20.250000,20.350000,12.236661,74405900
2008-06-30,20.340000,20.730000,19.840000,20.120001,12.098364,57649700
2008-07-07,20.160000,21.549999,20.030001,21.260000,12.783855,66815900
2008-07-14,21.330000,21.520000,20.360001,20.450001,12.296793,68940900
2008-07-21,20.530001,21.450001,20.100000,21.070000,12.669604,60863300
2008-07-28,21.139999,21.860001,20.100000,20.900000,12.567384,73704700
2008-08-04,20.950001,21.469999,20.670000,20.950001,12.597449,66315800
2008-08-11,20.959999,21.809999,20.950001,21.600000,12.988299,54646600
2008-08-18,21.680000,21.740000,20.650000,20.920000,12.579408,42389900
2008-08-25,20.799999,21.440001,20.530001,21.030001,12.645552,44696500
2008-09-01,21.129999,21.700001,20.629999,20.950001,12.597449,64539300
2008-09-08,21.379999,21.850000,20.299999,21.160000,12.723725,94521100
2008-09-15,20.650000,21.100000,19.740000,20.540001,12.544273,108805000
2008-09-22,20.680000,20.959999,19.700001,20.889999,12.758022,76744300
2008-09-29,20.709999,20.910000,19.260000,20.290001,12.391595,104867100
2008-10-06,19.930000,20.540001,16.260000,17.160000,10.480024,165112200
2008-10-13,18.350000,20.740000,17.629999,19.320000,11.799185,145738300
2008-10-20,19.930000,20.440001,18.500000,19.219999,11.738114,122887200
2008-10-27,18.950001,19.969999,18.250000,19.190001,11.719795,111254400
2008-11-03,19.389999,19.590000,17.469999,17.980000,10.980817,87776800
2008-11-10,18.320000,18.400000,15.900000,16.260000,9.930372,119752200
2008-11-17,16.040001,17.200001,14.340000,15.490000,9.460114,158645100
2008-11-24,15.990000,16.080000,15.230000,16.080000,9.820440,85518200
2008-12-01,16.000000,16.030001,14.620000,15.000000,9.160861,126095500
2008-12-08,15.340000,15.480000,14.750000,15.340000,9.368505,119488500
2008-12-15,15.710000,15.880000,14.420000,15.280000,9.331861,176384300
