Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,5.490000,6.940000,5.490000,6.760000,6.760000,277761900
2008-04-07,6.820000,7.060000,6.360000,6.900000,6.900000,104904800
2008-04-14,6.910000,7.430000,6.420000,7.400000,7.400000,110390800
2008-04-21,7.420000,7.800000,7.200000,7.680000,7.680000,107689000
2008-04-28,7.600000,8.280000,7.600000,8.240000,8.240000,101635000
2008-05-05,8.170000,8.490000,8.040000,8.370000,8.370000,89923900
2008-05-12,8.410000,8.960000,8.170000,8.840000,8.840000,100151100
2008-05-19,8.860000,8.970000,7.990000,8.210000,8.210000,128040600
2008-05-26,8.240000,8.370000,7.990000,8.070000,8.070000,57076900
2008-06-02,8.100000,8.630000,8.020000,8.290000,8.290000,88930500
2008-06-09,8.270000,8.300000,7.280000,7.660000,7.660000,89813300
2008-06-16,7.650000,7.920000,6.850000,7.230000,7.230000,93197400
2008-06-23,7.250000,7.640000,6.060000,6.100000,6.100000,120539300
2008-06-30,6.120000,6.150000,5.540000,5.770000,5.770000,104861600
2008-07-07,5.790000,5.880000,5.210000,5.440000,5.440000,134842700
2008-07-14,5.500000,5.750000,5.110000,5.700000,5.700000,92894500
2008-07-21,5.730000,5.760000,4.830000,4.970000,4.970000,119219100
2008-07-28,4.950000,5.010000,4.420000,4.670000,4.670000,99481500
2008-08-04,4.670000,5.310000,4.640000,5.270000,5.270000,92838200
2008-08-11,5.150000,5.440000,5.020000,5.390000,5.390000,71535700
2008-08-18,5.400000,5.420000,4.560000,4.690000,4.690000,60668500
2008-08-25,4.650000,4.740000,4.210000,4.240000,4.240000,80086800
2008-09-01,4.310000,4.420000,4.120000,4.360000,4.360000,67072700
2008-09-08,4.500000,5.200000,4.240000,5.130000,5.130000,137947300
2008-09-15,4.910000,5.000000,3.610000,4.840000,4.840000,158539500
2008-09-22,4.800000,4.910000,4.090000,4.650000,4.650000,140673500
2008-09-29,4.540000,5.010000,3.910000,4.440000,4.440000,147133100
2008-10-06,4.300000,4.480000,3.460000,3.550000,3.550000,163267300
2008-10-13,3.950000,4.700000,3.800000,4.120000,4.120000,140425200
2008-10-20,4.160000,4.680000,3.300000,3.550000,3.550000,120009500
2008-10-27,3.420000,4.790000,3.250000,4.710000,4.710000,102679600
2008-11-03,4.710000,5.170000,4.300000,4.480000,4.480000,88182900
2008-11-10,4.500000,4.540000,2.630000,2.750000,2.750000,126400000
2008-11-17,2.780000,2.780000,1.590000,1.870000,1.870000,123979300
2008-11-24,1.900000,2.840000,1.890000,2.740000,2.740000,67784000
2008-12-01,2.700000,2.700000,1.750000,2.040000,2.040000,137300900
2008-12-08,2.130000,2.370000,1.760000,2.070000,2.070000,109916600
2008-12-15,2.080000,3.000000,1.850000,2.990000,2.990000,124331400
2008-12-22,2.750000,2.960000,2.120000,2.590000,2.590000,75370600
2008-12-29,2.550000,2.900000,2.250000,2.840000,2.840000,54631400
2009-01-05,2.940000,3.670000,2.840000,3.290000,3.290000,146552800
2009-01-12,3.330000,3.450000,2.820000,3.400000,3.400000,101545500
2009-01-19,3.270000,3.600000,3.050000,3.560000,3.560000,93559000
2009-01-26,3.550000,3.860000,3.320000,3.720000,3.720000,87225100
2009-02-02,3.760000,4.250000,3.460000,4.080000,4.080000,137254900
2009-02-09,4.100000,4.400000,3.560000,3.730000,3.730000,145295600
2009-02-16,3.550000,3.550000,2.690000,2.810000,2.810000,95315500
2009-02-23,2.850000,3.450000,2.760000,3.220000,3.220000,85529300
2009-03-02,3.130000,3.310000,2.710000,2.910000,2.910000,75260100
2009-03-09,2.870000,3.650000,2.550000,3.640000,3.640000,114982500
2009-03-16,3.830000,3.890000,3.430000,3.430000,3.430000,94807500
2009-03-23,3.560000,4.350000,3.510000,4.170000,4.170000,113525700
2009-03-30,4.090000,4.660000,3.780000,4.500000,4.500000,101131100
2009-04-06,4.410000,4.650000,4.010000,4.450000,4.450000,200483400
2009-04-13,4.360000,5.100000,4.140000,5.000000,5.000000,161244600
2009-04-20,4.920000,5.280000,4.490000,4.860000,4.860000,129484200
2009-04-27,4.700000,5.090000,4.470000,4.890000,4.890000,107085100
2009-05-04,5.080000,5.640000,4.600000,4.850000,4.850000,111892900
