Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,5.167143,5.448571,4.840000,5.172857,5.172857,56168000
2008-04-07,5.231429,5.298572,5.015714,5.072857,5.072857,33211500
2008-04-14,5.142857,5.842857,5.064286,5.508572,5.508572,66715600
2008-04-21,5.508572,5.804286,4.207143,4.851429,4.851429,139512100
2008-04-28,4.740000,4.792857,4.334286,4.442857,4.442857,53561900
2008-05-05,4.464286,4.525714,4.247143,4.388571,4.388571,34918100
2008-05-12,4.385714,4.560000,4.222857,4.522857,4.522857,54730900
2008-05-19,4.505714,4.907143,4.302857,4.458571,4.458571,72414300
2008-05-26,4.460000,4.628572,4.258572,4.337143,4.337143,43372000
2008-06-02,4.334286,4.857143,4.334286,4.545714,4.545714,41435800
2008-06-09,4.545714,4.610000,4.314286,4.602857,4.602857,25593400
2008-06-16,4.571429,4.608572,4.252857,4.485714,4.485714,29790600
2008-06-23,4.500000,4.501429,3.758571,3.820000,3.820000,49665000
2008-06-30,3.787143,3.970000,3.720000,3.897143,3.897143,49780500
2008-07-07,3.928571,4.150000,3.770000,3.887143,3.887143,49098000
2008-07-14,3.901428,4.045714,3.842857,3.871428,3.871428,58403100
2008-07-21,3.861428,4.115714,3.810000,3.978571,3.978571,76423900
2008-07-28,4.000000,4.481429,3.972857,4.174286,4.174286,73896900
2008-08-04,4.237143,4.517143,4.214286,4.435714,4.435714,47191900
2008-08-11,4.405715,4.652857,4.324286,4.465714,4.465714,55523300
2008-08-18,4.475714,4.495714,4.271429,4.378572,4.378572,29566600
2008-08-25,4.348571,4.497143,4.262857,4.405715,4.405715,35274400
2008-09-01,4.452857,4.571429,4.075714,4.237143,4.237143,38466400
2008-09-08,4.310000,4.401429,3.940000,4.207143,4.207143,44980600
2008-09-15,4.168571,4.852857,3.924286,4.562857,4.562857,62019300
2008-09-22,4.485714,4.728571,4.364286,4.695714,4.695714,28854000
2008-09-29,4.617143,4.701428,4.044286,4.138571,4.138571,35477400
2008-10-06,3.714286,3.838571,3.071429,3.470000,3.470000,76556200
2008-10-13,3.608572,3.762857,3.098572,3.328571,3.328571,39510800
2008-10-20,3.434286,3.527143,2.694286,2.707143,2.707143,60065600
2008-10-27,2.712857,3.638572,2.557143,3.537143,3.537143,54574800
2008-11-03,3.502857,3.544286,3.037143,3.122857,3.122857,32951100
2008-11-10,3.171429,3.498571,2.934286,3.147143,3.147143,34428100
2008-11-17,3.155714,3.157143,2.604286,2.855714,2.855714,44403100
2008-11-24,2.872857,3.307143,2.845714,3.282857,3.282857,31824800
2008-12-01,3.171429,3.631428,3.112857,3.610000,3.610000,35942900
2008-12-08,3.571429,4.157143,3.508571,4.072857,4.072857,54679800
2008-12-15,3.928571,4.250000,3.902857,3.955714,3.955714,41480600
2008-12-22,4.038571,4.068572,3.831429,4.065714,4.065714,18910500
2008-12-29,4.105714,4.357143,3.928571,4.267143,4.267143,24789100
2009-01-05,4.327143,4.797143,4.302857,4.608572,4.608572,49105700
2009-01-12,4.601429,4.645714,4.111429,4.465714,4.465714,37457000
2009-01-19,4.428571,4.487143,4.188571,4.348571,4.348571,30277800
2009-01-26,4.342857,5.414286,4.158571,5.162857,5.162857,137228000
2009-02-02,5.080000,5.421429,5.080000,5.285714,5.285714,82553800
2009-02-09,5.262857,5.547143,4.972857,5.505714,5.505714,81197900
2009-02-16,5.430000,5.491428,5.185714,5.257143,5.257143,54714800
2009-02-23,5.265714,5.307143,4.985714,5.177143,5.177143,64318100
2009-03-02,5.057143,5.588572,4.858572,5.454286,5.454286,102180400
2009-03-09,5.458571,5.714286,5.214286,5.624286,5.624286,62836900
2009-03-16,5.668571,6.064286,5.444286,5.950000,5.950000,65515800
2009-03-23,5.950000,6.345714,5.630000,5.668571,5.668571,71026900
2009-03-30,5.644286,6.282857,5.578571,6.152857,6.152857,60797100
2009-04-06,6.141428,6.712857,6.100000,6.707143,6.707143,41111000
2009-04-13,6.707143,7.177143,6.517143,6.975714,6.975714,73334800
2009-04-20,6.968572,7.101429,6.011428,6.104286,6.104286,102557700
2009-04-27,6.277143,6.804286,6.231429,6.354286,6.354286,83358800
2009-05-04,6.360000,6.547143,5.398571,5.745714,5.745714,81382700
2009-05-11,5.648571,5.805714,5.178571,5.500000,5.500000,77349300
2009-05-18,5.570000,5.971428,5.430000,5.542857,5.542857,55946800
2009-05-25,5.514286,5.772857,5.382857,5.631429,5.631429,39209100
2009-06-01,5.712857,5.985714,5.521429,5.598571,5.598571,46396700
2009-06-08,5.550000,5.661428,5.292857,5.405715,5.405715,46444300
2009-06-15,5.351429,6.115714,5.292857,5.941429,5.941429,75872300
2009-06-22,5.907143,6.097143,5.574286,5.767143,5.767143,86234400
2009-06-29,5.797143,6.067143,5.672857,5.702857,5.702857,35664300
2009-07-06,5.641428,5.767143,5.418571,5.724286,5.724286,40084800
2009-07-13,5.714286,6.375714,5.694286,6.305714,6.305714,70011200
2009-07-20,6.358572,6.812857,5.984286,6.028572,6.028572,84423500
2009-07-27,6.015714,6.348571,5.821429,6.277143,6.277143,53629800
2009-08-03,6.335714,6.457143,6.200000,6.428571,6.428571,40279400
2009-08-10,6.411428,6.667143,6.311429,6.355714,6.355714,32785900
2009-08-17,6.255714,6.535714,6.072857,6.442857,6.442857,35693700
2009-08-24,6.474286,6.550000,6.124286,6.317143,6.317143,37641800
2009-08-31,6.305714,6.375714,5.610000,5.850000,5.850000,51167900
