Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,6.711198,7.170923,6.671906,6.986248,2.711665,26846400
2008-04-07,6.986248,7.060904,6.880157,6.915521,2.684212,23620600
2008-04-14,6.943026,7.292731,6.888016,7.280943,2.826048,24030200
2008-04-21,7.257368,7.387033,7.151277,7.229863,2.806222,48328600
2008-04-28,7.198428,7.269155,7.025540,7.053045,2.737592,27052300
2008-05-05,7.053045,7.100196,6.895875,6.998035,2.805489,22592500
2008-05-12,7.001965,7.163065,6.974460,7.135560,2.860622,20304500
2008-05-19,7.123772,7.269155,6.915521,6.935167,2.780286,34788500
2008-05-26,6.911592,7.170923,6.911592,7.108055,2.849596,40493900
2008-06-02,7.064833,7.100196,6.762279,6.762279,2.710975,25653400
2008-06-09,6.797642,6.895875,6.707269,6.793713,2.723577,25532600
2008-06-16,6.762279,6.990177,6.715127,6.777996,2.717276,29747600
2008-06-23,6.813360,6.974460,6.785855,6.923379,2.775559,38450200
2008-06-30,6.990177,7.249509,6.852652,6.958743,2.789737,34371600
2008-07-07,6.958743,7.151277,6.876228,6.970531,2.794463,30563600
2008-07-14,7.025540,7.025540,6.640471,6.750491,2.706250,29475900
2008-07-21,6.789784,6.962672,6.628684,6.652259,2.666869,21346900
2008-07-28,6.648330,6.774067,6.530452,6.581532,2.638515,23193100
2008-08-04,6.542240,6.730845,6.385069,6.605108,2.742914,25956700
2008-08-11,6.577603,6.762279,6.451867,6.506876,2.702121,31193000
2008-08-18,6.518664,6.585462,6.463654,6.546169,2.718438,23026500
2008-08-25,6.530452,6.585462,6.440079,6.475442,2.689066,18128000
2008-09-01,6.487230,6.581532,6.192534,6.251473,2.596060,16143700
2008-09-08,6.330059,6.565815,6.149312,6.526523,2.710279,31485900
2008-09-15,6.444008,6.506876,5.799607,6.125737,2.543844,69243100
2008-09-22,6.137525,6.153242,5.799607,5.988212,2.486734,32837100
2008-09-29,5.964636,6.125737,5.500982,5.819253,2.416571,44065500
2008-10-06,5.772102,5.874263,4.129666,4.538311,1.884631,62469600
2008-10-13,4.742632,5.410609,4.510806,5.143418,2.135915,51234900
2008-10-20,5.108055,5.434185,4.703340,4.935167,2.049435,45507700
2008-10-27,4.836935,5.218075,4.687623,5.092338,2.114703,44460700
2008-11-03,5.053045,5.504911,4.876228,5.009823,2.176366,32611900
2008-11-10,5.092338,5.159135,4.145383,4.538311,1.971532,39953600
2008-11-17,4.479372,4.722986,4.066798,4.475442,1.944220,51325500
2008-11-24,4.518664,4.872299,4.408644,4.734774,2.056879,33524600
2008-12-01,4.628684,4.703340,4.117878,4.392927,1.908374,52582300
2008-12-08,4.463654,4.628684,4.235756,4.573674,1.986894,47041200
2008-12-15,4.589391,4.695481,4.282907,4.294695,1.865701,49324000
2008-12-22,4.302554,4.373281,4.106091,4.204322,1.826440,18138800
2008-12-29,4.192534,4.412574,4.141454,4.377210,1.901546,26967100
2009-01-05,4.377210,4.479372,4.220039,4.353634,1.891305,52051200
2009-01-12,4.361493,4.388998,4.070727,4.208251,1.828148,42613300
2009-01-19,4.184676,4.235756,4.000000,4.117878,1.788887,34759200
2009-01-26,4.133595,4.396857,3.772102,3.803536,1.652332,61577600
2009-02-02,3.779961,4.275049,3.638507,4.231827,1.940732,104763300
2009-02-09,4.259332,4.259332,3.893910,3.996071,1.832613,51600400
2009-02-16,3.909627,3.909627,3.328094,3.418468,1.567723,54303200
2009-02-23,3.418468,3.654224,3.328094,3.438114,1.576732,63952700
2009-03-02,3.383104,3.430255,3.060904,3.210216,1.472218,63832100
2009-03-09,3.218075,3.559922,3.166994,3.544204,1.625386,52941000
2009-03-16,3.524558,3.889980,3.516699,3.787819,1.737109,41120100
2009-03-23,3.858546,4.055010,3.795678,3.956778,1.814594,38814900
2009-03-30,3.921415,4.027505,3.740668,3.972495,1.821801,38616800
2009-04-06,3.944990,4.145383,3.854617,4.082515,1.872257,30321100
2009-04-13,4.074656,4.223969,3.988212,4.184676,1.919108,35180300
2009-04-20,4.165030,4.282907,4.051081,4.259332,1.953347,42505600
2009-04-27,4.227898,4.428291,4.223969,4.416503,2.025425,43927700
2009-05-04,4.412574,4.565815,4.369352,4.479372,2.169164,54821500
2009-05-11,4.436149,4.502947,4.157171,4.180747,2.024553,40333100
2009-05-18,4.212181,4.318271,4.094303,4.113949,1.992206,46682900
2009-05-25,4.110020,4.290766,4.082515,4.200393,2.034067,29378600
2009-06-01,4.243615,4.412574,4.239686,4.298625,2.081637,33353200
2009-06-08,4.310412,4.554028,4.290766,4.538311,2.197706,43191000
2009-06-15,4.495089,4.557957,4.337917,4.467584,2.163456,30249400
2009-06-22,4.416503,4.554028,4.392927,4.502947,2.180581,33297700
2009-06-29,4.510806,4.793713,4.510806,4.612967,2.233858,36013700
2009-07-06,4.589391,4.738703,4.483301,4.542240,2.199608,40772900
2009-07-13,4.546169,4.844794,4.510806,4.825147,2.336607,34957400
2009-07-20,4.856582,5.233792,4.825147,5.225933,2.530691,48453000
2009-07-27,5.249509,5.261297,4.931238,5.064833,2.452678,42156500
2009-08-03,5.084479,5.261297,5.025540,5.143418,2.606769,43836100
2009-08-10,5.147348,5.241650,5.100196,5.147348,2.608760,40406200
2009-08-17,5.104125,5.335953,5.029469,5.332024,2.702357,29916000
2009-08-24,5.375246,5.414538,5.218075,5.280943,2.676468,25905300
2009-08-31,5.241650,5.253438,5.080550,5.174853,2.622701,27098900
2009-09-07,5.218075,5.288802,5.143418,5.159135,2.614734,22246700
2009-09-14,5.166994,5.410609,5.143418,5.296660,2.684434,24798200
2009-09-21,5.277014,5.445972,5.245580,5.375246,2.724262,34180200
2009-09-28,5.383104,5.512770,5.245580,5.284873,2.678460,29958400
2009-10-05,5.300590,5.512770,5.253438,5.493124,2.784006,25922500
2009-10-12,5.516699,5.567780,5.371316,5.442043,2.758117,25294600
2009-10-19,5.477407,5.504911,5.222004,5.249509,2.660538,40001400
2009-10-26,5.273085,5.335953,5.045187,5.076621,2.572915,53520600
2009-11-02,5.096267,5.304519,5.041257,5.253438,2.783487,59872600
2009-11-09,5.296660,5.481336,5.273085,5.469548,2.897992,46377800
2009-11-16,5.453831,5.559921,5.359529,5.398821,2.860518,27606200
2009-11-23,5.453831,5.728880,5.434185,5.583497,2.958367,32391800
2009-11-30,5.587426,5.964636,5.567780,5.882122,3.116590,34458000
2009-12-07,5.870334,6.121808,5.838900,6.058939,3.210275,29539800
2009-12-14,6.110020,6.168959,6.019646,6.074656,3.218603,35251500
2009-12-21,6.110020,6.216110,6.110020,6.145383,3.256077,13552700
2009-12-28,6.149312,6.180747,6.043222,6.043222,3.201946,12990300
2010-01-04,6.113949,6.165030,5.842829,5.901768,3.127000,46219000
2010-01-11,5.909626,6.117878,5.874263,6.007859,3.183210,29536100
2010-01-18,6.019646,6.098232,5.721022,5.728880,3.035396,41341000
2010-01-25,5.779961,5.846758,5.595285,5.599214,2.966693,41483300
2010-02-01,5.626719,5.972495,5.599214,5.768173,3.181979,42760200
2010-02-08,5.752456,5.897839,5.681729,5.752456,3.173309,37775200
2010-02-15,5.819253,5.976424,5.787819,5.956778,3.286022,27788800
2010-02-22,5.992141,6.007859,5.791749,5.901768,3.255676,47851800
2010-03-01,5.929273,6.043222,5.838900,6.043222,3.333709,24822200
2010-03-08,6.031434,6.157171,6.019646,6.086444,3.357552,17853000
2010-03-15,6.094303,6.243615,6.039293,6.180747,3.409575,21437900
2010-03-22,6.145383,6.255403,6.117878,6.200393,3.420411,27893400
2010-03-29,6.216110,6.353634,6.196464,6.349705,3.502779,15942000
2010-04-05,6.353634,6.502947,6.333988,6.385069,3.522287,30316500
