Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,20.875000,22.665001,20.565001,22.580000,20.216394,5545200
2008-04-07,22.750000,22.830000,21.000000,21.155001,18.940557,5387800
2008-04-14,21.035000,21.485001,20.280001,21.174999,18.958466,8534600
2008-04-21,21.014999,21.434999,20.840000,21.145000,18.931604,4726800
2008-04-28,21.110001,21.785000,20.690001,20.750000,18.577953,7833200
2008-05-05,20.650000,20.700001,19.799999,20.139999,18.031803,6739200
2008-05-12,20.165001,20.950001,19.985001,20.540001,18.389933,3988800
2008-05-19,20.500000,20.900000,19.879999,19.924999,17.839304,4552600
2008-05-26,19.549999,20.025000,19.129999,19.695000,17.633381,5731600
2008-06-02,19.240000,20.465000,19.080000,20.325001,18.197439,6666800
2008-06-09,20.424999,20.480000,19.049999,19.139999,17.136484,6145600
2008-06-16,18.945000,19.100000,17.500000,17.580000,15.739776,9593000
2008-06-23,17.545000,17.805000,16.725000,17.500000,15.668150,15005400
2008-06-30,17.535000,20.090000,17.350000,19.410000,17.378218,12602000
2008-07-07,19.250000,19.500000,18.450001,18.875000,16.899221,7144800
2008-07-14,17.760000,18.344999,17.565001,18.010000,16.124767,9992200
2008-07-21,18.205000,19.195000,17.760000,18.455000,16.523188,6954800
2008-07-28,18.650000,19.325001,18.424999,18.670000,16.715677,6562400
2008-08-04,18.709999,22.764999,18.410000,22.180000,19.858265,15870400
2008-08-11,22.000000,22.450001,21.565001,22.010000,19.706059,6767200
2008-08-18,22.125000,22.535000,21.600000,22.440001,20.091051,4690400
2008-08-25,22.365000,25.290001,22.270000,23.400000,20.950556,8024800
2008-09-01,22.860001,23.545000,21.785000,22.200001,19.876171,6772200
2008-09-08,22.594999,24.030001,22.280001,23.990000,21.478800,7046200
2008-09-15,23.264999,24.000000,21.245001,22.955000,20.552143,12306200
2008-09-22,22.750000,23.325001,22.105000,22.530001,20.171627,4625400
2008-09-29,22.280001,22.290001,21.049999,21.420000,19.177816,10717800
2008-10-06,20.895000,20.945000,15.540000,16.950001,15.175723,12670200
2008-10-13,17.250000,19.025000,15.620000,17.709999,15.856167,12526200
2008-10-20,17.785000,18.295000,15.005000,15.735000,14.087904,7032200
2008-10-27,15.500000,17.330000,14.450000,17.129999,15.336882,5358200
2008-11-03,17.155001,18.395000,16.209999,17.830000,15.963607,7354400
2008-11-10,18.180000,18.915001,16.075001,17.165001,15.368223,4414000
2008-11-17,17.090000,18.075001,15.265000,16.504999,14.777306,8347200
2008-11-24,16.650000,18.190001,16.370001,18.170000,16.268015,6512200
2008-12-01,17.530001,18.745001,16.670000,18.504999,16.567951,5476400
2008-12-08,18.805000,18.969999,17.264999,18.240000,16.330696,5792000
2008-12-15,18.365000,18.980000,17.445000,17.705000,15.851693,8283800
2008-12-22,17.730000,18.174999,17.440001,17.885000,16.012854,4391600
2008-12-29,17.940001,19.275000,17.530001,19.190001,17.181253,3859000
2009-01-05,19.129999,19.340000,17.809999,18.209999,16.303829,7706400
2009-01-12,18.174999,19.559999,17.985001,19.405001,17.373743,6470600
2009-01-19,19.215000,19.760000,18.860001,19.535000,17.490133,4772600
2009-01-26,19.655001,20.805000,19.475000,19.950001,17.861698,6318600
2009-02-02,19.655001,21.745001,19.549999,21.405001,19.164389,9210000
2009-02-09,20.115000,21.485001,19.610001,21.254999,19.030087,7909600
2009-02-16,20.870001,21.285000,20.000000,20.424999,18.286968,6320800
2009-02-23,20.730000,20.730000,18.420000,18.440001,16.509754,8776400
2009-03-02,18.100000,18.575001,16.945000,17.764999,15.905409,11815000
2009-03-09,17.764999,18.280001,16.629999,18.065001,16.174011,12020000
2009-03-16,18.250000,18.495001,15.745000,16.150000,14.459466,20389200
2009-03-23,16.615000,17.715000,15.835000,17.504999,15.672629,14864400
2009-03-30,17.264999,18.254999,16.695000,17.490000,15.659194,10064400
2009-04-06,17.355000,17.875000,17.125000,17.830000,15.963607,4842800
2009-04-13,17.745001,19.290001,17.705000,19.075001,17.078283,6193600
2009-04-20,18.809999,19.334999,18.295000,18.879999,16.903700,8622600
2009-04-27,18.670000,19.730000,18.540001,19.030001,17.037996,5266800
2009-05-04,19.235001,20.540001,18.740000,20.375000,18.242203,9038000
2009-05-11,20.000000,20.094999,18.730000,19.285000,17.266298,6742800
2009-05-18,19.389999,19.570000,18.430000,18.610001,16.661961,8028400
2009-05-25,18.445000,18.565001,17.995001,18.535000,16.594810,6272600
2009-06-01,18.750000,19.549999,18.150000,19.375000,17.346884,8109200
2009-06-08,19.385000,20.065001,18.959999,20.055000,17.955706,4508800
2009-06-15,19.855000,20.320000,19.084999,19.959999,17.870644,4885600
2009-06-22,19.840000,20.605000,19.059999,20.559999,18.407839,6866600
2009-06-29,20.650000,20.950001,19.780001,19.809999,17.736343,4994800
2009-07-06,19.735001,20.200001,19.500000,19.965000,17.875122,4020400
2009-07-13,20.025000,20.299999,19.629999,19.809999,17.736343,4884400
2009-07-20,20.180000,20.264999,19.485001,19.910000,17.825880,4692800
2009-07-27,20.434999,20.750000,19.870001,20.500000,18.354118,4907400
