Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,29.049999,30.260000,28.920000,30.209999,22.919624,5319100
2008-04-07,30.270000,30.540001,29.620001,29.780001,22.593397,2974600
2008-04-14,29.980000,31.660000,29.660000,31.500000,23.898314,3233000
2008-04-21,31.320000,32.029999,30.590000,31.969999,24.254898,2675900
2008-04-28,32.000000,32.459999,31.740000,32.119999,24.368690,3165400
2008-05-05,32.110001,32.419998,31.590000,31.990000,24.270067,3077700
2008-05-12,32.029999,33.400002,31.760000,32.970001,25.013573,2249000
2008-05-19,32.990002,33.080002,32.090000,32.439999,24.611473,2753600
2008-05-26,32.450001,33.060001,32.380001,32.930000,24.983227,2313200
2008-06-02,32.849998,34.439999,32.549999,34.009998,25.802595,3571300
2008-06-09,34.160000,34.439999,32.779999,33.849998,25.681210,5602400
2008-06-16,31.500000,32.570000,30.750000,31.190001,23.663124,11557600
2008-06-23,31.270000,32.230000,29.620001,29.690001,22.525112,14804900
2008-06-30,29.500000,33.110001,28.719999,29.150000,22.239544,12719000
2008-07-07,29.160000,29.280001,27.290001,27.900000,21.285877,14035600
2008-07-14,33.009998,33.110001,30.209999,32.450001,24.757233,30508200
2008-07-21,32.680000,33.209999,32.099998,32.709999,24.955589,10526800
2008-07-28,32.509998,32.669998,31.510000,32.509998,24.803009,11245200
2008-08-04,32.639999,34.990002,32.220001,34.860001,26.595905,10432800
2008-08-11,35.299999,35.299999,33.150002,33.150002,25.291283,13420100
2008-08-18,33.250000,33.470001,32.459999,33.209999,25.337061,5674900
2008-08-25,32.950001,33.310001,32.470001,32.869999,25.077663,3728500
2008-09-01,33.139999,33.900002,32.160000,33.090000,25.245508,5788300
2008-09-08,33.599998,34.500000,32.070000,34.500000,26.321245,5002100
2008-09-15,33.830002,36.520000,28.690001,31.840000,24.291840,10292800
2008-09-22,31.670000,33.509998,29.660000,31.230000,23.826452,3918800
2008-09-29,30.830000,30.900000,27.760000,28.350000,21.629198,7387000
2008-10-06,27.719999,27.719999,19.990000,22.500000,17.271103,10363900
2008-10-13,23.250000,25.690001,20.549999,22.240000,17.071529,12648600
2008-10-20,22.450001,23.930000,18.980000,19.860001,15.244628,11023200
2008-10-27,19.719999,24.150000,18.250000,23.700001,18.192232,11855600
2008-11-03,23.910000,24.610001,23.139999,23.959999,18.391809,8381200
2008-11-10,24.430000,25.750000,23.379999,24.700001,18.959833,11215000
2008-11-17,24.430000,24.760000,19.770000,21.129999,16.219490,12790800
2008-11-24,21.530001,24.000000,20.730000,24.000000,18.422514,7988600
2008-12-01,23.620001,23.780001,21.170000,22.600000,17.347870,50582400
2008-12-08,23.270000,24.250000,21.969999,23.830000,18.292023,20967200
2008-12-15,24.070000,24.389999,22.219999,23.510000,18.046389,17316400
2008-12-22,23.490000,23.850000,22.620001,23.110001,17.739347,5734700
2008-12-29,23.120001,25.200001,22.730000,25.070000,19.243849,10005700
2009-01-05,24.990000,26.520000,24.680000,25.230000,19.526440,16157300
2009-01-12,25.280001,25.719999,22.459999,25.540001,19.766367,18293600
2009-01-19,25.459999,26.120001,25.020000,25.459999,19.704453,16200500
2009-01-26,25.480000,26.809999,25.480000,25.860001,20.014027,15753100
2009-02-02,25.540001,25.790001,24.219999,24.440001,18.915031,18705300
2009-02-09,24.379999,24.670000,22.860001,24.100000,18.651894,19183400
2009-02-16,23.340000,24.190001,23.000000,23.809999,18.427458,11420700
2009-02-23,23.980000,24.299999,19.360001,19.900000,15.401359,24569100
2009-03-02,19.559999,19.680000,16.059999,16.469999,12.746755,27167500
2009-03-09,16.490000,17.309999,15.050000,17.190001,13.303983,30178800
2009-03-16,17.350000,17.860001,16.709999,16.969999,13.133717,18158900
2009-03-23,17.230000,17.900000,16.750000,17.540001,13.574867,16699700
