Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,50.820000,55.959999,50.480000,54.759998,47.079185,8582700
2008-04-07,55.009998,55.790001,53.189999,53.970001,46.400002,8946600
2008-04-14,54.000000,56.680000,52.880001,56.160000,48.282818,5664600
2008-04-21,56.220001,58.299999,53.970001,56.000000,48.145260,6312700
2008-04-28,55.720001,58.419998,54.599998,57.320000,49.280117,6647900
2008-05-05,57.230000,57.520000,55.320000,56.570000,48.635307,6310600
2008-05-12,56.500000,60.369999,55.750000,59.599998,51.240314,6761300
2008-05-19,59.639999,60.250000,55.980000,56.110001,48.539131,5642600
2008-05-26,56.369999,56.930000,55.599998,56.150002,48.573742,6054300
2008-06-02,56.070000,56.279999,49.910000,50.189999,43.417923,19075500
2008-06-09,50.139999,51.279999,47.939999,50.410000,43.608242,12138500
2008-06-16,50.000000,50.630001,48.860001,49.910000,43.175694,8930800
2008-06-23,50.380001,50.549999,46.380001,46.869999,40.545879,15680500
2008-06-30,46.630001,49.080002,45.820000,47.529999,41.116814,12653500
2008-07-07,47.509998,49.490002,45.790001,47.189999,40.822701,11866900
2008-07-14,47.599998,54.639999,44.509998,54.119999,46.817635,15153800
2008-07-21,52.450001,55.130001,50.040001,52.950001,45.805515,13288100
2008-07-28,53.009998,55.090000,49.880001,52.360001,45.295101,6903500
2008-08-04,52.009998,57.730000,51.660000,57.450001,49.698330,6522900
2008-08-11,57.029999,60.480000,56.930000,59.590000,51.549591,10784000
2008-08-18,59.430000,60.000000,54.380001,58.330002,50.459595,6697800
2008-08-25,56.900002,59.700001,56.400002,58.549999,50.960152,5135400
2008-09-01,59.970001,62.189999,57.980000,60.209999,52.404972,6458000
2008-09-08,61.009998,63.650002,58.320000,61.759998,53.754025,9435300
2008-09-15,59.080002,65.000000,56.080002,63.360001,55.146641,15297800
2008-09-22,63.240002,63.240002,57.959999,61.720001,53.719231,7843200
2008-09-29,60.410000,60.619999,52.410000,52.750000,45.912010,11037500
2008-10-06,50.750000,55.840000,48.980000,51.299999,44.649971,18019500
2008-10-13,53.299999,58.029999,49.419998,56.180000,48.897369,18164700
2008-10-20,56.240002,58.599998,52.970001,55.080002,47.939964,10016600
2008-10-27,53.939999,57.480000,48.320000,56.910000,49.532734,13068800
2008-11-03,56.860001,57.200001,53.189999,54.470001,47.409035,10519900
2008-11-10,55.610001,56.820000,50.000000,54.500000,47.435158,10141200
2008-11-17,54.160000,55.740002,49.009998,53.299999,46.692844,12977100
2008-11-24,54.200001,60.230000,53.189999,58.930000,51.624943,8851300
2008-12-01,57.750000,59.259998,53.380001,58.730000,51.449749,11497300
2008-12-08,59.139999,59.610001,51.119999,55.529999,48.646416,11492100
2008-12-15,55.500000,57.959999,55.220001,55.330002,48.471207,7953800
2008-12-22,55.340000,57.930000,53.009998,55.799999,48.882938,2858300
2008-12-29,55.700001,60.169998,54.419998,59.990002,52.553539,5174300
2009-01-05,59.259998,61.419998,58.759998,59.400002,52.036682,8836900
2009-01-12,59.160000,60.389999,54.320000,57.380001,50.267082,10696500
2009-01-19,57.580002,58.000000,46.509998,46.970001,41.147530,18827300
2009-01-26,47.009998,50.310001,46.520000,47.750000,41.830841,14364100
2009-02-02,47.779999,50.349998,45.650002,49.939999,43.749359,13629600
2009-02-09,49.860001,50.380001,46.000000,46.939999,41.121243,8247100
2009-02-16,45.619999,47.330002,45.000000,46.029999,40.324055,7373200
2009-02-23,46.119999,47.400002,43.860001,45.950001,40.253960,9301600
2009-03-02,44.900002,46.860001,42.189999,42.980000,37.943691,9652700
2009-03-09,42.509998,47.639999,42.490002,47.349998,41.801609,10208800
2009-03-16,47.720001,47.810001,43.849998,45.020000,39.744644,11394700
2009-03-23,45.990002,52.840000,45.549999,51.310001,45.297604,12638300
2009-03-30,49.689999,53.450001,49.689999,53.000000,46.789566,9976200
2009-04-06,52.470001,53.560001,50.650002,53.549999,47.275116,6385500
2009-04-13,51.570000,57.270000,49.900002,56.689999,50.047173,16000000
2009-04-20,55.840000,59.169998,54.750000,58.500000,51.645103,9717900
2009-04-27,57.830002,58.980000,55.040001,55.500000,48.996620,9241700
2009-05-04,55.990002,59.160000,55.410000,56.930000,50.259071,8421800
2009-05-11,56.400002,56.590000,53.000000,53.610001,47.328079,7575000
2009-05-18,54.130001,58.189999,52.900002,53.540001,47.571568,8853800
2009-05-25,53.330002,55.500000,52.189999,52.799999,46.914063,8321500
2009-06-01,53.840000,55.099998,53.230000,54.250000,48.202415,8086100
