Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,16.000000,16.879999,15.740000,16.820000,15.103812,13861900
2008-04-07,16.980000,17.309999,16.330000,16.850000,15.130757,17290800
2008-04-14,16.879999,19.500000,16.879999,19.020000,17.079353,32121800
2008-04-21,19.040001,19.450001,17.719999,18.150000,16.298117,29935600
2008-04-28,18.030001,18.740000,17.620001,17.799999,15.983829,26926800
2008-05-05,17.850000,18.059999,17.280001,17.350000,15.579742,23830900
2008-05-12,17.500000,18.850000,17.340000,18.260000,16.396889,21611300
2008-05-19,18.299999,18.680000,17.730000,17.820000,16.001785,14857000
2008-05-26,17.790001,18.969999,17.690001,18.840000,16.917709,15560800
2008-06-02,18.930000,19.070000,16.120001,16.180000,14.561455,39675900
2008-06-09,16.320000,16.370001,14.660000,14.960000,13.463500,33770300
2008-06-16,14.840000,15.100000,13.100000,14.880000,13.391501,55788000
2008-06-23,14.950000,15.200000,14.110000,14.640000,13.175511,23064500
2008-06-30,14.720000,15.140000,14.080000,14.350000,12.914520,16311300
2008-07-07,14.410000,15.870000,14.110000,14.690000,13.220507,25982200
2008-07-14,14.860000,18.400000,14.460000,16.360001,14.723453,27678500
2008-07-21,16.389999,16.719999,15.850000,16.230000,14.606456,21502700
2008-07-28,14.740000,16.090000,14.500000,14.870000,13.382504,26833800
2008-08-04,14.740000,16.530001,14.550000,16.309999,14.678454,20662600
2008-08-11,16.240000,17.549999,16.040001,16.750000,15.074442,20253000
2008-08-18,16.840000,17.049999,15.870000,16.010000,14.408466,15364500
2008-08-25,16.059999,16.330000,14.390000,14.520000,13.067513,18154800
2008-09-01,14.520000,15.300000,13.640000,14.230000,12.840202,17306600
2008-09-08,14.490000,14.500000,12.380000,13.490000,12.172476,67909900
2008-09-15,13.490000,14.080000,12.400000,13.130000,11.847637,34454900
2008-09-22,12.950000,13.440000,11.560000,12.690000,11.450608,40875800
2008-09-29,12.680000,13.080000,10.970000,11.680000,10.539255,30356800
2008-10-06,11.370000,12.150000,9.820000,10.540000,9.510594,35614400
2008-10-13,11.150000,12.180000,9.730000,11.050000,9.970785,28074300
2008-10-20,11.030000,11.750000,9.500000,9.640000,8.698494,28807100
2008-10-27,9.630000,9.790000,5.710000,8.740000,7.886391,64857600
2008-11-03,8.730000,9.750000,7.200000,7.460000,6.731408,28434500
2008-11-10,7.950000,7.960000,4.500000,4.900000,4.421434,73150700
2008-11-17,4.840000,5.650000,4.400000,5.150000,4.647017,42654600
2008-11-24,5.240000,7.240000,5.130000,6.710000,6.054657,34568300
2008-12-01,6.730000,7.350000,5.210000,7.350000,6.674732,44662800
2008-12-08,7.400000,7.810000,6.550000,7.110000,6.456781,26768200
2008-12-15,7.150000,8.200000,6.800000,8.100000,7.355829,29219100
2008-12-22,8.110000,8.350000,7.840000,8.200000,7.446639,10330900
2008-12-29,8.180000,9.360000,7.820000,9.350000,8.490986,13192600
2009-01-05,9.300000,9.320000,7.900000,8.450000,7.673672,48409900
2009-01-12,8.530000,8.850000,8.080000,8.780000,7.973353,26662500
2009-01-19,8.650000,8.870000,8.070000,8.660000,7.864378,24929500
2009-01-26,8.660000,9.670000,8.660000,8.850000,8.036921,27209700
2009-02-02,8.810000,9.800000,8.660000,9.720000,8.826994,24888000
2009-02-09,9.660000,9.940000,8.600000,8.800000,7.991516,27447200
2009-02-16,8.620000,8.640000,7.520000,7.750000,7.037983,18677900
2009-02-23,7.810000,8.710000,7.600000,8.430000,7.655509,33215700
2009-03-02,8.250000,8.500000,7.510000,7.980000,7.282376,28546000
2009-03-09,7.880000,9.510000,7.770000,9.410000,8.587362,27244600
2009-03-16,9.450000,9.790000,9.000000,9.120000,8.322717,23585900
2009-03-23,9.310000,10.150000,9.240000,9.840000,8.979773,22366900
2009-03-30,9.560000,10.540000,9.140000,10.530000,9.609449,17535000
2009-04-06,10.450000,11.000000,9.980000,10.990000,10.029235,15533600
2009-04-13,10.800000,11.340000,10.610000,11.170000,10.193500,17901800
2009-04-20,11.000000,11.700000,10.520000,10.930000,9.974482,23125300
2009-04-27,9.960000,10.680000,9.730000,10.560000,9.636829,27280800
2009-05-04,10.770000,12.610000,10.590000,12.380000,11.297722,29378200
2009-05-11,12.190000,13.000000,11.840000,12.560000,11.461984,21785200
2009-05-18,12.660000,13.770000,12.560000,13.380000,12.210301,20251200
2009-05-25,13.340000,14.250000,13.080000,13.320000,12.155543,22285700
2009-06-01,13.560000,13.940000,13.120000,13.280000,12.154556,20791600
2009-06-08,13.220000,13.410000,12.640000,13.050000,11.944049,16492000
2009-06-15,12.900000,13.110000,12.480000,12.550000,11.486422,18632900
2009-06-22,12.460000,12.980000,11.950000,12.850000,11.760997,33750000
2009-06-29,12.870000,13.070000,12.200000,12.660000,11.587098,18213900
2009-07-06,12.530000,13.040000,11.810000,12.400000,11.349131,17538200
2009-07-13,12.370000,13.330000,12.330000,12.640000,11.568793,21129800
2009-07-20,12.000000,12.200000,11.020000,11.840000,10.836591,30634200
2009-07-27,11.810000,11.900000,11.080000,11.430000,10.461337,29280700
2009-08-03,12.000000,12.050000,10.760000,11.250000,10.296590,44748500
2009-08-10,11.190000,11.370000,10.940000,11.370000,10.406422,26180000
2009-08-17,11.150000,11.930000,10.970000,11.820000,10.818285,20457200
2009-08-24,11.840000,12.290000,11.680000,11.780000,10.781676,17703200
2009-08-31,11.750000,12.260000,11.550000,12.230000,11.230790,18179200
2009-09-07,12.220000,12.860000,12.140000,12.750000,11.708303,11588600
2009-09-14,12.430000,12.950000,12.180000,12.700000,11.662390,23992900
2009-09-21,12.620000,13.250000,12.500000,12.690000,11.653206,17064400
2009-09-28,12.720000,12.950000,12.020000,12.320000,11.313436,16647600
2009-10-05,12.280000,12.790000,11.980000,12.750000,11.708303,16731500
2009-10-12,12.730000,12.890000,11.910000,12.410000,11.396083,22851700
2009-10-19,12.380000,12.590000,12.030000,12.070000,11.083861,20429500
2009-10-26,12.150000,13.070000,12.000000,12.520000,11.497096,26949200
2009-11-02,12.580000,12.960000,12.440000,12.870000,11.818500,23903300
2009-11-09,12.960000,13.390000,12.680000,12.910000,11.855230,21287700
2009-11-16,12.950000,13.400000,12.790000,13.070000,12.002160,17166000
2009-11-23,12.850000,13.220000,12.130000,12.290000,11.285884,18638100
2009-11-30,12.280000,12.730000,11.940000,12.600000,11.607945,28446500
2009-12-07,12.560000,12.870000,12.430000,12.640000,11.644795,22210800
2009-12-14,12.760000,12.840000,12.060000,12.180000,11.221014,13354700
2009-12-21,12.160000,12.450000,12.160000,12.440000,11.460542,7927000
2009-12-28,12.480000,12.710000,12.270000,12.270000,11.303926,6408100
2010-01-04,12.270000,13.420000,12.150000,13.300000,12.252832,23925300
2010-01-11,13.290000,14.090000,12.940000,13.890000,12.796379,24429100
2010-01-18,13.860000,14.060000,13.540000,13.770000,12.685825,21348200
2010-01-25,13.880000,14.110000,13.680000,13.820000,12.731888,24465200
2010-02-01,13.830000,15.250000,13.790000,14.650000,13.496538,31651000
2010-02-08,14.850000,16.110001,14.660000,16.040001,14.777102,34765100
