Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,68.660004,72.400002,68.160004,71.730003,56.412880,26060500
2008-04-07,72.099998,72.570000,69.349998,69.529999,54.682671,23602000
2008-04-14,69.370003,73.230003,69.370003,72.510002,57.026318,29633900
2008-04-21,71.980003,73.129997,70.919998,72.680000,57.160000,20168100
2008-04-28,72.529999,75.400002,72.330002,75.099998,59.063274,23141800
2008-05-05,74.690002,75.000000,72.389999,73.129997,57.513924,18114100
2008-05-12,73.169998,75.860001,73.129997,73.959999,58.166687,21846700
2008-05-19,73.790001,75.000000,69.889999,70.010002,55.296345,25615700
2008-05-26,69.870003,71.230003,69.500000,71.040001,56.109871,20623600
2008-06-02,70.430000,71.099998,66.930000,67.010002,52.926861,35731400
2008-06-09,67.360001,69.139999,66.470001,68.559998,54.151077,30625700
2008-06-16,68.349998,69.370003,66.989998,68.800003,54.340649,29257300
2008-06-23,69.230003,69.230003,61.049999,61.150002,48.298416,49464500
2008-06-30,61.150002,62.150002,59.549999,61.049999,48.219421,38867700
2008-07-07,61.189999,62.459999,59.759998,60.689999,47.935089,38065800
2008-07-14,61.299999,65.309998,58.869999,64.089996,50.620522,42225800
2008-07-21,64.480003,65.980003,63.310001,65.230003,51.520931,29238200
2008-07-28,65.480003,66.620003,62.939999,63.560001,50.201916,28984700
2008-08-04,63.470001,66.949997,62.650002,66.860001,52.808357,30722500
2008-08-11,66.690002,67.599998,65.209999,66.800003,52.760971,22502700
2008-08-18,67.110001,67.110001,63.000000,65.980003,52.365250,21069300
2008-08-25,65.699997,66.980003,64.360001,65.589996,52.055729,18959300
2008-09-01,66.430000,67.949997,63.680000,64.080002,50.857315,26734500
2008-09-08,65.269997,66.080002,62.320000,64.459999,51.158905,34050300
2008-09-15,62.830002,66.989998,59.639999,64.300003,51.031921,48507800
2008-09-22,63.529999,64.599998,57.790001,60.860001,48.301750,34043600
2008-09-29,59.889999,60.360001,54.790001,54.860001,43.539829,47338400
2008-10-06,53.880001,54.480000,43.279999,47.630001,37.801716,70448800
2008-10-13,49.299999,57.630001,47.630001,50.709999,40.246166,71528900
2008-10-20,51.349998,52.290001,45.040001,47.310001,37.547741,49250600
2008-10-27,46.680000,55.619999,45.000000,54.959999,43.619190,46409100
2008-11-03,54.959999,57.639999,50.150002,51.810001,41.119194,35095300
2008-11-10,53.020000,54.240002,46.570000,50.230000,39.865215,39592000
2008-11-17,49.610001,50.540001,41.759998,46.669998,37.317173,59332100
2008-11-24,47.169998,50.000000,45.700001,48.529999,38.804420,35534800
2008-12-01,47.930000,49.400002,45.049999,49.009998,39.188221,45834400
2008-12-08,50.110001,50.500000,45.520000,48.820000,39.036293,43640600
2008-12-15,49.490002,52.369999,48.869999,51.369999,41.075260,43519800
2008-12-22,50.650002,52.360001,49.950001,51.130001,40.883369,17161800
2008-12-29,50.919998,55.240002,50.380001,54.950001,43.937820,18060400
2009-01-05,54.320000,55.509998,52.549999,52.700001,42.138741,26822700
2009-01-12,52.669998,53.119999,48.180000,51.099998,40.859375,31981300
2009-01-19,50.900002,51.250000,46.939999,47.410000,37.908859,33960400
2009-01-26,47.900002,51.070000,47.349998,47.990002,38.372631,29484200
2009-02-02,47.259998,49.570000,46.520000,49.029999,39.204212,31093200
2009-02-09,49.090000,49.869999,45.410000,47.090000,37.652981,30426100
2009-02-16,45.970001,46.709999,43.279999,43.990002,35.174252,31297900
2009-02-23,44.139999,44.480000,40.099998,40.830002,32.925026,48106300
2009-03-02,40.230000,40.330002,37.610001,38.540001,31.078382,57491000
2009-03-09,38.029999,41.990002,37.400002,40.570000,32.715363,46760200
2009-03-16,40.889999,42.480000,40.200001,40.529999,32.683098,41803200
2009-03-23,41.360001,45.590000,41.240002,44.480000,35.868362,39653500
2009-03-30,43.599998,46.750000,42.060001,45.630001,36.795708,36885200
2009-04-06,45.299999,47.500000,43.889999,47.290001,38.134315,25972600
2009-04-13,46.840000,48.259998,45.169998,47.320000,38.158512,29486400
2009-04-20,46.630001,49.680000,45.500000,49.369999,39.811615,40585400
2009-04-27,48.869999,50.279999,47.340000,49.520000,39.932575,24937600
2009-05-04,49.619999,53.610001,49.619999,53.549999,43.182343,30500900
2009-05-11,52.700001,53.130001,49.869999,51.279999,41.351830,33701300
2009-05-18,51.160000,53.169998,49.900002,51.040001,41.460377,28176500
2009-05-25,51.040001,53.200001,50.639999,52.610001,42.735714,20091600
2009-06-01,53.490002,56.990002,53.209999,56.389999,45.806255,29973500
2009-06-08,56.250000,56.970001,54.549999,55.840000,45.359467,25855900
2009-06-15,55.310001,55.400002,53.970001,54.200001,44.027279,31222300
2009-06-22,53.849998,53.849998,50.439999,51.549999,41.874645,36059100
2009-06-29,51.799999,52.689999,49.900002,50.240002,40.810532,22290800
2009-07-06,49.869999,50.990002,49.000000,49.639999,40.323139,28708700
2009-07-13,49.849998,54.259998,49.610001,53.799999,43.702358,24504000
2009-07-20,54.040001,55.029999,51.849998,52.230000,42.427032,38657500
2009-07-27,52.160000,54.990002,51.639999,54.470001,44.246613,29522300
2009-08-03,54.119999,56.000000,53.669998,55.590000,45.156399,28443700
2009-08-10,55.459999,58.790001,55.349998,57.209999,46.472343,29479300
2009-08-17,56.759998,58.840000,55.549999,58.709999,47.690796,27739400
2009-08-24,58.930000,60.630001,58.770000,59.639999,48.776810,24206200
2009-08-31,59.279999,60.689999,58.599998,60.520000,49.496521,21824300
2009-09-07,60.740002,62.040001,59.830002,61.990002,50.698788,19215800
2009-09-14,61.509998,63.279999,61.139999,62.820000,51.377586,31035400
2009-09-21,62.470001,63.720001,61.009998,61.540001,50.330734,22341500
2009-09-28,61.900002,62.150002,59.310001,59.630001,48.768639,26698300
2009-10-05,60.000000,62.279999,59.369999,62.169998,50.845985,16941100
2009-10-12,62.320000,65.089996,61.040001,64.889999,53.070549,24407700
2009-10-19,65.029999,66.360001,63.799999,65.809998,53.822968,28742200
2009-10-26,65.809998,66.260002,61.419998,61.450001,50.257137,29238600
2009-11-02,61.709999,65.720001,61.430000,65.070000,53.217766,21015100
2009-11-09,65.629997,68.250000,65.110001,67.989998,55.605900,20414300
2009-11-16,68.300003,69.959999,67.290001,67.970001,55.589550,23713100
2009-11-23,68.519997,69.129997,66.349998,67.199997,55.264053,12470100
2009-11-30,67.169998,68.820000,66.519997,68.320000,56.185127,19002500
2009-12-07,68.320000,69.650002,66.750000,69.400002,57.073307,23021600
2009-12-14,69.900002,70.750000,69.120003,69.459999,57.122639,28987500
2009-12-21,69.550003,70.500000,69.129997,70.360001,57.862782,12232500
2009-12-28,70.300003,70.889999,69.320000,69.410004,57.081509,9122600
2010-01-04,70.209999,71.860001,69.570000,70.629997,58.084820,24755100
2010-01-11,70.730003,72.930000,70.730003,71.989998,59.203255,23973700
2010-01-18,71.989998,72.940002,69.000000,69.080002,56.810135,18279200
2010-01-25,69.510002,69.510002,66.500000,67.480003,55.494324,30497300
2010-02-01,67.760002,68.430000,65.050003,66.500000,54.688374,29005500
2010-02-08,66.279999,67.110001,65.010002,65.690002,54.022255,28932500
2010-02-15,66.059998,68.900002,65.559998,68.519997,56.349583,21700400
2010-02-22,68.839996,68.980003,67.050003,68.650002,56.820580,22199800
2010-03-01,68.839996,71.309998,68.839996,71.250000,58.972557,24204200
2010-03-08,71.190002,72.449997,70.760002,71.529999,59.204311,25270100
2010-03-15,71.510002,73.739998,71.320000,73.239998,60.619656,27477600
2010-03-22,72.660004,74.070000,72.570000,73.620003,60.934185,23051900
2010-03-29,73.790001,74.849998,73.419998,74.129997,61.356297,13128000
2010-04-05,74.320000,74.970001,73.279999,73.989998,61.240421,19591600
2010-04-12,74.360001,74.779999,72.930000,73.690002,60.992111,22526200
2010-04-19,73.459999,77.089996,73.000000,76.470001,63.293072,34127800
2010-04-26,76.570000,77.080002,73.559998,74.949997,62.034973,25859800
2010-05-03,75.260002,76.379997,65.169998,69.459999,57.491001,35281500
2010-05-10,72.540001,74.250000,70.690002,71.580002,59.245697,30658200
2010-05-17,71.709999,72.000000,64.580002,66.440002,55.312851,42042900
2010-05-24,66.660004,68.410004,63.790001,67.379997,56.095425,29648800
2010-05-31,66.589996,68.250000,64.879997,65.139999,54.230568,19799800
2010-06-07,65.260002,66.290001,62.880001,66.230003,55.138012,34191600
2010-06-14,66.489998,69.250000,66.440002,69.180000,57.593964,26198400
2010-06-21,70.339996,70.620003,66.809998,67.860001,56.495037,27213700
2010-06-28,67.910004,67.959999,63.619999,64.290001,53.522915,26571200
2010-07-05,64.809998,67.699997,63.910000,67.510002,56.203636,17593200
2010-07-12,67.180000,68.360001,65.879997,66.029999,54.971512,21103300
2010-07-19,66.419998,71.139999,65.750000,70.900002,59.025894,26448300
2010-07-26,70.620003,72.000000,69.790001,71.099998,59.192413,22702200
2010-08-02,72.040001,73.349998,71.680000,72.730003,60.549412,16442200
2010-08-09,73.339996,73.809998,70.129997,70.699997,58.859390,16934000
2010-08-16,70.199997,71.330002,67.410004,68.120003,56.711487,23920500
2010-08-23,68.540001,68.970001,64.570000,66.570000,55.757153,26517600
2010-08-30,66.470001,68.559998,64.669998,68.260002,57.172653,21954800
2010-09-06,68.010002,69.449997,67.669998,68.889999,57.700314,12545400
2010-09-13,69.330002,69.800003,68.000000,69.529999,58.236366,19641200
2010-09-20,69.699997,71.680000,69.250000,71.500000,59.886360,16889100
2010-09-27,71.339996,72.940002,70.040001,71.129997,59.576481,20164800
2010-10-04,71.940002,73.199997,70.230003,72.910004,61.067352,20441500
2010-10-11,73.110001,74.870003,71.800003,74.099998,62.064064,20907000
2010-10-18,74.269997,75.580002,71.919998,74.940002,62.767616,30404300
2010-10-25,75.459999,75.570000,73.300003,74.769997,62.625248,16702400
2010-11-01,75.269997,76.900002,74.110001,76.750000,64.283630,20002700
2010-11-08,76.519997,76.910004,74.419998,74.879997,62.717388,19260200
2010-11-15,75.019997,75.730003,73.430000,75.309998,63.077522,22279800
2010-11-22,74.900002,76.209999,73.699997,75.279999,63.415825,13433700
2010-11-29,74.720001,79.360001,73.879997,78.739998,66.330521,25921200
2010-12-06,78.580002,79.410004,77.349998,78.400002,66.044098,20245100
2010-12-13,78.839996,79.410004,77.820000,78.800003,66.381073,19708300
2010-12-20,79.379997,79.699997,78.559998,79.500000,66.970757,9623000
2010-12-27,79.370003,79.669998,78.250000,78.720001,66.313690,8300800
2011-01-03,79.190002,79.750000,78.400002,79.080002,66.616959,15797700
2011-01-10,78.269997,79.900002,77.809998,79.080002,66.616959,17336900
2011-01-17,79.279999,80.500000,78.980003,80.199997,67.560425,16457800
2011-01-24,80.260002,83.080002,80.260002,81.430000,68.596573,23564700
2011-01-31,81.800003,82.599998,80.660004,82.519997,69.514786,15677700
2011-02-07,82.849998,85.459999,82.730003,85.199997,71.772423,16640400
2011-02-14,85.070000,85.440002,84.250000,85.010002,71.612366,15724200
2011-02-21,84.540001,84.690002,81.809998,83.370003,70.584038,15550200
2011-02-28,83.580002,84.250000,81.419998,82.860001,70.152283,19057000
2011-03-07,83.029999,84.050003,80.260002,81.279999,68.814590,21898900
2011-03-14,80.739998,81.230003,77.050003,80.160004,67.866341,26209500
2011-03-21,81.300003,83.589996,80.570000,83.519997,70.711052,18979800
2011-03-28,83.750000,85.949997,83.260002,85.320000,72.234970,16298700
2011-04-04,85.669998,86.000000,84.180000,84.809998,71.803215,11666900
2011-04-11,85.000000,85.559998,82.699997,83.449997,70.651787,16941300
2011-04-18,82.620003,87.269997,81.190002,87.099998,73.742020,22699000
2011-04-25,87.000000,89.800003,86.290001,89.580002,75.841667,20755400
2011-05-02,90.029999,90.669998,87.900002,89.209999,75.528412,21784100
2011-05-09,88.879997,90.180000,88.349998,88.980003,75.333694,17404200
