Date,Open,High,Low,Close,Adj Close,Volume
2008-03-31,63.189999,67.250000,63.189999,65.620003,48.358723,10852000
2008-04-07,65.720001,66.480003,60.799999,61.020000,44.968746,7097600
2008-04-14,61.250000,64.879997,60.070000,64.209999,47.319630,6817000
2008-04-21,63.939999,66.199997,61.689999,65.970001,48.616669,9270900
2008-04-28,66.000000,66.160004,62.959999,63.680000,46.929043,9740000
2008-05-05,63.180000,64.709999,62.000000,62.680000,46.624332,9157300
2008-05-12,62.970001,67.800003,62.500000,67.320000,50.075779,10720900
2008-05-19,67.580002,68.059998,63.580002,64.050003,47.643398,7699000
2008-05-26,63.810001,68.650002,61.590000,62.330002,46.363987,16100300
2008-06-02,61.419998,62.250000,58.230000,58.230000,43.314213,14892200
2008-06-09,58.310001,58.450001,54.810001,56.630001,42.124054,13283800
2008-06-16,56.700001,58.049999,52.470001,52.750000,39.237923,13362400
2008-06-23,53.240002,53.950001,49.799999,50.380001,37.475010,13917700
2008-06-30,50.360001,52.139999,49.110001,49.430000,36.768345,10093000
2008-07-07,49.849998,51.060001,47.000000,47.830002,35.578205,12133000
2008-07-14,48.720001,52.580002,46.189999,51.139999,38.040337,13417100
2008-07-21,51.000000,54.070000,49.200001,50.049999,37.229542,8326400
2008-07-28,49.549999,56.900002,49.150002,55.779999,41.491779,15779200
2008-08-04,56.020000,58.500000,48.860001,50.549999,38.050873,16698500
2008-08-11,50.560001,55.599998,49.880001,55.009998,41.408096,12871800
2008-08-18,55.330002,55.330002,50.040001,53.230000,40.068226,9377000
2008-08-25,52.980000,56.779999,50.950001,55.490002,41.769413,10917400
2008-09-01,56.750000,57.529999,52.000000,54.639999,41.129574,8883600
2008-09-08,56.070000,57.919998,53.150002,56.810001,42.763031,14256800
2008-09-15,55.009998,65.500000,52.630001,62.290001,46.888020,24432100
2008-09-22,61.959999,63.400002,59.750000,62.320000,46.910614,11116100
2008-09-29,61.240002,62.450001,56.000000,56.799999,42.755501,13070400
2008-10-06,55.209999,56.049999,43.450001,46.919998,35.318459,18542300
2008-10-13,49.139999,50.990002,32.369999,39.770000,29.936378,29102300
