,Date,Open,High,Low,Close,Adj Close,Volume,Percent Change,Label
0,2008-03-31,14.02,15.2,13.91,14.94,9.427113,14953500,0.0,0
1,2008-04-07,15.07,15.31,14.87,15.09,9.521763,11446800,0.09464999999999968,1
2,2008-04-14,15.12,15.78,15.05,15.69,9.900362,12736800,0.37859899999999946,1
3,2008-04-21,15.7,15.71,15.31,15.57,9.824639,10524800,-0.07572299999999998,0
4,2008-04-28,15.57,16.049999,15.12,15.72,9.919291000000001,14458300,0.09465200000000173,1
5,2008-05-05,15.63,15.7,15.13,15.23,9.610102000000001,10391100,-0.30918899999999994,0
6,2008-05-12,15.35,15.95,15.17,15.85,10.001323,14491400,0.39122099999999804,1
7,2008-05-19,15.89,16.360001,15.78,16.33,10.425941,20908200,0.4246180000000006,1
8,2008-05-26,16.24,17.25,16.24,16.940001000000002,10.815392999999998,25002200,0.3894519999999986,1
9,2008-06-02,16.84,17.26,16.459999,16.639999,10.623857000000001,21484800,-0.19153599999999749,0
10,2008-06-09,16.68,16.950001,16.370001000000002,16.559998999999998,10.572780999999999,13347400,-0.0510760000000019,0
11,2008-06-16,16.559998999999998,16.66,16.139999,16.15,10.311015,13655800,-0.2617659999999997,0
12,2008-06-23,16.25,16.440001000000002,15.5,15.54,9.921561,15480300,-0.38945399999999886,0
13,2008-06-30,15.53,16.27,15.45,15.9,10.151402000000001,14678600,0.2298410000000004,1
14,2008-07-07,15.87,16.190001000000002,15.54,15.94,10.176938,16297000,0.025535999999998893,1
15,2008-07-14,15.97,16.139999,15.09,15.34,9.793866,13721200,-0.3830720000000003,0
16,2008-07-21,15.35,15.75,15.1,15.19,9.698103,9920400,-0.09576299999999982,0
17,2008-07-28,15.18,15.79,15.04,15.32,9.781099000000001,9745500,0.0829960000000014,1
18,2008-08-04,15.39,16.639999,15.14,16.25,10.374861,15847500,0.5937619999999981,1
19,2008-08-11,16.190001000000002,16.59,15.67,15.84,10.113096,12034900,-0.2617649999999987,0
20,2008-08-18,15.9,16.129998999999998,15.57,16.08,10.383661,10361900,0.2705649999999995,1
21,2008-08-25,16.049999,16.190001000000002,15.8,15.88,10.254512,12443600,-0.12914899999999996,0
22,2008-09-01,15.95,16.120001000000002,15.41,15.75,10.170565,12378100,-0.08394700000000022,0
23,2008-09-08,15.84,16.15,15.02,15.45,9.976839,17416200,-0.19372599999999984,0
24,2008-09-15,15.13,15.41,13.72,14.83,9.576476,25019300,-0.40036300000000047,0
25,2008-09-22,14.87,14.96,14.0,14.81,9.56356,14877800,-0.012915999999998817,0
26,2008-09-29,14.66,14.75,13.5,13.6,8.782202,18702500,-0.7813580000000009,0
27,2008-10-06,13.34,13.82,8.48,9.08,5.8634129999999995,39802700,-2.9187890000000003,0
28,2008-10-13,9.5,10.97,9.23,10.2,6.58665,33564400,0.7232370000000001,1
29,2008-10-20,10.41,11.38,9.76,10.51,6.786835000000001,27813900,0.20018500000000117,1
30,2008-10-27,10.36,11.91,10.02,11.52,7.439042,24875800,0.6522069999999989,1
31,2008-11-03,11.75,12.61,11.31,12.16,7.852324,21239800,0.4132820000000006,1
32,2008-11-10,12.39,12.48,10.94,11.85,7.652141,20741100,-0.200183,0
33,2008-11-17,11.72,12.33,10.98,11.99,7.861814,30096700,0.20967299999999955,1
34,2008-11-24,12.21,12.95,11.25,12.93,8.478168,17447900,0.6163540000000003,1
35,2008-12-01,12.62,13.19,11.94,12.8,8.392924,28811500,-0.08524399999999943,0
36,2008-12-08,13.06,13.26,12.13,12.72,8.340469,20387100,-0.05245500000000014,0
37,2008-12-15,12.75,12.84,12.11,12.42,8.143761,26038800,-0.196708000000001,0
38,2008-12-22,12.53,12.58,11.9,12.1,7.933939,7559100,-0.20982199999999995,0
39,2008-12-29,12.0,12.93,11.94,12.85,8.425711999999999,10285200,0.49177299999999935,1
40,2009-01-05,12.83,13.34,12.6,12.85,8.425711999999999,17921000,0.0,0
41,2009-01-12,12.97,12.97,12.2,12.74,8.353585,19099600,-0.07212699999999828,0
42,2009-01-19,12.78,13.04,12.29,12.98,8.51095,18092600,0.15736499999999864,1
43,2009-01-26,13.11,13.92,12.97,13.38,8.77323,18877000,0.2622800000000005,1
44,2009-02-02,13.25,14.44,13.21,14.39,9.435487,23729900,0.6622570000000003,1
45,2009-02-09,14.5,14.53,12.86,13.13,8.609306,21100200,-0.826181,0
46,2009-02-16,12.99,13.02,11.56,11.83,7.867464999999999,23134000,-0.7418410000000009,0
47,2009-02-23,11.83,12.03,9.86,10.32,6.863247,46843900,-1.004217999999999,0
48,2009-03-02,10.17,10.28,8.66,8.88,5.905583999999999,24651600,-0.957663000000001,0
49,2009-03-09,8.78,10.24,8.75,10.14,6.743538,30952100,0.8379540000000008,1
50,2009-03-16,10.24,10.68,9.97,10.47,6.963004,28409100,0.21946599999999972,1
51,2009-03-23,10.56,10.8,10.09,10.17,6.763489999999999,19664200,-0.19951400000000064,0
52,2009-03-30,10.0,10.65,9.92,10.56,7.0228600000000005,20993600,0.25937000000000143,1
53,2009-04-06,10.55,10.71,10.16,10.23,6.803392,11949300,-0.21946800000000088,0
54,2009-04-13,10.21,10.57,10.02,10.52,6.996257000000001,18822700,0.19286500000000117,1
55,2009-04-20,10.42,10.58,10.11,10.31,6.856597,16186300,-0.139660000000001,0
56,2009-04-27,10.16,11.01,10.16,11.01,7.322128,21857900,0.46553100000000036,1
57,2009-05-04,11.4,11.4,10.72,10.93,7.268923,17348200,-0.05320500000000017,0
58,2009-05-11,10.83,10.96,10.0,10.05,6.683686,15206700,-0.5852370000000002,0
59,2009-05-18,10.21,10.47,9.78,9.85,6.669326,17623100,-0.014359999999999928,0
60,2009-05-25,9.89,10.18,9.76,10.12,6.8521410000000005,12218200,0.18281500000000062,1
61,2009-06-01,10.22,10.4,9.93,9.99,6.764114999999999,19519300,-0.08802600000000105,0
62,2009-06-08,10.01,10.73,9.99,10.66,7.2177690000000005,24447800,0.4536540000000011,1
63,2009-06-15,10.55,10.95,10.38,10.75,7.278707000000001,20552200,0.06093800000000016,1
64,2009-06-22,10.68,11.16,10.63,11.06,7.4886029999999995,26103000,0.20989599999999875,1
65,2009-06-29,11.13,11.4,10.94,10.94,7.407353,16267200,-0.08124999999999982,0
66,2009-07-06,10.9,11.2,10.65,10.92,7.393812,20586000,-0.013541000000000025,0
67,2009-07-13,10.94,11.3,10.82,11.19,7.576625999999999,18455500,0.1828139999999996,1
68,2009-07-20,11.27,11.88,11.19,11.87,8.037047,17721400,0.4604210000000002,1
69,2009-07-27,11.83,12.13,11.57,12.05,8.158921000000001,15410500,0.12187400000000181,1
70,2009-08-03,12.04,12.44,11.95,12.34,8.355278,15006200,0.196356999999999,1
71,2009-08-10,12.32,12.62,12.23,12.48,8.45007,14910300,0.09479199999999999,1
72,2009-08-17,12.31,12.88,12.27,12.8,8.800289999999999,14393600,0.3502199999999984,1
73,2009-08-24,12.8,12.94,12.39,12.57,8.642161,14502700,-0.15812899999999885,0
74,2009-08-31,12.57,12.58,11.98,12.07,8.298396,15926000,-0.34376499999999943,0
75,2009-09-07,12.16,12.58,11.91,12.45,8.559657000000001,42264500,0.2612610000000011,1
76,2009-09-14,12.66,12.8,12.36,12.49,8.587158,32084500,0.02750099999999911,1
77,2009-09-21,12.47,12.6,12.17,12.25,8.422152,16303900,-0.16500599999999999,0
78,2009-09-28,12.27,12.64,12.1,12.22,8.401525,20224300,-0.02062700000000106,0
79,2009-10-05,12.27,12.69,12.12,12.67,8.710911999999999,16231400,0.3093869999999992,1
80,2009-10-12,12.6,13.0,12.58,12.94,8.896543,15041900,0.18563100000000077,1
81,2009-10-19,12.94,13.17,12.73,12.85,8.834666,18869800,-0.06187699999999907,0
82,2009-10-26,12.89,13.01,12.45,12.6,8.662785000000001,24130100,-0.17188099999999906,0
83,2009-11-02,12.64,12.81,12.37,12.74,8.759037,18696000,0.096251999999998,1
84,2009-11-09,12.81,13.0,12.43,12.63,8.68341,17484700,-0.075626999999999,0
85,2009-11-16,12.7,13.0,12.55,12.77,8.91174,19410000,0.2283299999999997,1
86,2009-11-23,12.9,13.2,12.85,12.96,9.044336999999999,10199100,0.13259699999999874,1
87,2009-11-30,13.01,13.98,12.94,13.77,9.609606,20432200,0.5652690000000007,1
88,2009-12-07,13.74,14.5,13.7,14.45,10.084153,17654200,0.47454700000000116,1
89,2009-12-14,14.6,14.67,14.41,14.55,10.153938,19511600,0.06978499999999954,1
90,2009-12-21,14.65,14.79,14.49,14.77,10.30747,12312600,0.15353200000000022,1
91,2009-12-28,14.82,14.87,14.49,14.51,10.126023,8412600,-0.18144700000000036,0
92,2010-01-04,14.59,14.65,14.09,14.24,9.937603,22196200,-0.1884200000000007,0
93,2010-01-11,14.3,14.68,14.21,14.61,10.19581,14700800,0.2582070000000005,1
94,2010-01-18,14.63,14.9,14.19,14.2,9.909688000000001,16527000,-0.2861219999999989,0
95,2010-01-25,14.36,14.42,13.84,13.95,9.735222,22386300,-0.17446600000000068,0
96,2010-02-01,14.01,14.5,13.72,13.92,9.714284,24058100,-0.02093800000000101,0
97,2010-02-08,13.98,14.17,13.48,13.65,9.525862,23475100,-0.1884219999999992,0
98,2010-02-15,13.7,14.59,13.7,14.53,10.285,16719100,0.7591380000000001,1
99,2010-02-22,14.53,14.61,13.36,13.38,9.470974,25023900,-0.8140260000000001,0
100,2010-03-01,13.47,14.16,13.47,14.01,9.916917999999999,22514900,0.445943999999999,1
101,2010-03-08,14.02,14.39,14.01,14.24,10.079723,12007200,0.16280500000000053,1
102,2010-03-15,14.25,14.52,14.1,14.43,10.214215,13014600,0.13449199999999983,1
103,2010-03-22,14.38,14.44,14.07,14.19,10.044331,13924400,-0.1698839999999997,0
104,2010-03-29,14.24,14.62,14.18,14.5,10.263765,14619800,0.21943399999999968,1
105,2010-04-05,14.56,14.77,14.3,14.5,10.263765,16228600,0.0,0
106,2010-04-12,14.58,14.64,14.28,14.32,10.136352,9564900,-0.1274129999999989,0
107,2010-04-19,14.27,14.58,14.17,14.57,10.313313,13343000,0.17696100000000037,1
108,2010-04-26,14.53,14.65,14.16,14.36,10.164665,15299200,-0.14864800000000145,0
109,2010-05-03,14.44,14.65,5.67,13.75,9.732878999999999,30474900,-0.43178600000000067,0
110,2010-05-10,14.18,14.51,13.9,14.15,10.01602,26559300,0.28314100000000053,1
111,2010-05-17,14.18,14.35,12.95,13.33,9.56715,27498200,-0.44886999999999944,0
112,2010-05-24,13.3,13.81,12.75,13.62,9.775288,23425000,0.20813799999999993,1
113,2010-05-31,13.54,13.76,13.14,13.2,9.473844999999999,13953100,-0.3014430000000008,0
114,2010-06-07,13.24,13.49,12.87,13.27,9.524085000000001,60128800,0.05024000000000228,1
115,2010-06-14,13.35,14.03,13.28,14.01,10.055197,19271000,0.5311119999999985,1
116,2010-06-21,14.1,14.15,13.4,13.52,9.703519,20842900,-0.3516779999999997,0
117,2010-06-28,13.59,13.8,12.96,13.03,9.351835000000001,21177900,-0.3516839999999988,0
118,2010-07-05,13.2,14.07,13.08,14.05,10.083905999999999,21486400,0.7320709999999977,1
119,2010-07-12,13.98,14.33,13.9,13.93,9.997781,16361600,-0.08612499999999912,0
120,2010-07-19,14.01,14.28,13.82,14.25,10.227449,12857500,0.2296680000000002,1
121,2010-07-26,14.26,14.64,14.12,14.23,10.213095,15700000,-0.014354000000000866,0
122,2010-08-02,14.36,14.84,14.32,14.84,10.650903999999999,16725200,0.43780899999999967,1
123,2010-08-09,14.89,15.08,14.19,14.5,10.406878,17391500,-0.24402599999999808,0
124,2010-08-16,14.43,14.9,14.29,14.55,10.582765,15481500,0.17588699999999946,1
125,2010-08-23,14.63,14.97,14.4,14.96,10.880975,22036100,0.2982099999999992,1
126,2010-08-30,14.86,15.26,14.54,15.26,11.099175,18008600,0.21820000000000128,1
127,2010-09-06,15.26,15.36,15.02,15.2,11.055534,14854000,-0.04364100000000093,0
128,2010-09-13,15.33,15.37,14.91,15.03,10.931886,21471200,-0.12364799999999931,0
129,2010-09-20,15.15,15.73,15.05,15.65,11.382838000000001,22817000,0.4509520000000009,1
130,2010-09-27,15.69,16.01,15.57,15.9,11.564672,20075300,0.1818339999999985,1
131,2010-10-04,15.9,16.129998999999998,15.69,16.09,11.702864,13893100,0.1381920000000001,1
132,2010-10-11,16.139999,16.23,15.88,16.129998999999998,11.731962,16282000,0.029097999999999402,1
133,2010-10-18,16.16,16.559998999999998,16.0,16.42,11.942886,26453300,0.21092400000000033,1
134,2010-10-25,16.540001,16.620001000000002,16.200001,16.559998999999998,12.044713,16881900,0.10182700000000011,1
135,2010-11-01,16.66,17.0,16.4,16.68,12.131995,23120400,0.08728200000000008,1
136,2010-11-08,16.629998999999998,16.690001000000002,16.07,16.110001,11.717412,23121100,-0.41458300000000037,0
137,2010-11-15,16.200001,16.290001,15.64,15.82,11.643339,18508000,-0.07407300000000028,0
138,2010-11-22,15.82,15.95,15.64,15.79,11.621262,8830000,-0.022076999999999458,0
139,2010-11-29,15.68,15.92,15.44,15.9,11.702223,18723700,0.08096100000000028,1
140,2010-12-06,15.87,15.99,15.53,15.84,11.658062,18047100,-0.04416100000000078,0
141,2010-12-13,15.98,16.17,15.74,15.87,11.68014,14511300,0.022078000000000486,1
142,2010-12-20,16.0,16.049999,15.81,15.9,11.702223,9639100,0.022083000000000297,1
143,2010-12-27,15.85,15.95,15.7,15.72,11.569742999999999,7891000,-0.13248000000000104,0
144,2011-01-03,15.81,15.91,15.52,15.68,11.540303999999999,17751100,-0.029438999999999993,0
145,2011-01-10,15.59,15.83,15.48,15.7,11.555022,14488600,0.014718000000000231,1
146,2011-01-17,15.74,16.209999,15.65,15.9,11.702223,16421300,0.1472010000000008,1
147,2011-01-24,15.9,16.200001,15.84,16.030001000000002,11.797898,18924900,0.09567499999999995,1
148,2011-01-31,16.09,16.27,16.0,16.139999,11.878857,25408200,0.080959,1
149,2011-02-07,16.18,16.35,16.01,16.190001000000002,11.915658,20807100,0.03680100000000053,1
150,2011-02-14,16.040001,16.059998999999998,15.8,15.9,11.702223,13583400,-0.21343500000000049,0
151,2011-02-21,15.76,15.9,15.4,15.68,11.682821,14462800,-0.019401999999999475,0
152,2011-02-28,15.7,16.1,15.35,15.88,11.831836000000001,23720500,0.14901500000000034,1
153,2011-03-07,15.91,16.25,15.8,16.1,11.995752,16979200,0.16391599999999862,1
154,2011-03-14,15.99,16.73,15.09,16.67,12.420447,60274200,0.4246949999999998,1
155,2011-03-21,17.02,17.370001000000002,16.790001,17.129998999999998,12.763183,32854900,0.3427360000000004,1
156,2011-03-28,17.23,17.879998999999998,17.08,17.75,13.225133,14906500,0.46194999999999986,1
157,2011-04-04,18.049999,18.049999,17.370001000000002,17.5,13.038862,15684700,-0.18627099999999963,0
158,2011-04-11,17.48,17.93,17.1,17.879998999999998,13.321989000000002,21853200,0.2831270000000021,1
159,2011-04-18,17.73,18.280001000000002,17.51,18.280001000000002,13.620023000000002,16100300,0.29803399999999947,1
160,2011-04-25,18.17,18.620001000000002,18.139999,18.6,13.858445000000001,18139800,0.2384219999999999,1
161,2011-05-02,18.68,18.83,18.360001,18.719998999999998,13.947851000000002,21525700,0.08940600000000032,1
162,2011-05-09,18.690001000000002,19.35,18.6,18.73,13.955307999999999,20485900,0.007456999999996938,1
163,2011-05-16,18.700001,19.09,18.58,18.959999,14.274197000000001,17267900,0.3188890000000022,1
164,2011-05-23,18.74,19.389999,18.65,19.08,14.36454,21067900,0.09034299999999895,1
165,2011-05-30,19.23,19.57,19.08,19.09,14.372067999999999,25143700,0.007527999999998869,1
166,2011-06-06,19.040001,19.209999,18.75,18.860001,14.198914000000002,30867200,-0.1731539999999967,0
