,Date,Open,High,Low,Close,Adj Close,Volume,Percent Change,Label
0,2008-03-31,8.67,9.38,8.15,8.75,8.19285,41560200,0.0,0
1,2008-04-07,9.1,10.55,8.43,10.01,9.372622,37864400,1.1797719999999998,1
2,2008-04-14,10.69,10.89,8.4,8.75,8.19285,76432100,-1.1797719999999998,0
3,2008-04-21,8.61,8.73,6.5,7.01,6.563644999999999,78835200,-1.6292050000000007,0
4,2008-04-28,6.95,9.02,6.82,8.5,7.958769,65744200,1.395124000000001,1
5,2008-05-05,8.38,8.4,7.27,7.65,7.1628929999999995,43850500,-0.7958760000000007,0
6,2008-05-12,7.98,8.18,7.25,7.5,7.022444,39862900,-0.14044899999999938,0
7,2008-05-19,7.48,7.55,5.37,5.5,5.149792,67888200,-1.8726520000000004,0
8,2008-05-26,5.71,6.35,5.53,6.15,5.7584040000000005,42162300,0.6086120000000008,1
9,2008-06-02,6.25,7.03,5.75,6.3,5.898853,69745100,0.14044899999999938,1
10,2008-06-09,6.4,6.5,4.8,5.32,4.981253,67931100,-0.9176000000000002,0
11,2008-06-16,5.19,6.38,5.06,5.68,5.3183300000000004,58206500,0.33707700000000074,1
12,2008-06-23,5.89,5.89,4.84,5.52,5.168519,87588500,-0.14981100000000058,0
13,2008-06-30,5.42,5.76,4.71,4.95,4.634812999999999,42298900,-0.5337060000000005,0
14,2008-07-07,5.34,5.9,4.59,4.93,4.616086,71477700,-0.018726999999999272,0
15,2008-07-14,5.28,7.25,4.0,6.93,6.488738,94854000,1.8726519999999995,1
16,2008-07-21,6.77,8.79,6.45,7.34,6.872632,138970200,0.3838940000000006,1
17,2008-07-28,7.19,8.44,6.7,7.7,7.209708999999999,90281600,0.33707699999999896,1
18,2008-08-04,7.8,9.4,7.41,9.12,8.539291,95487600,1.3295820000000012,1
19,2008-08-11,9.14,10.26,8.21,9.41,8.810827,108652600,0.27153599999999933,1
20,2008-08-18,9.25,9.78,7.42,8.63,8.080492999999999,71552900,-0.7303340000000009,0
21,2008-08-25,8.51,8.92,6.92,8.13,7.612328999999999,77343100,-0.4681639999999998,0
22,2008-09-01,9.32,9.9,8.81,8.81,8.249028,84226200,0.6366990000000001,1
23,2008-09-08,8.79,9.09,6.46,8.13,7.612328999999999,86586700,-0.6366990000000001,0
24,2008-09-15,8.35,10.1,7.97,9.67,9.054271,136680500,1.441942000000001,1
25,2008-09-22,9.35,9.43,7.84,7.95,7.443791,80776500,-1.61048,0
26,2008-09-29,8.32,8.98,6.76,7.86,7.359522,75560000,-0.08426899999999993,0
27,2008-10-06,7.74,7.8,5.1,6.03,5.646045,92259900,-1.7134770000000001,0
28,2008-10-13,6.56,9.19,6.09,9.19,8.604835000000001,94009900,2.9587900000000014,1
29,2008-10-20,8.9,10.66,7.84,8.31,7.780867,87686800,-0.8239680000000016,0
30,2008-10-27,8.56,11.9,7.2,10.98,10.280855,111008900,2.499988000000001,1
31,2008-11-03,11.14,12.0,9.17,9.46,8.857641000000001,83433300,-1.4232139999999998,0
32,2008-11-10,9.05,9.39,7.11,7.85,7.350159,66586900,-1.5074820000000013,0
33,2008-11-17,7.8,8.49,6.29,6.82,6.385742,63224600,-0.9644170000000001,0
34,2008-11-24,6.9,8.86,6.57,8.81,8.249028,42742200,1.8632859999999996,1
35,2008-12-01,8.6,10.43,7.8,10.36,9.700336,60743800,1.451308000000001,1
36,2008-12-08,10.78,11.64,9.4,10.5,9.831421,69813800,0.13108500000000056,1
37,2008-12-15,10.26,11.5,10.1,10.57,9.896964,69877700,0.0655429999999999,1
38,2008-12-22,10.5,10.8,9.96,10.6,9.925056,27168000,0.028091999999999118,1
39,2008-12-29,10.24,12.56,10.22,12.13,11.357633,34456400,1.4325770000000002,1
40,2009-01-05,11.85,12.65,11.3,11.76,11.011192999999999,56988200,-0.3464400000000012,0
41,2009-01-12,11.89,12.24,10.1,11.43,10.702205000000001,51651200,-0.3089879999999976,0
42,2009-01-19,11.4,11.86,9.04,10.26,9.606703999999999,57117400,-1.0955010000000023,0
43,2009-01-26,10.6,10.6,6.74,6.9,6.460648,90623400,-3.146055999999999,0
