,Date,Open,High,Low,Close,Adj Close,Volume,Percent Change,Label
0,2008-03-31,5.49,6.94,5.49,6.76,6.76,277761900,0.0,0
1,2008-04-07,6.82,7.06,6.36,6.9,6.9,104904800,0.14000000000000057,1
2,2008-04-14,6.91,7.43,6.42,7.4,7.4,110390800,0.5,1
3,2008-04-21,7.42,7.8,7.2,7.68,7.68,107689000,0.27999999999999936,1
4,2008-04-28,7.6,8.28,7.6,8.24,8.24,101635000,0.5600000000000005,1
5,2008-05-05,8.17,8.49,8.04,8.37,8.37,89923900,0.129999999999999,1
6,2008-05-12,8.41,8.96,8.17,8.84,8.84,100151100,0.47000000000000064,1
7,2008-05-19,8.86,8.97,7.99,8.21,8.21,128040600,-0.629999999999999,0
8,2008-05-26,8.24,8.37,7.99,8.07,8.07,57076900,-0.14000000000000057,0
9,2008-06-02,8.1,8.63,8.02,8.29,8.29,88930500,0.21999999999999886,1
10,2008-06-09,8.27,8.3,7.28,7.66,7.66,89813300,-0.629999999999999,0
11,2008-06-16,7.65,7.92,6.85,7.23,7.23,93197400,-0.4299999999999997,0
12,2008-06-23,7.25,7.64,6.06,6.1,6.1,120539300,-1.1300000000000008,0
13,2008-06-30,6.12,6.15,5.54,5.77,5.77,104861600,-0.33000000000000007,0
14,2008-07-07,5.79,5.88,5.21,5.44,5.44,134842700,-0.3299999999999992,0
15,2008-07-14,5.5,5.75,5.11,5.7,5.7,92894500,0.2599999999999998,1
16,2008-07-21,5.73,5.76,4.83,4.97,4.97,119219100,-0.7300000000000004,0
17,2008-07-28,4.95,5.01,4.42,4.67,4.67,99481500,-0.2999999999999998,0
18,2008-08-04,4.67,5.31,4.64,5.27,5.27,92838200,0.5999999999999996,1
19,2008-08-11,5.15,5.44,5.02,5.39,5.39,71535700,0.1200000000000001,1
20,2008-08-18,5.4,5.42,4.56,4.69,4.69,60668500,-0.6999999999999993,0
21,2008-08-25,4.65,4.74,4.21,4.24,4.24,80086800,-0.4500000000000002,0
22,2008-09-01,4.31,4.42,4.12,4.36,4.36,67072700,0.1200000000000001,1
23,2008-09-08,4.5,5.2,4.24,5.13,5.13,137947300,0.7699999999999996,1
24,2008-09-15,4.91,5.0,3.61,4.84,4.84,158539500,-0.29000000000000004,0
25,2008-09-22,4.8,4.91,4.09,4.65,4.65,140673500,-0.1899999999999995,0
26,2008-09-29,4.54,5.01,3.91,4.44,4.44,147133100,-0.20999999999999996,0
27,2008-10-06,4.3,4.48,3.46,3.55,3.55,163267300,-0.8900000000000006,0
28,2008-10-13,3.95,4.7,3.8,4.12,4.12,140425200,0.5700000000000003,1
29,2008-10-20,4.16,4.68,3.3,3.55,3.55,120009500,-0.5700000000000003,0
30,2008-10-27,3.42,4.79,3.25,4.71,4.71,102679600,1.1600000000000001,1
31,2008-11-03,4.71,5.17,4.3,4.48,4.48,88182900,-0.22999999999999954,0
32,2008-11-10,4.5,4.54,2.63,2.75,2.75,126400000,-1.7300000000000004,0
33,2008-11-17,2.78,2.78,1.59,1.87,1.87,123979300,-0.8799999999999999,0
