,Date,Open,High,Low,Close,Adj Close,Volume,Percent Change,Label
0,2008-03-31,7.07,7.78,7.02,7.67,7.315233,20526100,0.0,0
1,2008-04-07,7.75,8.04,7.48,7.53,7.181709,19322500,-0.13352400000000042,0
2,2008-04-14,7.49,7.84,7.17,7.47,7.124485000000001,22390500,-0.05722399999999883,0
3,2008-04-21,7.39,8.84,7.11,8.66,8.25944,29155000,1.1349549999999988,1
4,2008-04-28,8.65,9.17,8.59,8.81,8.402503999999999,16562000,0.14306399999999897,1
5,2008-05-05,8.55,8.61,8.18,8.28,7.897017,15426200,-0.5054869999999987,0
6,2008-05-12,8.3,9.36,8.21,9.3,8.86984,19485600,0.972823,1
7,2008-05-19,9.29,9.36,8.83,9.3,8.86984,18549600,0.0,0
8,2008-05-26,9.33,10.37,9.25,10.33,9.852199,24609500,0.9823590000000006,1
9,2008-06-02,10.26,11.15,9.7,10.65,10.157397,41148900,0.30519799999999897,1
10,2008-06-09,10.96,11.22,10.52,10.85,10.348147,34787800,0.1907500000000013,1
11,2008-06-16,10.81,11.24,9.88,10.09,9.6233,34543400,-0.7248470000000005,0
12,2008-06-23,10.09,10.15,9.31,9.56,9.117814,41154400,-0.5054860000000012,0
13,2008-06-30,9.61,10.26,9.26,9.68,9.232264,37388200,0.1144500000000015,1
14,2008-07-07,9.78,10.46,9.38,10.06,9.594687,37805400,0.3624229999999997,1
15,2008-07-14,10.28,10.91,9.5,10.25,9.775898,46858900,0.18121099999999934,1
16,2008-07-21,10.33,10.36,8.76,9.11,8.688627,41788700,-1.0872709999999994,0
17,2008-07-28,9.12,9.63,9.01,9.47,9.031975,22055400,0.3433479999999989,1
18,2008-08-04,9.4,9.61,9.05,9.51,9.070125,25287000,0.03815000000000168,1
19,2008-08-11,9.52,10.15,9.52,9.79,9.337173,20976100,0.26704799999999906,1
20,2008-08-18,9.83,9.86,9.05,9.1,8.679089999999999,20060300,-0.6580830000000013,0
21,2008-08-25,9.11,10.1,9.08,9.7,9.251337,27181800,0.5722470000000008,1
22,2008-09-01,9.86,9.86,8.67,8.9,8.488341,31101900,-0.7629959999999993,0
23,2008-09-08,9.0,9.05,7.89,8.41,8.021006,34402600,-0.4673350000000003,0
24,2008-09-15,8.01,9.24,7.57,8.99,8.574176,42115800,0.5531699999999997,1
25,2008-09-22,8.99,9.27,7.97,8.41,8.021006,23341800,-0.5531699999999997,0
26,2008-09-29,8.26,8.42,7.43,7.47,7.124485000000001,24434000,-0.896520999999999,0
27,2008-10-06,7.4,7.55,5.45,6.48,6.180275,28074300,-0.9442100000000009,0
28,2008-10-13,6.85,7.22,5.93,6.38,6.0849,18804000,-0.09537499999999977,0
29,2008-10-20,6.48,6.68,5.45,6.16,5.875076,16506200,-0.20982400000000023,0
30,2008-10-27,6.09,7.2,5.79,7.13,6.800209,16225800,0.9251329999999998,1
31,2008-11-03,7.1,7.35,5.91,6.3,6.0086010000000005,21327400,-0.7916079999999992,0
32,2008-11-10,6.38,6.39,5.06,5.29,5.045318,16996200,-0.9632830000000006,0
33,2008-11-17,5.24,5.35,4.07,4.46,4.2537080000000005,15025300,-0.7916099999999995,0
34,2008-11-24,4.57,5.46,4.45,5.39,5.140692,7407700,0.8869839999999991,1
35,2008-12-01,5.25,5.39,3.57,3.81,3.633772,32250500,-1.5069199999999996,0
36,2008-12-08,3.95,4.6,3.93,4.41,4.20602,17616200,0.5722479999999996,1
37,2008-12-15,4.95,5.66,4.58,5.4,5.1502300000000005,18358800,0.9442100000000009,1
38,2008-12-22,5.43,5.43,5.0,5.15,4.911792,5610500,-0.23843800000000037,0
39,2008-12-29,5.1,5.66,4.91,5.59,5.331442,7560000,0.41964999999999986,1
40,2009-01-05,5.62,6.08,4.93,4.95,4.721044,16754900,-0.610398,0
41,2009-01-12,4.94,4.94,4.12,4.59,4.377696,14663400,-0.34334799999999976,0
42,2009-01-19,4.53,4.53,3.88,4.34,4.139259,8649400,-0.23843700000000023,0
43,2009-01-26,4.36,4.9,4.26,4.32,4.120184,14617000,-0.019074999999999953,0
44,2009-02-02,4.22,6.84,4.2,6.77,6.456861,31289100,2.336677,1
45,2009-02-09,6.62,6.74,5.77,6.4,6.103975,25099000,-0.3528859999999998,0
46,2009-02-16,6.21,6.49,5.66,5.88,5.608028,13260800,-0.49594700000000014,0
47,2009-02-23,5.9,6.59,5.74,6.5,6.19935,13981500,0.5913219999999999,1
48,2009-03-02,6.44,7.18,6.15,6.94,6.6189979999999995,26949900,0.4196479999999996,1
49,2009-03-09,6.9,8.02,6.86,7.72,7.362921000000001,20856500,0.7439230000000014,1
50,2009-03-16,7.8,8.24,7.22,7.69,7.334308,19427000,-0.028613000000000888,0
51,2009-03-23,7.99,8.51,7.41,8.09,7.715806,23174900,0.38149799999999967,1
52,2009-03-30,7.91,8.99,7.7,8.84,8.431116000000001,18128000,0.7153100000000014,1
53,2009-04-06,8.8,9.25,8.3,9.22,8.79354,13402200,0.36242399999999897,1
54,2009-04-13,9.1,9.3,8.57,9.01,8.593254,20008400,-0.20028600000000019,0
55,2009-04-20,8.81,9.32,7.85,8.48,8.087767999999999,32963300,-0.5054860000000012,0
56,2009-04-27,8.37,9.5,7.92,9.22,8.79354,31106100,0.7057720000000014,1
57,2009-05-04,9.55,9.94,8.71,9.05,8.631405,23357200,-0.16213499999999925,0
58,2009-05-11,9.08,9.35,8.2,8.76,8.354814999999999,19336100,-0.27659000000000233,0
59,2009-05-18,8.91,9.32,8.62,8.68,8.278518,11765700,-0.0762969999999985,0
60,2009-05-25,8.64,9.64,8.6,9.53,9.089199,15266800,0.8106810000000007,1
61,2009-06-01,9.69,10.08,9.32,9.81,9.35625,15231900,0.2670509999999986,1
62,2009-06-08,9.71,10.66,9.47,10.26,9.785436,17875600,0.4291860000000014,1
63,2009-06-15,10.07,10.18,9.44,9.68,9.232264,18521900,-0.553172,0
64,2009-06-22,9.66,10.15,9.12,10.02,9.556536999999999,16473100,0.32427299999999804,1
65,2009-06-29,9.93,10.27,9.64,10.1,9.632837,15725600,0.07630000000000159,1
66,2009-07-06,10.1,10.42,9.5,10.32,9.842661,19746200,0.20982399999999934,1
67,2009-07-13,10.38,11.39,10.09,11.33,10.805944,16191500,0.9632830000000006,1
68,2009-07-20,11.39,12.31,11.09,12.07,11.511713,24717400,0.7057690000000001,1
69,2009-07-27,12.02,12.75,11.62,12.08,11.521253,17485700,0.009539999999999438,1
70,2009-08-03,12.21,12.38,11.18,11.23,10.710567,23079700,-0.8106860000000005,0
71,2009-08-10,11.15,11.48,10.86,11.15,10.634269999999999,20617700,-0.07629700000000028,0
72,2009-08-17,10.92,12.08,10.68,12.06,11.502179,28562800,0.8679090000000009,1
73,2009-08-24,12.19,12.4,11.6,12.08,11.521253,26849300,0.019073999999999813,1
74,2009-08-31,12.02,12.47,11.25,12.4,11.826452,28024600,0.305199,1
75,2009-09-07,12.62,14.58,12.38,13.88,13.237995000000002,40770800,1.4115430000000018,1
76,2009-09-14,13.74,14.05,13.42,13.56,12.932798,22985800,-0.3051970000000015,0
77,2009-09-21,13.5,14.19,12.82,12.94,12.341475,23064900,-0.5913229999999992,0
78,2009-09-28,13.05,13.48,11.8,11.9,11.34958,29821000,-0.9918950000000013,0
79,2009-10-05,12.02,12.52,11.66,12.41,11.835989,29483100,0.4864090000000001,1
80,2009-10-12,12.51,12.69,11.18,11.47,10.939468,27980800,-0.8965209999999999,0
81,2009-10-19,11.66,12.24,10.7,10.99,10.48167,36756100,-0.45779800000000037,0
82,2009-10-26,11.0,11.2,10.15,10.43,9.947574000000001,31478100,-0.5340959999999981,0
83,2009-11-02,10.49,12.12,10.05,12.01,11.454494,43239800,1.5069199999999991,1
84,2009-11-09,12.25,12.54,11.85,12.08,11.521253,23734900,0.06675899999999935,1
85,2009-11-16,12.19,12.6,11.9,12.15,11.588017,20493700,0.06676400000000093,1
86,2009-11-23,12.41,12.73,12.01,12.26,11.692928,13458000,0.10491099999999953,1
87,2009-11-30,12.21,13.92,11.93,13.65,13.018636,31644100,1.3257080000000006,1
88,2009-12-07,13.6,14.19,13.52,13.66,13.028172,20620400,0.009535999999998879,1
89,2009-12-14,13.77,14.09,13.48,13.95,13.304757999999998,20055600,0.2765859999999982,1
90,2009-12-21,14.06,14.39,14.04,14.27,13.609959,7835800,0.30520100000000205,1
91,2009-12-28,14.28,14.45,13.85,14.19,13.533657999999999,8266500,-0.07630100000000084,0
92,2010-01-04,14.45,15.19,14.42,15.0,14.306191,19589200,0.772533000000001,1
93,2010-01-11,15.01,15.62,14.5,14.78,14.096369000000001,21478000,-0.20982199999999906,0
94,2010-01-18,15.04,15.1,13.74,13.81,13.171235999999999,35991000,-0.9251330000000024,0
95,2010-01-25,13.89,14.11,12.64,12.69,12.10304,27891300,-1.0681959999999986,0
96,2010-02-01,12.67,13.99,12.65,13.48,12.8565,30745600,0.7534600000000005,1
97,2010-02-08,13.61,14.08,13.25,13.87,13.228458999999999,22714400,0.3719589999999986,1
98,2010-02-15,14.1,14.73,13.73,14.58,13.905617000000001,13755200,0.6771580000000021,1
99,2010-02-22,15.0,15.4,14.45,15.27,14.563704000000001,34689800,0.6580870000000001,1
100,2010-03-01,15.25,16.15,15.0,15.77,15.040579000000001,26225100,0.4768749999999997,1
101,2010-03-08,15.86,16.059998999999998,15.28,15.36,14.649543,20237000,-0.3910360000000015,0
102,2010-03-15,15.36,16.280001000000002,15.15,15.32,14.611393,20513300,-0.038149999999999906,0
103,2010-03-22,15.18,16.6,15.15,15.96,15.221786999999999,28127500,0.6103939999999994,1
104,2010-03-29,16.01,16.17,15.34,15.49,14.773527,16248200,-0.44825999999999944,0
105,2010-04-05,15.63,16.0,15.4,15.75,15.021501999999998,15702000,0.2479749999999985,1
106,2010-04-12,15.86,16.549999,15.66,16.16,15.412539,19485000,0.3910370000000025,1
