,Date,Open,High,Low,Close,Adj Close,Volume,Percent Change,Label
0,2008-03-31,21.33,23.200001,20.42,21.200001,21.200001,22691600,0.0,0
1,2008-04-07,21.25,23.68,20.709999,22.9,22.9,21609300,1.6999989999999983,1
2,2008-04-14,23.299999,24.870001000000002,21.75,22.85,22.85,15380000,-0.04999999999999716,0
3,2008-04-21,22.709999,22.85,12.78,15.21,15.21,74601200,-7.640000000000001,0
4,2008-04-28,14.13,16.459999,13.85,15.89,15.89,31951000,0.6799999999999997,1
5,2008-05-05,15.6,15.81,12.97,13.71,13.71,19436800,-2.1799999999999997,0
6,2008-05-12,13.87,14.89,13.39,13.81,13.81,19030800,0.09999999999999964,1
7,2008-05-19,13.71,13.82,7.36,7.52,7.52,49934700,-6.290000000000001,0
8,2008-05-26,7.93,8.65,7.6,8.54,8.54,28859300,1.0199999999999996,1
9,2008-06-02,8.49,10.43,7.73,8.64,8.64,46485200,0.10000000000000142,1
10,2008-06-09,9.0,9.17,5.58,6.86,6.86,49014800,-1.7800000000000002,0
11,2008-06-16,6.5,8.11,6.31,7.16,7.16,45207800,0.2999999999999998,1
12,2008-06-23,7.27,7.3,5.25,5.56,5.56,85069400,-1.6000000000000005,0
13,2008-06-30,5.57,5.69,3.76,3.86,3.86,44898500,-1.6999999999999997,0
14,2008-07-07,4.22,4.95,3.47,3.63,3.63,52484900,-0.22999999999999998,0
15,2008-07-14,3.82,5.73,2.8,5.45,5.45,78054200,1.8200000000000003,1
16,2008-07-21,5.15,10.2,4.96,7.65,7.65,145461700,2.2,1
17,2008-07-28,7.37,9.67,7.0,8.2,8.2,85927800,0.5499999999999989,1
18,2008-08-04,8.43,11.49,7.85,11.13,11.13,123615100,2.9300000000000015,1
19,2008-08-11,10.93,14.2,10.8,14.18,14.18,196516100,3.049999999999999,1
20,2008-08-18,13.94,15.84,10.42,12.72,12.72,181745600,-1.459999999999999,0
21,2008-08-25,12.48,13.24,9.36,11.11,11.11,129602600,-1.6100000000000012,0
22,2008-09-01,13.42,13.93,11.42,12.3,12.3,103164400,1.1900000000000013,1
23,2008-09-08,12.17,12.45,3.0,11.36,11.36,114574500,-0.9400000000000013,0
24,2008-09-15,11.56,14.29,10.92,13.24,13.24,87461500,1.8800000000000008,1
