,Date,Open,High,Low,Close,Adj Close,Volume,Percent Change,Label
0,2008-03-31,5.82,6.37,5.78,6.23,6.23,126023300,0.0,0
1,2008-04-07,6.31,6.48,5.95,6.01,6.01,158496800,-0.22000000000000064,0
2,2008-04-14,6.06,6.39,5.61,6.11,6.11,126946000,0.10000000000000053,1
3,2008-04-21,6.1,6.14,5.83,6.06,6.06,83809800,-0.05000000000000071,0
4,2008-04-28,6.06,6.34,5.93,6.16,6.16,68434500,0.10000000000000053,1
5,2008-05-05,6.16,7.41,6.11,6.94,6.94,189731500,0.7800000000000002,1
6,2008-05-12,6.97,7.48,6.97,7.26,7.26,99039900,0.3199999999999994,1
7,2008-05-19,7.31,7.48,6.76,6.88,6.88,80373400,-0.3799999999999999,0
8,2008-05-26,6.91,7.07,6.71,6.88,6.88,64768700,0.0,0
9,2008-06-02,6.88,7.79,6.72,7.43,7.43,130145300,0.5499999999999998,1
10,2008-06-09,7.57,7.98,6.92,7.52,7.52,118390000,0.08999999999999986,1
11,2008-06-16,7.47,7.94,6.96,6.99,6.99,108982600,-0.5299999999999994,0
12,2008-06-23,7.13,7.17,5.85,5.95,5.95,146863800,-1.04,0
13,2008-06-30,6.01,6.04,5.01,5.3,5.3,108552700,-0.6500000000000004,0
14,2008-07-07,5.47,5.67,4.6,4.84,4.84,166471400,-0.45999999999999996,0
15,2008-07-14,4.92,5.32,4.53,4.65,4.65,168324600,-0.1899999999999995,0
16,2008-07-21,4.73,4.75,4.27,4.36,4.36,108868100,-0.29000000000000004,0
17,2008-07-28,4.38,4.39,4.05,4.28,4.28,95696100,-0.08000000000000007,0
18,2008-08-04,4.31,5.26,4.29,5.13,5.13,99606700,0.8499999999999996,1
19,2008-08-11,5.1,5.87,5.0,5.64,5.64,117924400,0.5099999999999998,1
20,2008-08-18,5.7,6.0,5.52,5.81,5.81,110656000,0.16999999999999993,1
21,2008-08-25,5.93,6.35,5.82,6.29,6.29,84236300,0.4800000000000004,1
22,2008-09-01,6.37,6.47,5.34,5.96,5.96,97988500,-0.33000000000000007,0
23,2008-09-08,6.23,6.3,5.51,5.75,5.75,96616600,-0.20999999999999996,0
24,2008-09-15,5.31,5.68,4.8,5.42,5.42,119765100,-0.33000000000000007,0
25,2008-09-22,5.4,5.42,4.85,5.16,5.16,94908400,-0.2599999999999998,0
26,2008-09-29,5.0,6.0,3.0,4.53,4.53,142134700,-0.6299999999999999,0
27,2008-10-06,4.26,5.56,3.51,3.81,3.81,214399300,-0.7200000000000002,0
28,2008-10-13,4.24,4.52,3.65,4.21,4.21,135018900,0.3999999999999999,1
29,2008-10-20,4.25,4.31,2.78,3.03,3.03,101676800,-1.1800000000000002,0
30,2008-10-27,2.96,3.71,2.65,3.5,3.5,102439000,0.4700000000000002,1
31,2008-11-03,3.59,3.87,3.06,3.16,3.16,88343100,-0.33999999999999986,0
32,2008-11-10,3.29,3.29,2.3,2.43,2.43,91290000,-0.73,0
33,2008-11-17,2.5,2.69,1.62,1.82,1.82,90570400,-0.6100000000000001,0
34,2008-11-24,1.9,2.37,1.75,2.36,2.36,71895700,0.5399999999999998,1
35,2008-12-01,2.31,2.37,1.92,2.13,2.13,113776100,-0.22999999999999998,0
36,2008-12-08,2.25,2.32,2.01,2.28,2.28,82141900,0.1499999999999999,1
37,2008-12-15,2.26,2.35,2.15,2.27,2.27,51778000,-0.009999999999999787,0
38,2008-12-22,2.26,2.26,1.93,2.18,2.18,38916700,-0.08999999999999986,0
39,2008-12-29,2.26,2.43,2.06,2.38,2.38,45323100,0.19999999999999973,1
40,2009-01-05,2.37,2.85,2.35,2.69,2.69,80359200,0.31000000000000005,1
41,2009-01-12,2.69,2.69,2.05,2.29,2.29,80269400,-0.3999999999999999,0
42,2009-01-19,2.23,2.29,1.86,2.07,2.07,72951400,-0.2200000000000002,0
43,2009-01-26,2.08,2.45,2.0,2.19,2.19,67540900,0.1200000000000001,1
44,2009-02-02,2.15,2.51,2.07,2.41,2.41,61805500,0.2200000000000002,1
45,2009-02-09,2.36,2.46,2.0,2.42,2.42,73370900,0.009999999999999787,1
46,2009-02-16,2.3,2.5,2.0,2.03,2.03,59188200,-0.3900000000000001,0
47,2009-02-23,2.09,2.28,2.01,2.18,2.18,61680300,0.15000000000000036,1
48,2009-03-02,2.13,2.33,2.01,2.14,2.14,75160500,-0.040000000000000036,0
49,2009-03-09,2.11,2.6,2.1,2.52,2.52,65897100,0.3799999999999999,1
50,2009-03-16,2.51,3.19,2.43,2.67,2.67,96614300,0.1499999999999999,1
51,2009-03-23,2.87,3.78,2.83,3.37,3.37,102707200,0.7000000000000002,1
52,2009-03-30,3.2,3.43,2.92,3.43,3.43,103101600,0.06000000000000005,1
53,2009-04-06,3.3,3.92,3.25,3.75,3.75,62793400,0.31999999999999984,1
54,2009-04-13,3.75,3.85,3.32,3.56,3.56,68698800,-0.18999999999999995,0
55,2009-04-20,3.43,3.75,3.17,3.51,3.51,85792300,-0.050000000000000266,0
56,2009-04-27,3.43,3.9,3.35,3.82,3.82,70047300,0.31000000000000005,1
57,2009-05-04,3.9,4.45,3.83,3.93,3.93,90426800,0.11000000000000032,1
58,2009-05-11,3.9,4.67,3.87,4.01,4.01,154609600,0.07999999999999963,1
59,2009-05-18,4.19,4.76,4.06,4.26,4.26,90842400,0.25,1
60,2009-05-25,4.26,4.84,4.23,4.54,4.54,80530500,0.28000000000000025,1
61,2009-06-01,4.69,4.9,4.34,4.63,4.63,109174500,0.08999999999999986,1
62,2009-06-08,4.58,4.87,4.33,4.47,4.47,105219200,-0.16000000000000014,0
63,2009-06-15,4.39,4.45,3.81,3.87,3.87,137860900,-0.5999999999999996,0
64,2009-06-22,3.84,3.86,3.43,3.62,3.62,94028700,-0.25,0
65,2009-06-29,3.72,4.05,3.65,3.78,3.78,78404500,0.1599999999999997,1
66,2009-07-06,3.74,3.77,3.22,3.49,3.49,113035400,-0.2899999999999996,0
67,2009-07-13,3.53,4.0,3.36,4.0,4.0,100687300,0.5099999999999998,1
68,2009-07-20,4.03,4.25,3.41,3.77,3.77,196482800,-0.22999999999999998,0
69,2009-07-27,3.82,3.84,3.65,3.66,3.66,84950000,-0.10999999999999988,0
70,2009-08-03,3.75,3.85,3.66,3.7,3.7,69065300,0.040000000000000036,1
71,2009-08-10,3.71,3.76,3.52,3.69,3.69,82065600,-0.010000000000000231,0
72,2009-08-17,3.55,3.71,3.47,3.7,3.7,76576100,0.010000000000000231,1
73,2009-08-24,3.93,4.55,3.88,4.47,4.47,166617400,0.7699999999999996,1
74,2009-08-31,4.32,4.57,4.13,4.53,4.53,126550400,0.0600000000000005,1
75,2009-09-07,4.6,5.75,4.57,5.68,5.68,205379500,1.1499999999999995,1
76,2009-09-14,5.62,5.94,5.43,5.7,5.7,170207400,0.020000000000000462,1
77,2009-09-21,5.57,6.3,5.51,5.83,5.83,166905800,0.1299999999999999,1
78,2009-09-28,5.87,6.1,5.05,5.31,5.31,163472100,-0.5200000000000005,0
79,2009-10-05,5.15,5.9,5.12,5.88,5.88,115676400,0.5700000000000003,1
80,2009-10-12,6.13,6.36,5.65,5.74,5.74,200518900,-0.13999999999999968,0
81,2009-10-19,5.78,6.18,5.52,5.6,5.6,131026500,-0.14000000000000057,0
82,2009-10-26,5.62,5.71,4.55,4.6,4.6,147302700,-1.0,0
83,2009-11-02,4.68,5.05,4.33,5.04,5.04,107839500,0.4400000000000004,1
84,2009-11-09,5.12,6.73,5.07,6.53,6.53,287904800,1.4900000000000002,1
85,2009-11-16,6.56,7.33,6.32,6.95,6.95,248803500,0.41999999999999993,1
86,2009-11-23,7.03,7.15,6.68,6.85,6.85,80409400,-0.10000000000000053,0
87,2009-11-30,6.9,8.25,6.78,7.86,7.86,182336700,1.0100000000000007,1
88,2009-12-07,8.25,8.9,8.23,8.64,8.64,163734900,0.7800000000000002,1
89,2009-12-14,8.81,9.39,8.57,9.05,9.05,133826600,0.41000000000000014,1
90,2009-12-21,9.09,9.95,9.01,9.91,9.91,87532300,0.8599999999999994,1
91,2009-12-28,9.97,10.04,9.44,9.68,9.68,62056500,-0.23000000000000043,0
92,2010-01-04,9.79,9.9,9.18,9.43,9.43,100097400,-0.25,0
93,2010-01-11,9.38,9.44,8.52,8.84,8.84,146722300,-0.5899999999999999,0
94,2010-01-18,8.84,9.21,7.82,7.88,7.88,154704900,-0.96,0
95,2010-01-25,8.01,8.25,7.3,7.46,7.46,137881100,-0.41999999999999993,0
96,2010-02-01,7.61,7.98,6.98,7.35,7.35,123089700,-0.11000000000000032,0
97,2010-02-08,7.38,8.0,7.28,7.87,7.87,98312800,0.5200000000000005,1
98,2010-02-15,7.91,8.2,7.82,7.93,7.93,48382600,0.05999999999999961,1
99,2010-02-22,7.96,8.1,7.62,7.91,7.91,79860000,-0.019999999999999574,0
100,2010-03-01,7.94,8.7,7.94,8.61,8.61,83897300,0.6999999999999993,1
101,2010-03-08,8.66,9.09,8.43,8.93,8.93,82632100,0.3200000000000003,1
102,2010-03-15,8.88,9.74,8.8,9.11,9.11,94070300,0.17999999999999972,1
103,2010-03-22,8.91,9.49,8.79,9.02,9.02,65802600,-0.08999999999999986,0
104,2010-03-29,9.08,9.49,9.06,9.37,9.37,47681000,0.34999999999999964,1
105,2010-04-05,9.47,9.83,9.18,9.3,9.3,104033300,-0.06999999999999851,0
106,2010-04-12,9.37,10.24,9.35,9.81,9.81,183759200,0.5099999999999998,1
107,2010-04-19,9.73,9.91,9.29,9.76,9.76,118995600,-0.05000000000000071,0
