,Date,Open,High,Low,Close,Adj Close,Volume,Percent Change,Label
0,2008-03-31,48.365002000000004,54.125,46.5,53.845001,40.538921,133706200,0.0,0
1,2008-04-07,54.689999,55.77,52.57,53.105,39.981781,105948800,-0.557140000000004,0
2,2008-04-14,53.195,57.375,52.029999,56.945,43.217724,104989400,3.235942999999999,1
3,2008-04-21,57.0,61.634997999999996,55.139998999999996,58.490002000000004,44.390289,118223000,1.1725650000000059,1
4,2008-04-28,58.040001000000004,59.610001000000004,53.029999,55.115002000000004,41.828869,110739400,-2.5614200000000054,0
5,2008-05-05,57.485001000000004,59.695,56.029999,57.110001000000004,43.342957,90738800,1.514088000000001,1
6,2008-05-12,56.654999,62.25,55.825001,62.09,47.122459,94264800,3.779502000000001,1
7,2008-05-19,62.235001000000004,63.619999,57.505001,58.595001,44.469982,106443000,-2.6524769999999975,0
8,2008-05-26,58.014998999999996,59.845001,56.439999,57.855,43.908352,73731000,-0.561630000000001,0
9,2008-06-02,57.34,60.0,55.665001000000004,57.884997999999996,43.931126,79456200,0.022773999999998296,1
10,2008-06-09,58.474998,61.814999,57.895,61.650002,46.788521,102527600,2.857395000000004,1
11,2008-06-16,62.0,63.32,58.200001,58.514998999999996,44.409252,83843200,-2.3792690000000007,0
12,2008-06-23,58.595001,59.945,56.264998999999996,58.154999,44.136024,92074800,-0.27322800000000314,0
13,2008-06-30,59.049999,59.985001000000004,51.775002,54.32,41.225513,83086800,-2.9105109999999996,0
14,2008-07-07,53.98,56.244999,50.255001,53.869999,40.883984000000005,111243200,-0.3415289999999942,0
15,2008-07-14,54.560001,55.974998,48.535,51.619999,39.501865,114609200,-1.382119000000003,0
16,2008-07-21,52.485001000000004,53.610001000000004,46.91,48.130001,36.831169,108060200,-2.6706959999999995,0
17,2008-07-28,48.435001,50.695,45.25,45.654999,34.937183000000005,83448000,-1.8939859999999982,0
18,2008-08-04,44.490002000000004,45.849998,37.904999,42.759997999999996,32.721813,231275000,-2.215370000000007,0
19,2008-08-11,42.75,44.740002000000004,39.884997999999996,42.195,32.289448,123970600,-0.4323649999999972,0
20,2008-08-18,42.650002,47.375,40.825001,45.299999,34.665527000000004,106147000,2.3760790000000043,1
21,2008-08-25,45.799999,46.580002,43.075001,44.66,34.175774,60854000,-0.48975300000000743,0
22,2008-09-01,42.415001000000004,42.415001000000004,34.625,36.955002,28.279575,165787400,-5.896198999999996,0
23,2008-09-08,38.195,38.5,31.65,36.939999,28.268093,202886800,-0.01148200000000088,0
24,2008-09-15,34.895,37.375,30.09,36.759997999999996,28.13035,220875800,-0.1377430000000004,0
25,2008-09-22,37.450001,38.669998,30.76,31.91,24.418917,145874000,-3.7114329999999995,0
26,2008-09-29,30.084999,30.190001000000002,22.075001,22.43,17.16441,214780800,-7.254507,0
27,2008-10-06,21.360001,23.33,16.25,18.174999,13.908298,322488800,-3.256112,0
28,2008-10-13,19.725,23.995001000000002,15.015,16.465,12.936537,289570600,-0.9717610000000008,0
29,2008-10-20,17.254998999999998,18.385,11.14,12.43,9.766239,304609600,-3.170297999999999,0
30,2008-10-27,12.495,15.295,11.5,14.53,11.416207,274570600,1.6499679999999994,1
31,2008-11-03,14.45,16.725,12.835,13.535,10.634436,199240000,-0.7817709999999991,0
32,2008-11-10,14.795,15.095,10.75,12.17,9.561958,228350200,-1.0724780000000003,0
33,2008-11-17,11.64,12.35,8.635,9.665,7.593782000000001,272519000,-1.9681759999999997,0
34,2008-11-24,10.34,12.8,10.02,11.995,9.42446,138400400,1.830677999999999,1
35,2008-12-01,11.26,11.335,7.85,8.4,6.599871,311740000,-2.8245889999999996,0
36,2008-12-08,9.475,12.6,9.33,11.14,8.752685000000001,302194400,2.152814000000001,1
37,2008-12-15,11.555,13.34,10.91,11.665,9.165181,217903000,0.4124959999999991,1
38,2008-12-22,11.855,11.855,10.305,11.29,8.870543,74031400,-0.29463800000000084,0
39,2008-12-29,11.6,13.48,11.36,13.37,10.504799,93858800,1.6342560000000006,1
40,2009-01-05,13.25,15.72,13.125,14.375,11.294424000000001,246103000,0.7896250000000009,1
41,2009-01-12,13.77,13.84,10.985,12.2,9.585528,255446400,-1.708896000000001,0
42,2009-01-19,11.875,12.2,10.58,11.405,8.960896,193372600,-0.6246320000000001,0
43,2009-01-26,11.785,14.19,11.46,12.57,9.876237,254125000,0.9153409999999997,1
44,2009-02-02,12.11,15.245,12.11,14.905,11.710846,275165800,1.8346090000000004,1
45,2009-02-09,15.1,15.625,13.4,15.255,11.98584,256877400,0.2749939999999995,1
46,2009-02-16,14.4,14.845,13.28,14.39,11.306211,215266800,-0.6796290000000003,0
47,2009-02-23,14.715,15.955,13.04,15.21,11.950482000000001,244858600,0.6442710000000016,1
48,2009-03-02,14.755,17.195,13.16,16.940001000000002,13.309741,329564400,1.3592589999999998,1
49,2009-03-09,16.405001000000002,19.0,16.045,18.52,14.551145000000002,273207200,1.241404000000001,1
50,2009-03-16,18.815001000000002,21.309998999999998,17.174999,19.5,15.321133999999999,269736400,0.7699889999999971,1
51,2009-03-23,20.370001000000002,21.725,19.625,21.059998999999998,16.546823999999997,194987600,1.2256899999999984,1
52,2009-03-30,20.07,21.875,18.26,21.334999,16.762888,222189600,0.21606400000000292,1
53,2009-04-06,20.684998999999998,22.129998999999998,19.84,22.049999,17.324667,139119800,0.5617790000000014,1
54,2009-04-13,22.51,23.110001,21.23,21.700001,17.049665,167923000,-0.27500200000000063,0
55,2009-04-20,20.514999,21.365,19.0,20.465,16.079327,178318000,-0.9703380000000017,0
56,2009-04-27,19.73,22.799999,19.09,22.24,17.473953,162566600,1.3946260000000024,1
57,2009-05-04,23.049999,26.495001000000002,22.969998999999998,25.9,20.349607000000002,197382600,2.875654000000001,1
58,2009-05-11,25.025,26.084999,22.264999,22.584999,17.745014,158131600,-2.6045930000000013,0
59,2009-05-18,23.07,26.174999,23.01,24.17,18.990347,132683800,1.2453329999999987,1
60,2009-05-25,23.620001000000002,27.225,23.290001,27.215,21.382799,122278600,2.3924519999999987,1
61,2009-06-01,28.344998999999998,29.725,26.049999,28.58,22.455278,180718200,1.0724790000000013,1
62,2009-06-08,27.945,30.775,27.360001,29.254998999999998,22.985623999999998,169787200,0.530345999999998,1
63,2009-06-15,28.48,28.565001000000002,24.375,25.465,20.007828,202846600,-2.977795999999998,0
64,2009-06-22,24.475,25.674999,22.545,25.275,19.858547,204219400,-0.14928099999999844,0
65,2009-06-29,25.639999,26.485001,24.200001,24.860001,19.532478,124884600,-0.3260690000000004,0
66,2009-07-06,23.959999,24.09,21.594998999999998,23.32,18.3225,233152800,-1.2099779999999996,0
67,2009-07-13,23.27,28.129998999999998,22.280001000000002,27.75,21.803151999999997,206768400,3.4806519999999956,1
