,Date,Open,High,Low,Close,Adj Close,Volume,Percent Change,Label
0,2008-03-31,19.540001,20.780001000000002,19.02,19.049999,14.839897,48626400,0.0,0
1,2008-04-07,19.15,19.469998999999998,17.870001000000002,17.950001,14.043130999999999,59469700,-0.7967660000000016,0
2,2008-04-14,17.91,19.43,17.77,19.0,14.864597,47114700,0.8214660000000009,1
3,2008-04-21,18.870001000000002,19.370001000000002,17.940001000000002,19.34,15.130594,44496600,0.2659970000000005,1
4,2008-04-28,19.24,19.27,18.459999,18.68,14.614239999999999,37457400,-0.5163540000000015,0
5,2008-05-05,18.530001000000002,19.030001000000002,17.549999,17.940001000000002,14.035306,53049100,-0.5789339999999985,0
6,2008-05-12,18.0,19.26,17.879998999999998,18.43,14.418656,45574700,0.3833500000000001,1
7,2008-05-19,18.43,18.9,17.75,17.940001000000002,14.035306,39365900,-0.3833500000000001,0
8,2008-05-26,17.98,18.66,17.85,18.25,14.277829999999998,33666200,0.24252399999999774,1
9,2008-06-02,18.23,18.41,17.129998999999998,17.17,13.432898000000002,53527100,-0.8449319999999965,0
10,2008-06-09,17.370001000000002,18.07,16.700001,18.0,14.082246,54780600,0.649347999999998,1
11,2008-06-16,17.77,18.200001,17.32,17.450001,13.651954000000002,45633000,-0.4302919999999979,0
12,2008-06-23,17.559998999999998,17.610001,16.200001,16.74,13.096487,63250200,-0.5554670000000019,0
13,2008-06-30,16.77,17.24,16.35,16.450001,12.869605,36448100,-0.2268819999999998,0
14,2008-07-07,16.51,16.85,14.83,15.25,11.991864999999999,63792000,-0.8777400000000011,0
15,2008-07-14,15.47,17.1,14.77,16.6,13.053441000000001,46456100,1.0615760000000023,1
16,2008-07-21,16.57,17.76,15.9,16.290001,12.809674000000001,33094900,-0.24376700000000007,0
17,2008-07-28,16.1,16.879998999999998,15.88,16.34,12.848989,40920000,0.039314999999998435,1
18,2008-08-04,16.35,18.17,16.09,18.09,14.225104,44112800,1.3761150000000004,1
19,2008-08-11,18.09,20.700001,17.82,19.4,15.255227,88063300,1.0301229999999997,1
20,2008-08-18,19.6,20.23,18.68,19.879998999999998,15.632669,55144100,0.3774420000000003,1
21,2008-08-25,19.799999,19.98,18.93,19.450001,15.294542000000002,43644800,-0.3381269999999983,0
22,2008-09-01,19.75,20.01,18.58,19.190001000000002,15.090086999999999,44817400,-0.20445500000000294,0
23,2008-09-08,19.780001000000002,20.08,18.93,19.370001000000002,15.231632999999999,69438600,0.14154599999999995,1
24,2008-09-15,18.690001000000002,20.799999,17.450001,19.08,15.003592000000001,71580400,-0.2280409999999975,0
25,2008-09-22,19.09,19.290001,17.83,18.370001000000002,14.445279999999999,40190900,-0.5583120000000026,0
26,2008-09-29,18.040001,18.610001,16.66,16.83,13.2343,51435600,-1.2109799999999993,0
27,2008-10-06,16.27,16.73,11.88,13.82,10.867383,79069800,-2.366916999999999,0
28,2008-10-13,14.67,15.71,12.21,13.42,10.611258,68210100,-0.2561250000000008,0
29,2008-10-20,13.58,13.79,11.01,11.21,8.863800999999999,45893400,-1.7474570000000007,0
30,2008-10-27,11.08,13.26,11.03,12.94,10.231719,47418800,1.3679180000000013,1
31,2008-11-03,12.95,13.82,12.28,12.82,10.136833,46541000,-0.09488600000000069,0
32,2008-11-10,13.34,13.5,10.54,11.55,9.132639999999999,44680000,-1.0041930000000008,0
33,2008-11-17,11.45,12.22,9.41,12.1,9.567528999999999,70170600,0.4348890000000001,1
34,2008-11-24,12.37,13.32,11.4,13.02,10.294975,37695100,0.7274460000000023,1
35,2008-12-01,13.02,14.05,11.79,14.01,11.077774,63656100,0.7827989999999989,1
36,2008-12-08,14.41,14.57,12.37,13.19,10.429395,63214800,-0.6483790000000003,0
37,2008-12-15,13.25,14.41,12.46,13.57,10.729863,47053500,0.3004680000000004,1
38,2008-12-22,13.52,13.67,12.76,12.97,10.255443,14531200,-0.4744200000000003,0
39,2008-12-29,12.95,14.11,12.7,14.07,11.125216,16371700,0.8697730000000004,1
40,2009-01-05,13.94,14.35,12.44,12.99,10.271255,55118400,-0.853961,0
41,2009-01-12,12.93,13.18,11.21,12.14,9.657499000000001,49910400,-0.6137559999999986,0
42,2009-01-19,12.0,12.31,11.21,12.0,9.546126,33510300,-0.11137300000000216,0
43,2009-01-26,12.0,12.74,11.23,11.28,8.973355999999999,34702400,-0.5727700000000002,0
44,2009-02-02,11.27,12.17,10.61,11.94,9.498396000000001,50661500,0.5250400000000024,1
45,2009-02-09,11.98,11.99,11.21,11.62,9.243831,38164200,-0.25456500000000126,0
46,2009-02-16,11.42,11.81,11.11,11.55,9.188148,31275600,-0.05568300000000015,0
47,2009-02-23,11.7,11.9,10.28,10.79,8.58356,53269200,-0.6045879999999997,0
48,2009-03-02,10.57,10.87,9.56,9.85,7.835779,60437700,-0.7477810000000007,0
49,2009-03-09,9.72,12.08,9.65,11.99,9.538173,52191200,1.7023940000000009,1
50,2009-03-16,12.08,12.7,11.73,11.98,9.530217,41747300,-0.007956000000000074,0
51,2009-03-23,12.28,13.35,11.86,13.06,10.389372,42934400,0.8591549999999994,1
