,Date,Open,High,Low,Close,Adj Close,Volume,Percent Change,Label
0,2008-03-31,14.16,14.84,13.5,13.82,13.667073,806800,0.0,0
1,2008-04-07,13.89,14.99,13.32,14.3,14.141762,738800,0.4746889999999997,1
2,2008-04-14,14.36,14.85,13.8,14.1,13.943975,508600,-0.19778699999999994,0
3,2008-04-21,14.06,14.39,12.95,13.88,13.726410000000001,1789500,-0.21756499999999868,0
4,2008-04-28,13.91,15.31,13.74,14.85,14.685676999999998,2579100,0.959266999999997,1
5,2008-05-05,14.74,15.0,13.95,14.21,14.052757999999999,1030500,-0.6329189999999993,0
6,2008-05-12,14.28,15.07,13.75,14.62,14.45822,1240000,0.40546200000000177,1
7,2008-05-19,14.59,14.66,13.29,13.76,13.607738000000001,1122600,-0.8504819999999995,0
8,2008-05-26,13.75,15.08,13.5,14.26,14.102204,1380000,0.4944659999999992,1
9,2008-06-02,14.39,14.97,13.32,13.84,13.686851999999998,1709700,-0.41535200000000216,0
10,2008-06-09,13.85,14.17,12.4,12.95,12.806701,1106300,-0.8801509999999979,0
11,2008-06-16,12.93,13.66,12.17,12.66,12.519909,974600,-0.28679200000000016,0
12,2008-06-23,12.71,12.83,10.33,11.27,11.145291,3390300,-1.374618,0
13,2008-06-30,11.24,11.61,10.08,10.08,9.968459,2769600,-1.176832000000001,0
14,2008-07-07,10.16,10.3,9.21,9.44,9.335541000000001,2139000,-0.6329179999999983,0
15,2008-07-14,9.73,10.49,9.02,9.89,9.780561,2475600,0.4450199999999995,1
16,2008-07-21,10.09,12.05,10.09,11.39,11.263963,2918100,1.4834019999999999,1
17,2008-07-28,11.33,11.41,9.21,9.45,9.345429,1695200,-1.918534000000001,0
18,2008-08-04,9.48,11.23,9.25,11.11,10.987061,2913000,1.6416320000000013,1
19,2008-08-11,10.98,12.48,10.98,12.17,12.035332,2064400,1.0482709999999997,1
20,2008-08-18,12.2,12.54,11.48,12.03,11.89688,984100,-0.1384520000000009,0
21,2008-08-25,12.01,12.18,10.6,10.88,10.759606,1393100,-1.1372739999999997,0
22,2008-09-01,11.12,12.77,10.68,12.63,12.490242,3576600,1.7306360000000005,1
23,2008-09-08,12.76,14.21,12.75,14.0,13.845081,2729800,1.3548390000000001,1
24,2008-09-15,13.7,14.95,12.68,14.7,14.537335,2554100,0.6922540000000001,1
25,2008-09-22,14.58,14.58,11.56,13.09,12.945151,2022700,-1.5921840000000014,0
26,2008-09-29,13.15,14.06,12.11,12.16,12.025442,2250800,-0.9197089999999992,0
27,2008-10-06,11.93,12.66,9.52,11.89,11.75843,2959400,-0.26701199999999936,0
28,2008-10-13,12.55,12.55,9.79,10.57,10.453036,1248000,-1.3053939999999997,0
29,2008-10-20,10.69,10.95,8.4,8.97,8.870742,1349400,-1.582294000000001,0
30,2008-10-27,8.77,10.28,7.71,8.82,8.722401,929100,-0.14834100000000028,0
31,2008-11-03,8.81,10.4,8.53,8.74,8.643286999999999,1064700,-0.07911400000000057,0
32,2008-11-10,9.1,9.32,7.16,7.6,7.5159020000000005,1175000,-1.1273849999999985,0
33,2008-11-17,7.56,8.25,6.84,7.42,7.337892999999999,905200,-0.1780090000000012,0
34,2008-11-24,7.54,9.16,6.75,7.18,7.100549000000001,1029500,-0.23734399999999845,0
35,2008-12-01,7.03,8.47,5.63,8.47,8.376275,1704700,1.2757259999999988,1
36,2008-12-08,8.57,11.08,8.07,9.21,9.108086,1839900,0.7318110000000004,1
37,2008-12-15,9.23,10.6,8.81,10.3,10.186025,1060800,1.0779390000000006,1
38,2008-12-22,10.31,10.48,8.97,9.06,8.959746,256300,-1.226279,0
39,2008-12-29,9.06,9.19,7.06,8.3,8.208155999999999,2144700,-0.751590000000002,0
40,2009-01-05,8.32,9.17,6.55,6.91,6.833537,2611900,-1.3746189999999991,0
41,2009-01-12,6.88,6.99,5.8,6.05,5.983053,2083600,-0.8504839999999998,0
42,2009-01-19,6.11,6.63,5.53,6.5,6.428073,1257800,0.4450200000000004,1
43,2009-01-26,6.49,6.89,5.77,5.83,5.7654879999999995,1004100,-0.6625850000000009,0
44,2009-02-02,5.75,6.85,5.73,6.75,6.675307000000001,1225000,0.9098190000000015,1
45,2009-02-09,6.7,6.91,6.0,6.3,6.230287000000001,1098000,-0.4450200000000004,0
46,2009-02-16,6.09,6.5,5.33,5.51,5.449029,837700,-0.7812580000000002,0
47,2009-02-23,5.54,5.93,5.21,5.6,5.538033,707400,0.08900400000000008,1
48,2009-03-02,5.49,5.64,4.11,4.4,4.351311,891400,-1.1867220000000005,0
49,2009-03-09,4.33,5.67,4.2,5.62,5.557811,701000,1.2065000000000001,1
50,2009-03-16,5.62,6.65,5.5,6.27,6.2006190000000005,1226000,0.6428080000000005,1
51,2009-03-23,6.42,7.14,5.94,6.95,6.873094,1282100,0.6724749999999995,1
52,2009-03-30,6.84,7.25,6.18,7.02,6.942319,952600,0.06922500000000031,1
53,2009-04-06,6.99,7.25,6.53,7.13,7.051102,792400,0.10878299999999985,1
54,2009-04-13,7.12,8.17,6.79,8.03,7.941142999999999,1358600,0.8900409999999992,1
55,2009-04-20,7.89,8.92,7.61,8.35,8.257603,1573700,0.3164600000000002,1
56,2009-04-27,8.28,9.0,7.98,8.56,8.465278999999999,1184400,0.2076759999999993,1
57,2009-05-04,8.6,9.1,8.06,8.84,8.742180000000001,1182400,0.2769010000000023,1
58,2009-05-11,8.67,9.07,8.23,8.52,8.425721000000001,900900,-0.31645900000000005,0
59,2009-05-18,8.6,9.19,8.45,8.58,8.485057000000001,675800,0.059336000000000055,1
60,2009-05-25,8.51,9.12,8.13,8.56,8.465278999999999,632300,-0.019778000000002294,0
61,2009-06-01,8.65,11.97,8.6,11.52,11.392525,2975100,2.9272460000000002,1
62,2009-06-08,11.55,12.0,9.76,10.46,10.344254,1848700,-1.0482709999999997,0
63,2009-06-15,10.39,10.39,8.9,9.37,9.266314999999999,1183200,-1.0779390000000006,0
64,2009-06-22,9.37,10.59,9.21,10.52,10.40359,2934900,1.1372750000000007,1
65,2009-06-29,10.48,11.47,10.35,10.63,10.512373,1406300,0.10878300000000074,1
66,2009-07-06,10.74,11.12,10.4,10.79,10.670602,1180700,0.1582290000000004,1
67,2009-07-13,10.87,11.33,10.25,10.95,10.828832,2171100,0.15822999999999965,1
68,2009-07-20,10.97,11.61,10.78,11.38,11.254073,1309300,0.42524099999999976,1
69,2009-07-27,11.4,11.62,10.9,11.33,11.204627,503500,-0.04944599999999966,0
70,2009-08-03,11.39,11.62,10.92,11.54,11.412303,685900,0.2076759999999993,1
71,2009-08-10,11.44,12.0,10.75,10.78,10.660712,961100,-0.7515909999999995,0
72,2009-08-17,10.58,11.76,10.06,11.63,11.501307,863700,0.8405950000000004,1
73,2009-08-24,11.56,12.0,11.33,11.79,11.659536,953500,0.15822899999999862,1
74,2009-08-31,11.66,15.2,11.39,15.0,14.834016,4704800,3.174480000000001,1
75,2009-09-07,15.02,15.44,13.97,14.03,13.874749,2234900,-0.9592670000000005,0
76,2009-09-14,14.14,16.0,14.05,15.95,15.773503,1599300,1.8987540000000003,1
77,2009-09-21,15.67,16.08,15.16,15.63,15.457045,1157700,-0.316457999999999,0
78,2009-09-28,15.8,16.809998999999998,15.27,15.75,15.575717000000001,1489100,0.11867200000000011,1
79,2009-10-05,15.9,17.440001000000002,15.5,17.41,17.217348,1658700,1.6416310000000003,1
